"MacroTrends Data Download"
"VFF - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2019-06-21,12.4900,12.4900,11.6500,11.6900,1290656
2019-06-24,11.6400,11.8500,11.1600,11.3200,949315
2019-06-25,11.3500,11.3999,10.8100,10.8500,887875
2019-06-26,10.9600,11.5600,10.9300,11.2400,681747
2019-06-27,11.2400,11.5100,11.1510,11.4700,315271
2019-06-28,11.4800,11.7800,11.3600,11.4400,260721
2019-07-01,11.5500,11.7850,11.3000,11.6000,179795
2019-07-02,11.6000,11.6000,11.1000,11.2900,410290
2019-07-03,11.3600,11.3600,10.6900,10.9700,710535
2019-07-05,10.9500,11.5600,10.7647,11.5300,579857
2019-07-08,11.4000,11.4399,11.0700,11.4000,474164
2019-07-09,11.2100,11.3500,11.0000,11.2800,407629
2019-07-10,11.3500,11.3500,10.5700,10.6500,1047173
2019-07-11,10.8400,10.9000,9.8900,10.0400,1644263
2019-07-12,10.0300,10.0300,9.1100,9.2800,2001353
2019-07-15,9.2100,10.2000,8.8900,9.4100,2233061
2019-07-16,9.4100,9.6300,9.2400,9.2700,641539
2019-07-17,9.2400,9.7599,9.2400,9.6900,599132
2019-07-18,9.7400,10.2000,9.5200,9.7900,780767
2019-07-19,9.8300,10.4000,9.6300,10.1800,878015
2019-07-22,10.2000,10.9100,10.0200,10.6900,1393806
2019-07-23,11.1000,11.6700,10.4200,10.6900,1720000
2019-07-24,10.6500,11.0100,10.3000,10.8600,511679
2019-07-25,10.7900,11.4900,10.7900,11.0500,1265786
2019-07-26,11.1500,11.4000,10.9000,11.3700,486176
2019-07-29,11.4000,11.4550,10.9800,11.4000,499684
2019-07-30,11.1800,11.9600,11.1000,11.7650,672114
2019-07-31,11.8000,12.0600,11.2100,11.3700,541377
2019-08-01,11.3300,11.4500,11.0000,11.0900,576987
2019-08-02,11.2700,12.0000,11.2700,12.0000,901528
2019-08-05,11.8500,12.1400,11.5100,11.7000,888286
2019-08-06,11.9000,12.1900,11.7300,11.7900,578586
2019-08-07,11.6900,11.7897,11.4100,11.6800,330294
2019-08-08,11.8400,12.8800,11.8100,12.8800,979503
2019-08-09,12.8800,13.6100,12.6813,13.5300,2069432
2019-08-12,13.4600,13.8500,13.1500,13.3500,1601484
2019-08-13,14.4500,14.6000,13.5100,13.6300,2813852
2019-08-14,13.1000,13.8094,12.9000,13.4400,1701646
2019-08-15,13.3900,13.4000,12.0000,12.1200,1754094
2019-08-16,12.4000,12.8000,12.3300,12.7300,660245
2019-08-19,12.9100,13.2200,12.8200,12.8300,403472
2019-08-20,12.6300,12.7800,12.1600,12.3300,475413
2019-08-21,12.4100,12.5000,12.0600,12.1300,381744
2019-08-22,12.1000,12.1300,11.6800,11.7500,696024
2019-08-23,11.6000,11.6749,10.9100,10.9700,807095
2019-08-26,11.1000,11.2200,10.6000,10.8200,645262
2019-08-27,10.8500,10.9500,10.3000,10.3000,638489
2019-08-28,10.3000,10.8799,10.0500,10.5200,590136
2019-08-29,10.7500,10.8500,10.4500,10.5000,404437
2019-08-30,10.5300,10.6500,10.3200,10.5000,347843
2019-09-03,10.3400,10.8267,10.1800,10.8000,682455
2019-09-04,11.1800,11.5900,10.7650,11.5300,735545
2019-09-05,11.6500,11.8000,11.3000,11.5500,613721
2019-09-06,11.6200,12.1100,11.4000,11.9200,646743
2019-09-09,12.3300,12.5300,11.6200,11.8000,894058
2019-09-10,11.7000,12.3200,11.3500,12.2500,638702
2019-09-11,12.1400,12.3990,12.0000,12.0300,478925
2019-09-12,11.8700,12.1400,11.6600,11.6800,497297
2019-09-13,11.7300,11.8460,11.5000,11.6900,417588
2019-09-16,11.5800,11.6700,10.8800,10.9000,594771
2019-09-17,10.9200,11.3000,10.8000,10.9200,430490
2019-09-18,11.0400,11.1100,10.4000,10.5200,532575
2019-09-19,10.4900,10.8400,10.3700,10.6300,431858
2019-09-20,10.7400,10.8100,10.4000,10.4000,497344
2019-09-23,10.3900,10.6200,10.3145,10.4300,271613
2019-09-24,10.5000,10.5100,9.3700,9.4400,1615799
2019-09-25,9.5000,9.5100,9.0653,9.3200,1126650
2019-09-26,9.5500,9.6400,9.0800,9.1200,638234
2019-09-27,9.1700,9.4183,8.8100,8.9900,737943
2019-09-30,8.9700,9.1000,8.5000,9.0500,837733
2019-10-01,9.1300,9.3901,8.6760,8.7700,643032
2019-10-02,8.6400,8.9300,8.3000,8.7700,798942
2019-10-03,8.7700,9.3700,8.6600,9.3100,520256
2019-10-04,9.4200,9.4900,9.2000,9.2600,309393
2019-10-07,9.2200,9.4409,8.9700,9.0900,327464
2019-10-08,9.0400,9.0900,8.6000,8.6300,607127
2019-10-09,8.7000,8.7700,7.7600,7.9300,1459177
2019-10-10,7.0100,7.4300,6.8400,7.2500,2420000
2019-10-11,7.3200,7.8100,7.1600,7.2100,966138
2019-10-14,7.2000,7.2000,6.7200,6.9300,719112
2019-10-15,7.0500,7.3000,6.9300,7.0300,1178746
2019-10-16,7.0300,7.0500,6.6800,6.7300,961492
2019-10-17,6.9000,7.1200,6.7600,6.9500,1096889
2019-10-18,7.0000,7.0800,6.5000,6.7800,1067321
2019-10-21,6.7900,7.2800,6.7030,7.2500,1049385
2019-10-22,7.2300,7.7300,7.2300,7.5300,983455
2019-10-23,7.4700,7.9700,7.3100,7.8600,908623
2019-10-24,8.0000,8.7600,7.8000,8.5700,1287210
2019-10-25,8.6100,8.8100,8.2200,8.3100,833388
2019-10-28,8.3200,8.8100,8.2700,8.3500,569143
2019-10-29,8.3100,8.4255,7.7700,7.8600,918316
2019-10-30,7.8500,8.1261,7.6800,7.8100,511279
2019-10-31,7.7100,8.0500,7.6100,7.9100,531433
2019-11-01,7.9100,8.3900,7.8700,8.1500,478297
2019-11-04,8.2500,8.2900,8.0000,8.0800,468874
2019-11-05,8.1100,8.6800,8.0100,8.6000,899131
2019-11-06,8.5900,8.6900,8.3000,8.4100,654956
2019-11-07,8.5500,8.5800,7.7500,7.8400,845543
2019-11-08,7.8000,8.9007,7.6700,8.8700,1361442
2019-11-11,8.9000,8.9000,8.0569,8.1700,1115579
2019-11-12,8.2000,8.2100,7.5725,7.6400,1043083
2019-11-13,7.5700,7.5700,6.9000,7.0900,1427328
2019-11-14,6.8500,7.0900,6.4950,6.8000,2069863
2019-11-15,5.8000,6.7900,5.7000,6.3200,2010974
2019-11-18,6.2800,6.3100,5.7300,6.0900,1488134
2019-11-19,5.9800,6.4900,5.8600,6.2800,1311731
2019-11-20,6.4500,7.1600,6.3600,7.0700,1923314
2019-11-21,7.2000,7.9525,7.0172,7.2800,2345666
2019-11-22,7.2800,7.2900,6.4500,6.4700,1208299
2019-11-25,6.4900,6.6500,6.2500,6.3000,794734
2019-11-26,6.2500,6.9000,6.1100,6.7100,978299
2019-11-27,6.7500,7.0890,6.4750,6.6000,886587
2019-11-29,6.5600,6.7300,6.4800,6.6200,271870
2019-12-02,6.6000,6.6000,6.2400,6.2700,564857
2019-12-03,6.1100,6.4500,5.9200,6.3900,895851
2019-12-04,6.4000,6.4900,6.2100,6.3100,296545
2019-12-05,6.3800,6.4400,6.2400,6.3400,413757
2019-12-06,6.3300,6.6099,6.3100,6.5500,376803
2019-12-09,6.5900,6.9300,6.4200,6.5200,720096
2019-12-10,6.4800,6.5650,6.1000,6.1200,712038
2019-12-11,6.1900,6.3000,6.0300,6.0600,485869
2019-12-12,6.0600,6.3000,6.0300,6.2800,486730
2019-12-13,6.3900,6.4800,6.1700,6.1700,515021
2019-12-16,6.2300,6.3900,6.1100,6.1900,394658
2019-12-17,6.1900,6.2000,5.9500,5.9500,639154
2019-12-18,5.9500,5.9800,5.5000,5.5200,1082776
2019-12-19,5.5000,5.9600,5.4000,5.8900,784899
2019-12-20,5.8800,6.1187,5.7600,5.9600,503512
2019-12-23,6.0000,6.0900,5.6900,5.7300,594312
2019-12-24,5.7000,5.9800,5.6100,5.9700,310840
2019-12-26,5.9900,5.9900,5.7800,5.8000,319474
2019-12-27,5.8100,6.3675,5.7600,6.2600,1164701
2019-12-30,6.2700,6.4200,5.7528,5.7900,862314
2019-12-31,5.7600,6.3000,5.7600,6.2300,1021978
2020-01-02,6.3100,6.3200,5.9600,6.1400,601090
2020-01-03,6.0500,6.2700,5.9300,6.0600,692462
2020-01-06,6.0600,6.0803,5.7605,5.7800,801729
2020-01-07,5.7800,5.8800,5.6800,5.7100,670134
2020-01-08,5.6800,5.8700,5.3700,5.6100,1349411
2020-01-09,5.6400,5.7457,5.5000,5.6100,438855
2020-01-10,5.6000,5.6000,5.3700,5.4000,728181
2020-01-13,5.4300,5.6500,5.1600,5.5600,1583980
2020-01-14,5.5000,5.8900,5.3500,5.5000,1909111
2020-01-15,5.5400,6.7000,5.5400,6.3600,3451145
2020-01-16,6.5000,6.7000,6.1727,6.2200,1268980
2020-01-17,6.2500,6.4500,6.0701,6.1400,830791
2020-01-21,6.1700,6.2400,5.7700,5.8300,751635
2020-01-22,5.8500,5.9600,5.7100,5.8700,791991
2020-01-23,5.8700,5.9800,5.7300,5.8700,470879
2020-01-24,5.8500,5.9681,5.4500,5.5800,1126988
2020-01-27,5.3100,5.5800,5.2500,5.4600,653294
2020-01-28,5.5000,5.7219,5.4900,5.7200,687446
2020-01-29,5.7300,5.7969,5.4950,5.5100,362569
2020-01-30,5.4600,5.6000,5.3700,5.5700,400368
2020-01-31,5.5900,5.7300,5.3800,5.4600,439735
2020-02-03,5.4500,5.5900,5.3900,5.5650,450822
2020-02-04,5.5900,5.7800,5.5000,5.6700,1042201
2020-02-05,5.7200,5.8000,5.6200,5.7600,430940
2020-02-06,5.7500,5.8200,5.5000,5.5100,709982
2020-02-07,5.4200,5.4400,4.9900,5.0100,1587506
2020-02-10,5.0200,5.0312,4.6101,4.6400,1455006
2020-02-11,4.6500,4.8600,4.4600,4.7000,1033179
2020-02-12,4.7100,4.9400,4.6400,4.6800,733370
2020-02-13,4.6300,4.8200,4.5710,4.7400,659188
2020-02-14,4.9200,5.2800,4.8300,5.2700,2685545
2020-02-18,5.1500,5.2854,5.0200,5.2200,692728
2020-02-19,5.2500,5.2900,5.1100,5.2200,557834
2020-02-20,5.1900,5.4588,5.0300,5.0600,766954
2020-02-21,5.0600,5.0600,4.7400,4.7500,666783
2020-02-24,4.5500,4.6500,4.3900,4.5100,704542
2020-02-25,4.5500,4.5800,4.1600,4.2000,833123
2020-02-26,4.3000,4.5100,4.2400,4.2900,646067
2020-02-27,4.1100,4.2620,3.9000,4.1000,719571
2020-02-28,3.9000,4.1800,3.8500,4.0900,865710
2020-03-02,4.1100,4.3000,4.0061,4.1600,409949
2020-03-03,4.5000,4.5000,3.9000,3.9300,1764810
2020-03-04,4.0500,4.0600,3.8500,4.0200,1084872
2020-03-05,3.9200,3.9200,3.7300,3.7600,1356829
2020-03-06,3.6500,3.7500,3.3167,3.3500,1567141
2020-03-09,3.0500,3.3000,2.9000,2.9100,1023041
2020-03-10,3.1300,3.2400,2.9700,3.1200,722328
2020-03-11,3.0000,3.0800,2.9000,2.9000,683245
2020-03-12,2.5800,2.8800,2.5000,2.7100,1117381
2020-03-13,2.8000,3.0400,2.7395,2.9500,777298
2020-03-16,2.6900,2.8700,2.6000,2.6900,693377
2020-03-17,2.7600,2.7600,2.5100,2.5800,584583
2020-03-18,2.5000,2.6100,2.3100,2.5100,1349588
2020-03-19,2.2300,2.3850,2.0700,2.2300,1402392
2020-03-20,2.2900,2.5100,2.2600,2.3900,960678
2020-03-23,2.5000,2.5100,2.3100,2.4700,725415
2020-03-24,2.5600,2.9700,2.5500,2.7700,993553
2020-03-25,3.0500,3.1350,2.8100,2.9500,1309971
2020-03-26,3.0100,3.7500,3.0000,3.6500,1503356
2020-03-27,3.5900,3.7900,3.4200,3.4700,790104
2020-03-30,3.5400,3.5400,3.1675,3.2600,819390
2020-03-31,2.8500,3.1000,2.8200,2.8600,1092354
2020-04-01,2.7600,2.8483,2.5500,2.5600,778887
2020-04-02,2.6000,2.8200,2.5715,2.5900,499485
2020-04-03,2.5900,2.6953,2.4400,2.4800,456652
2020-04-06,2.5600,2.7300,2.4800,2.6900,640457
2020-04-07,2.8100,2.9300,2.7100,2.7600,556128
2020-04-08,2.7900,2.9800,2.6900,2.9800,618210
2020-04-09,3.0000,3.0400,2.7600,2.7800,863506
2020-04-13,2.7800,2.8700,2.5800,2.8400,564085
2020-04-14,2.9100,3.0202,2.8002,2.9000,496516
2020-04-15,2.8500,2.8500,2.7000,2.7700,442572
2020-04-16,2.7600,2.7900,2.6100,2.7000,315650
2020-04-17,2.8000,2.9600,2.7300,2.9100,615069
2020-04-20,2.9100,3.2000,2.8450,3.0500,774515
2020-04-21,3.0300,3.0500,2.8300,2.8700,512185
2020-04-22,2.9600,2.9850,2.8700,2.9300,272710
2020-04-23,2.9300,3.1650,2.9300,3.1200,611752
2020-04-24,3.1300,3.3300,3.0733,3.3300,607411
2020-04-27,3.5000,3.5300,3.2550,3.5300,859990
2020-04-28,3.6000,3.6600,3.3300,3.3600,644992
2020-04-29,3.4400,3.5700,3.3400,3.5300,397376
2020-04-30,3.5300,3.5301,3.3200,3.3900,341005
2020-05-01,3.3100,3.3300,3.0900,3.1900,444766
2020-05-04,3.1200,3.4800,3.1100,3.3800,529287
2020-05-05,3.4200,3.6699,3.3500,3.3900,598487
2020-05-06,3.4200,3.4800,3.3100,3.3700,322025
2020-05-07,3.4200,3.4500,3.2700,3.2800,351054
2020-05-08,3.2900,3.4500,3.2600,3.4100,409081
2020-05-11,3.4700,3.4700,3.2600,3.4100,374272
2020-05-12,3.4500,3.4530,3.3000,3.3200,282671
2020-05-13,3.3300,3.3500,2.9000,3.0400,753633
2020-05-14,3.0800,3.3800,2.8600,3.2400,682363
2020-05-15,3.2000,3.4200,3.0162,3.1300,1280867
2020-05-18,3.2500,3.7400,3.2500,3.6100,1236502
2020-05-19,3.5900,3.6300,3.3300,3.3900,974507
2020-05-20,3.5000,4.2800,3.4558,4.2100,3487564
2020-05-21,4.1400,4.4700,3.8000,4.2400,2829464
2020-05-22,4.3281,5.4000,4.0200,5.2000,5796831
2020-05-26,5.7400,6.0897,5.6000,5.8700,3810450
2020-05-27,5.8500,5.9900,5.3900,5.5900,1924124
2020-05-28,5.6000,5.9900,5.3700,5.6800,1505934
2020-05-29,5.4200,5.6100,5.1600,5.4400,1963768
