"MacroTrends Data Download"
"VIPS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2012-03-23,0.6000,0.6230,0.5420,0.5500,51687000
2012-03-26,0.5610,0.5740,0.4700,0.4700,10418000
2012-03-27,0.4650,0.4990,0.4580,0.4600,3148000
2012-03-28,0.4530,0.4680,0.4450,0.4500,2096000
2012-03-29,0.4460,0.4500,0.4250,0.4350,1816000
2012-03-30,0.4470,0.4540,0.4250,0.4390,1272000
2012-04-02,0.4350,0.4640,0.4350,0.4380,1972000
2012-04-03,0.4560,0.4680,0.4230,0.4260,1866000
2012-04-04,0.4230,0.4300,0.4120,0.4300,1367000
2012-04-05,0.4250,0.4500,0.4250,0.4350,515000
2012-04-09,0.4480,0.4600,0.4300,0.4380,840000
2012-04-10,0.4360,0.4650,0.4360,0.4520,1594000
2012-04-11,0.4550,0.4750,0.4450,0.4650,1019000
2012-04-12,0.4610,0.4800,0.4610,0.4650,1328000
2012-04-13,0.4620,0.4840,0.4610,0.4820,2417000
2012-04-16,0.4850,0.5120,0.4820,0.5010,2003000
2012-04-17,0.5040,0.5650,0.5040,0.5440,2819000
2012-04-18,0.5410,0.5900,0.5410,0.5900,3352000
2012-04-19,0.5900,0.5980,0.5770,0.5950,1856000
2012-04-20,0.5930,0.5980,0.5810,0.5960,1071000
2012-04-23,0.5900,0.6000,0.5670,0.6000,1282000
2012-04-24,0.6100,0.6100,0.5900,0.6020,1569000
2012-04-25,0.6050,0.6050,0.5230,0.5250,3282000
2012-04-26,0.5250,0.5630,0.5110,0.5310,1346000
2012-04-27,0.5320,0.5530,0.5250,0.5300,601000
2012-04-30,0.5270,0.5610,0.5270,0.5400,930000
2012-05-01,0.5450,0.5590,0.5340,0.5460,731000
2012-05-02,0.5710,0.5760,0.5580,0.5690,830000
2012-05-03,0.5710,0.5750,0.5500,0.5560,510000
2012-05-04,0.5260,0.5730,0.5260,0.5490,236000
2012-05-07,0.5470,0.5600,0.5310,0.5380,460000
2012-05-08,0.5340,0.5500,0.5220,0.5300,833000
2012-05-09,0.5220,0.5490,0.5200,0.5370,311000
2012-05-10,0.5370,0.5580,0.5090,0.5170,1598000
2012-05-11,0.5160,0.5480,0.5100,0.5400,480000
2012-05-14,0.5460,0.5750,0.5460,0.5650,1716000
2012-05-15,0.5700,0.5820,0.5170,0.5290,830000
2012-05-16,0.5330,0.5400,0.5010,0.5050,648000
2012-05-17,0.5050,0.5170,0.5000,0.5110,645000
2012-05-18,0.5160,0.5300,0.5150,0.5150,1082000
2012-05-21,0.5240,0.5390,0.5000,0.5030,278000
