"MacroTrends Data Download"
"WMK - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1988-01-05,12.2579,12.3413,12.1345,12.1745,7500
1988-01-06,12.0912,12.0912,11.6742,12.0078,10900
1988-01-07,12.0912,12.0912,11.9244,11.9244,5200
1988-01-08,11.9244,11.9244,11.8410,11.8410,20300
1988-01-11,11.6742,11.7576,11.4241,11.5074,12800
1988-01-12,11.5908,11.6342,11.3407,11.6342,11000
1988-01-13,11.5475,11.5475,11.5475,11.5475,1100
1988-01-14,11.5074,11.7576,11.4241,11.6742,8000
1988-01-15,11.7576,11.7576,11.6742,11.6742,2800
1988-01-18,11.5908,11.5908,11.3407,11.4241,14200
1988-01-19,11.4241,11.4241,11.2573,11.4241,13100
1988-01-20,11.4241,11.4241,11.3407,11.3407,2000
1988-01-21,11.4241,11.4241,10.9237,10.9237,9500
1988-01-22,10.9237,11.0071,10.9237,10.9237,4700
1988-01-25,10.9237,10.9237,10.6736,10.8403,7800
1988-01-26,10.7570,10.8403,10.6736,10.6736,7700
1988-01-27,10.6736,10.8403,10.6736,10.8403,4300
1988-01-28,10.7570,10.8403,10.7136,10.7570,4700
1988-01-29,10.8403,10.8403,10.4234,10.5068,10100
1988-02-01,10.4234,10.6736,10.4234,10.6736,15300
1988-02-02,10.7570,10.9237,10.6335,10.8403,6200
1988-02-03,10.9237,11.0071,10.8403,10.8403,4100
1988-02-04,10.7570,10.8403,10.7570,10.8403,3600
1988-02-05,10.8403,10.9237,10.8403,10.9237,2900
1988-02-08,10.9239,10.9674,10.8837,10.8837,2200
1988-02-09,10.9674,11.0512,10.8837,10.9674,3100
1988-02-10,11.1349,11.2186,11.0512,11.1784,6300
1988-02-11,11.0913,11.2186,11.0512,11.0512,7100
1988-02-12,11.1349,11.1784,10.9674,11.0110,11400
1988-02-16,10.9239,10.9674,10.8000,10.8000,12200
1988-02-17,10.8837,10.8837,10.7163,10.7163,7700
1988-02-18,10.7163,10.7163,10.6325,10.6761,4100
1988-02-19,10.6761,10.7163,10.5488,10.7163,11600
1988-02-22,10.6325,10.8000,10.6325,10.8000,8300
1988-02-23,10.8435,10.8435,10.6325,10.6761,3400
1988-02-24,10.7163,10.7163,10.6325,10.6325,3400
1988-02-25,10.6325,10.7163,10.6325,10.6761,4800
1988-02-26,10.5488,10.5488,10.4216,10.4651,9600
