"MacroTrends Data Download"
"BROG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2018-07-13,9.6000,9.6000,9.5200,9.5300,1833598
2018-07-16,9.5600,9.5600,9.5300,9.5600,677799
2018-07-17,9.5600,9.5600,9.5400,9.5400,142351
2018-07-18,9.5400,9.9400,9.5200,9.5500,605666
2018-07-19,9.5400,9.5500,9.5400,9.5400,205200
2018-07-20,9.5400,9.5600,9.5300,9.5400,190950
2018-07-23,9.5500,9.6500,9.5400,9.5400,80900
2018-07-24,9.5600,9.5700,9.5400,9.5700,145000
2018-07-25,9.5700,9.6000,9.5200,9.5600,5700
2018-07-26,9.5500,9.5777,9.5310,9.5500,430125
2018-07-27,9.5500,9.5500,9.5500,9.5500,0
2018-07-30,9.5500,9.5700,9.5500,9.5675,9275
2018-07-31,9.5662,9.5800,9.5662,9.5800,20175
2018-08-01,9.5700,9.5700,9.5700,9.5700,150000
2018-08-02,9.6550,9.6550,9.5700,9.5700,3600
2018-08-03,9.5676,9.6350,9.5676,9.6350,1000
2018-08-06,9.7400,9.7400,9.7300,9.7400,1820
2018-08-07,9.7400,9.7400,9.7400,9.7400,0
2018-08-08,9.6450,9.6450,9.6000,9.6000,9400
2018-08-09,9.5500,9.6800,9.5500,9.6100,27700
2018-08-10,9.6100,9.6100,9.6100,9.6100,0
2018-08-13,9.5300,9.6350,9.5200,9.6350,3300
2018-08-14,9.6400,9.6400,9.5500,9.5900,6800
2018-08-15,9.5600,9.5600,9.5500,9.5500,1400
2018-08-16,9.5200,9.5600,9.5000,9.5500,9318
2018-08-17,9.5500,9.5500,9.5500,9.5500,0
2018-08-20,9.5500,9.5500,9.5200,9.5200,1100
2018-08-21,9.7300,9.7500,9.5200,9.5600,19692
2018-08-22,9.5300,9.6062,9.5201,9.5676,4400
2018-08-23,9.5676,9.5676,9.5676,9.5676,0
2018-08-24,9.5676,9.5676,9.5676,9.5676,0
2018-08-27,9.5676,9.5676,9.5676,9.5676,0
2018-08-28,9.5200,9.5965,9.5000,9.5850,13840
2018-08-29,9.6000,9.6000,9.5700,9.5700,4990
2018-08-30,9.5800,9.5800,9.5700,9.5700,72610
