"MacroTrends Data Download"
"CCLP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2011-06-15,7.6594,7.7206,7.2764,7.2764,1215400
2011-06-16,7.3453,7.3530,7.1768,7.2764,106300
2011-06-17,7.3147,7.3147,7.0888,7.1041,68700
2011-06-20,7.1002,7.1002,6.8360,6.9011,55800
2011-06-21,6.9700,6.9739,6.8360,6.8858,44800
2011-06-22,6.8168,7.0734,6.8168,6.9279,54000
2011-06-23,7.0505,7.0505,6.7977,6.8475,87300
2011-06-24,6.9662,6.9662,6.7020,6.7939,42600
2011-06-27,6.8819,6.9700,6.8115,6.8743,26100
2011-06-28,7.1768,7.1768,6.8743,6.9700,21800
2011-06-29,6.8207,7.1768,6.8207,7.1615,42800
2011-06-30,7.1807,7.3645,7.0619,7.1539,19000
2011-07-01,7.2496,7.3530,7.1156,7.2802,18800
2011-07-05,7.3645,7.3645,7.2075,7.3032,10600
2011-07-06,7.2991,7.3415,7.1696,7.3319,10700
2011-07-07,7.3645,7.3645,7.2764,7.3435,12800
2011-07-08,7.2534,7.3645,7.2075,7.3530,15200
2011-07-11,7.2802,7.3300,7.2802,7.2802,5800
2011-07-12,7.2802,7.2841,7.2075,7.2381,18100
2011-07-13,7.2956,7.2956,7.0619,7.1730,25000
2011-07-14,7.1002,7.2190,7.0619,7.1002,9300
2011-07-15,6.9777,7.0658,6.8934,7.0658,9400
2011-07-18,7.0428,7.0811,6.7977,6.9585,48400
2011-07-19,7.0849,7.3645,7.0083,7.3645,33900
2011-07-20,7.3951,7.4028,7.0498,7.4028,26800
2011-07-21,7.4181,7.4258,7.2844,7.3668,19000
2011-07-22,7.4258,7.4258,7.2419,7.3147,8300
2011-07-25,7.2764,7.4258,7.1160,7.3645,8500
2011-07-26,7.3951,7.4258,7.2534,7.3492,20200
2011-07-27,7.1922,7.3721,7.1807,7.2764,17000
2011-07-28,7.1906,7.4287,7.1810,7.3423,14200
2011-07-29,7.2943,7.3404,7.2367,7.2597,6400
2011-08-01,7.2943,7.3058,7.2559,7.3058,4200
2011-08-02,7.4440,7.4440,7.0332,7.0716,10300
2011-08-03,7.0255,7.1599,6.9488,7.1599,11200
2011-08-04,6.8144,7.0447,6.8144,6.9168,30100
2011-08-05,6.7645,6.8528,6.1234,6.3115,41200
2011-08-08,5.5936,6.8605,5.5936,5.9813,23700
2011-08-09,6.0696,7.2559,6.0658,7.0447,21100
2011-08-10,6.9104,6.9104,6.3883,6.4305,9800
2011-08-11,6.6033,6.8681,6.5265,6.5994,11400
2011-08-12,6.6954,6.7760,6.3844,6.5265,11300
2011-08-15,6.3345,6.5089,6.0466,6.2577,27300
2011-08-16,5.9736,6.2308,5.5475,5.8661,54000
2011-08-17,5.8930,6.3806,5.8930,5.9890,42800
2011-08-18,5.9890,6.1190,5.7203,6.0709,17600
2011-08-19,6.2155,6.3917,5.7625,5.8546,15700
2011-08-22,5.9544,6.2385,5.6819,5.6895,30100
2011-08-23,6.0619,6.1963,5.6435,5.7548,46300
2011-08-24,5.9429,6.5994,5.6637,6.1733,22100
2011-08-25,5.9621,6.1234,5.9621,5.9852,1800
2011-08-26,5.7586,5.9517,5.7241,5.8162,32600
2011-08-29,6.1234,6.1234,5.8354,5.9468,12300
2011-08-30,5.8009,5.9890,5.8009,5.9084,6800
2011-08-31,5.9890,6.1326,5.9544,5.9544,12200
2011-09-01,5.9660,6.1014,5.8201,5.8201,12100
2011-09-02,6.0427,6.0427,5.7702,5.7702,5900
