"MacroTrends Data Download"
"CLMT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2006-01-26,8.7961,8.9878,8.6682,8.6882,3694400
2006-01-27,8.9399,8.9399,8.6842,8.8680,427300
2006-01-30,8.9279,9.4592,8.8280,9.1875,318400
2006-01-31,9.3873,9.4672,9.2674,9.4672,264400
2006-02-01,9.5870,9.5870,9.4072,9.5470,143800
2006-02-02,9.5870,9.5870,9.3873,9.5870,178000
2006-02-03,9.6150,9.6869,9.4512,9.5830,212500
2006-02-06,9.6589,9.8866,9.5870,9.7867,122500
2006-02-07,9.7867,9.9665,9.6269,9.7468,115200
2006-02-08,9.9825,9.9825,9.3673,9.7667,34000
2006-02-09,9.5750,9.9465,9.5750,9.6469,28800
2006-02-10,9.7827,9.7867,9.2874,9.3913,52000
2006-02-13,9.3233,9.7867,9.3233,9.3873,13700
2006-02-14,9.3873,9.4472,9.0597,9.1436,66700
2006-02-15,9.0517,9.2035,8.9878,9.0278,58100
2006-02-16,9.1835,9.4272,9.0597,9.3873,31200
2006-02-17,9.4871,9.4951,9.2075,9.2075,34900
2006-02-21,9.3833,9.4951,9.1915,9.4951,35400
2006-02-22,9.3873,9.4951,9.2235,9.3074,22900
2006-02-23,9.4831,9.7588,9.4072,9.7588,25800
2006-02-24,9.7867,10.1582,9.2275,9.9665,57300
2006-02-27,9.8067,9.8107,9.4272,9.4672,114600
2006-02-28,9.4232,9.6709,9.2946,9.4672,50300
2006-03-01,9.4072,9.7468,9.3553,9.4751,78400
2006-03-02,9.5870,9.5870,9.3753,9.5870,61500
2006-03-03,9.5870,9.7068,9.5271,9.6030,18400
2006-03-06,9.4072,9.7667,9.3673,9.6829,61500
2006-03-07,9.8906,10.4059,9.8906,10.3859,282300
2006-03-08,10.1542,10.3859,10.1542,10.1622,52700
2006-03-09,10.0104,10.3859,9.9864,10.2860,49300
2006-03-10,10.3619,10.3859,10.1063,10.2341,39000
2006-03-13,10.2900,10.3859,10.2062,10.3180,30500
2006-03-14,10.3859,10.3859,9.7907,10.1542,27600
2006-03-15,10.0464,10.1902,9.9665,10.0743,62100
2006-03-16,10.2261,10.3859,10.1862,10.1862,17000
2006-03-17,10.1862,10.2181,10.1382,10.1862,14500
2006-03-20,10.2181,10.4778,10.1462,10.3899,23500
2006-03-21,10.3859,10.3979,10.2781,10.3420,19000
2006-03-22,10.3899,10.6136,10.3500,10.5457,26000
2006-03-23,10.6176,10.7454,10.4818,10.7414,23500
2006-03-24,10.5697,10.7055,10.4658,10.5537,39200
2006-03-27,10.5856,10.6336,10.4858,10.5856,54400
2006-03-28,10.7774,10.7774,10.5457,10.5856,73700
2006-03-29,10.7135,10.7854,10.6056,10.7055,16500
2006-03-30,10.7374,11.1649,10.7374,10.8173,59100
2006-03-31,10.8173,11.1089,10.7973,11.1089,19500
2006-04-03,11.1249,11.1649,11.0051,11.1249,21600
2006-04-04,11.1249,11.4684,10.9891,11.4445,30200
2006-04-05,11.2767,11.4565,11.1353,11.2767,31500
2006-04-06,11.4804,11.5923,11.3726,11.3846,22800
