"MacroTrends Data Download"
"CVX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1970-01-02,3.3622,3.4365,3.3622,3.4365,526400
1970-01-05,3.4365,3.4779,3.4279,3.4529,1121600
1970-01-06,3.4529,3.4694,3.3871,3.4036,553600
1970-01-07,3.4036,3.4121,3.3622,3.3950,451200
1970-01-08,3.4365,3.4858,3.4365,3.4608,635200
1970-01-09,3.4608,3.4694,3.4450,3.4694,515200
1970-01-12,3.4694,3.4937,3.4200,3.4450,334400
1970-01-13,3.4450,3.4450,3.3871,3.3950,372800
1970-01-14,3.3950,3.3950,3.2635,3.2885,1124800
1970-01-15,3.2885,3.3049,3.2635,3.2806,336000
1970-01-16,3.2806,3.2885,3.2477,3.2806,425600
1970-01-19,3.2806,3.2806,3.2477,3.2720,508800
1970-01-20,3.2720,3.2720,3.2306,3.2392,588800
1970-01-21,3.2392,3.2477,3.2063,3.2148,454400
1970-01-22,3.2148,3.2556,3.1898,3.2227,640000
1970-01-23,3.2227,3.2227,3.1898,3.2063,427200
1970-01-26,3.2063,3.2063,3.1320,3.1819,732800
1970-01-27,3.1734,3.1734,3.0991,3.1734,540800
1970-01-28,3.1734,3.1898,3.0662,3.0662,499200
1970-01-29,3.0662,3.0912,3.0254,3.0583,696000
1970-01-30,3.0583,3.0912,3.0090,3.0333,817600
1970-02-02,3.0333,3.0583,3.0090,3.0254,937600
1970-02-03,3.0254,3.0333,2.9925,3.0004,1971200
1970-02-04,3.0004,3.0333,3.0004,3.0254,534400
1970-02-05,3.0254,3.0254,3.0004,3.0254,337600
1970-02-06,3.0254,3.0254,3.0004,3.0090,272000
1970-02-09,3.0090,3.0254,3.0004,3.0004,558400
1970-02-10,3.0004,3.0175,2.8445,2.8445,996800
1970-02-11,2.8445,2.9103,2.7788,2.9103,878400
1970-02-12,2.9103,2.9432,2.8117,2.8445,816000
1970-02-13,2.8445,2.9018,2.8031,2.8610,492800
1970-02-16,2.8610,2.8939,2.8360,2.8939,488000
1970-02-17,2.8939,2.9018,2.8531,2.8774,451200
1970-02-18,2.8939,2.9596,2.8939,2.9518,1028800
1970-02-19,2.9596,3.0090,2.9596,2.9846,824000
1970-02-20,2.9846,3.0254,2.9846,3.0254,1166400
1970-02-24,3.0254,3.0254,3.0004,3.0254,1043200
1970-02-25,3.0419,3.1241,3.0419,3.1241,593600
1970-02-26,3.1241,3.1819,3.1162,3.1570,862400
1970-02-27,3.1570,3.1898,3.1241,3.1241,1246400
1970-03-02,3.1241,3.1241,3.0419,3.0662,518400
1970-03-03,3.0662,3.0912,3.0004,3.0504,544000
1970-03-04,3.0504,3.0833,3.0175,3.0254,422400
1970-03-05,3.0175,3.0175,2.9846,3.0090,684800
1970-03-06,3.0090,3.0333,2.9925,3.0333,481600
1970-03-09,3.0333,3.0747,2.9925,3.0175,524800
1970-03-10,3.0175,3.0504,3.0004,3.0333,430400
1970-03-11,3.0333,3.0504,3.0254,3.0333,843200
1970-03-12,3.0333,3.0333,3.0004,3.0175,539200
1970-03-13,3.0175,3.0175,2.9432,2.9761,688000
1970-03-16,2.9518,2.9518,2.8445,2.9518,732800
1970-03-17,2.9518,2.9675,2.9103,2.9518,564800
1970-03-18,2.9518,3.0090,2.9346,2.9761,436800
1970-03-19,2.9761,2.9761,2.9018,2.9018,827200
1970-03-20,2.9018,2.9103,2.8774,2.9103,372800
1970-03-23,2.8939,2.8939,2.8531,2.8774,539200
1970-03-24,2.8774,2.9268,2.8610,2.9018,355200
1970-03-25,2.9189,3.0175,2.9189,2.9596,987200
1970-03-26,2.9518,2.9518,2.8610,2.8939,1644800
1970-03-30,2.8939,2.8939,2.8689,2.8860,628800
1970-03-31,2.8860,2.9346,2.8774,2.9268,579200
1970-04-01,2.9268,2.9846,2.9268,2.9846,1028800
1970-04-02,2.9846,2.9846,2.9018,2.9268,1150400
1970-04-03,2.9268,2.9596,2.9103,2.9596,449600
1970-04-06,2.9596,2.9761,2.9346,2.9675,384000
1970-04-07,2.9675,2.9675,2.9268,2.9268,422400
1970-04-08,2.9268,2.9518,2.9189,2.9518,321600
1970-04-09,2.9432,2.9432,2.8939,2.9432,520000
1970-04-10,2.9432,2.9432,2.9189,2.9268,360000
1970-04-13,2.9268,2.9432,2.9018,2.9103,408000
1970-04-14,2.9103,2.9103,2.8774,2.8860,563200
1970-04-15,2.8860,2.8939,2.8689,2.8860,385600
1970-04-16,2.8860,2.8860,2.8281,2.8445,816000
1970-04-17,2.8445,2.8689,2.8281,2.8531,286400
1970-04-20,2.8531,2.8774,2.8445,2.8531,350400
1970-04-21,2.8531,2.8689,2.8360,2.8531,302400
1970-04-22,2.8531,2.8531,2.7952,2.8360,440000
1970-04-23,2.8360,2.8445,2.7952,2.8281,516800
1970-04-24,2.8281,2.8445,2.7788,2.7873,548800
1970-04-27,2.7873,2.8117,2.7623,2.7623,582400
1970-04-28,2.7623,2.7873,2.6966,2.7216,860800
1970-04-29,2.7216,2.7544,2.6308,2.7459,873600
1970-04-30,2.7459,2.7873,2.7216,2.7459,430400
1970-05-01,2.7459,2.7459,2.6637,2.7459,707200
1970-05-04,2.7459,2.7544,2.6637,2.6966,537600
1970-05-05,2.6887,2.6887,2.6387,2.6472,633600
1970-05-06,2.6472,2.6637,2.6144,2.6387,1187200
1970-05-07,2.6387,2.6558,2.6058,2.6387,563200
1970-05-08,2.6387,2.6558,2.6229,2.6308,531200
1970-05-11,2.6308,2.6387,2.5979,2.6229,580800
1970-05-12,2.6229,2.6637,2.5815,2.6229,913600
1970-05-13,2.6229,2.6308,2.5400,2.6058,742400
1970-05-14,2.6058,2.6887,2.5979,2.6472,846400
1970-05-15,2.6472,2.6966,2.6229,2.6966,449600
1970-05-18,2.6966,2.7294,2.6637,2.7294,518400
1970-05-19,2.7294,2.7544,2.6801,2.6801,273600
1970-05-20,2.6801,2.6966,2.6308,2.6472,337600
1970-05-21,2.6472,2.6637,2.5979,2.6144,577600
1970-05-22,2.6144,2.6887,2.6058,2.6229,348800
1970-05-25,2.6229,2.6308,2.5979,2.6144,334400
1970-05-26,2.6144,2.6229,2.5729,2.6144,532800
1970-05-27,2.6144,2.7459,2.6058,2.6966,625600
1970-05-28,2.7045,2.8031,2.7045,2.7952,505600
1970-05-29,2.7952,2.8689,2.7702,2.8610,544000
1970-06-01,2.8610,2.9268,2.8360,2.9189,537600
1970-06-02,2.9189,2.9346,2.8281,2.8860,435200
1970-06-03,2.8860,2.9518,2.8610,2.9346,420800
1970-06-04,2.9346,2.9596,2.8360,2.8360,587200
1970-06-05,2.8202,2.8202,2.7623,2.7702,382400
1970-06-08,2.7702,2.7952,2.7373,2.7544,334400
1970-06-09,2.7459,2.7459,2.6966,2.7045,260800
1970-06-10,2.7045,2.7216,2.6716,2.7045,406400
1970-06-11,2.7045,2.7130,2.6472,2.6966,353600
1970-06-12,2.6966,2.7216,2.6716,2.7045,329600
1970-06-15,2.6966,2.6966,2.6716,2.6966,294400
1970-06-16,2.6966,2.7873,2.6716,2.7544,491200
1970-06-17,2.7544,2.8031,2.7130,2.7373,376000
1970-06-18,2.7373,2.7702,2.6966,2.7702,452800
1970-06-19,2.7702,2.7873,2.7373,2.7544,355200
1970-06-22,2.7459,2.7459,2.6966,2.7216,288000
1970-06-23,2.7216,2.7294,2.6966,2.7045,321600
1970-06-24,2.6887,2.6887,2.6308,2.6558,448000
1970-06-25,2.6558,2.6637,2.6308,2.6472,300800
1970-06-26,2.6472,2.6558,2.6308,2.6558,291200
1970-06-29,2.6472,2.6472,2.6308,2.6472,238400
1970-06-30,2.6472,2.6558,2.6308,2.6472,313600
1970-07-01,2.6472,2.6558,2.6144,2.6387,321600
1970-07-02,2.6387,2.6558,2.6144,2.6229,307200
1970-07-06,2.6229,2.6229,2.5400,2.5571,907200
1970-07-07,2.5571,2.5650,2.5157,2.5321,545600
1970-07-08,2.5321,2.5571,2.4993,2.5571,585600
1970-07-09,2.5571,2.5815,2.5400,2.5650,529600
1970-07-10,2.5815,2.6144,2.5815,2.6058,556800
