"MacroTrends Data Download"
"DEN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1995-09-06,1.6073,1.6073,1.6073,1.6073,2000
1995-09-07,1.6073,1.6073,1.4837,1.5455,410000
1995-09-08,1.5455,1.5455,1.5455,1.5455,0
1995-09-11,1.6073,1.6073,1.6073,1.6073,800
1995-09-12,1.6073,1.6073,1.6073,1.6073,1200
1995-09-13,1.6073,1.6073,1.6073,1.6073,0
1995-09-14,1.6073,1.6073,1.6073,1.6073,0
1995-09-15,1.6073,1.6073,1.6073,1.6073,0
1995-09-18,1.5455,1.5455,1.5455,1.5455,800
1995-09-19,1.3696,1.3696,1.3696,1.3696,2000
1995-09-20,1.4266,1.4266,1.4266,1.4266,0
1995-09-21,1.4266,1.4266,1.4266,1.4266,0
1995-09-22,1.4266,1.4266,1.4266,1.4266,0
1995-09-25,1.4266,1.4266,1.4266,1.4266,0
1995-09-26,1.4266,1.4266,1.3696,1.3696,8800
1995-09-27,1.2459,1.2459,1.2459,1.2459,2000
1995-09-28,1.2459,1.2459,1.2459,1.2459,0
1995-09-29,1.1889,1.4266,1.1889,1.4266,2400
1995-10-02,1.4266,1.4266,1.4266,1.4266,800
1995-10-03,1.3696,1.3696,1.3696,1.3696,1600
1995-10-04,1.4266,1.4266,1.4266,1.4266,2000
1995-10-05,1.4266,1.4266,1.4266,1.4266,0
1995-10-06,1.4266,1.4266,1.4266,1.4266,0
1995-10-09,1.4266,1.4266,1.4266,1.4266,0
1995-10-10,1.4266,1.4266,1.4266,1.4266,0
1995-10-11,1.4266,1.4266,1.3077,1.4266,16000
1995-10-12,1.4266,1.4266,1.4266,1.4266,0
1995-10-13,1.4266,1.4266,1.4266,1.4266,0
1995-10-16,1.4266,1.4266,1.4266,1.4266,0
1995-10-17,1.4266,1.4266,1.4266,1.4266,0
1995-10-18,1.3077,1.3077,1.3077,1.3077,2000
1995-10-19,1.3077,1.3077,1.3077,1.3077,0
1995-10-20,1.3077,1.3077,1.3077,1.3077,0
1995-10-23,1.4266,1.4266,1.4266,1.4266,5600
1995-10-24,1.4266,1.4266,1.4266,1.4266,0
1995-10-25,1.4266,1.4266,1.4266,1.4266,0
1995-10-26,1.4266,1.4266,1.4266,1.4266,0
1995-10-27,1.4266,1.4266,1.4266,1.4266,0
1995-10-30,1.3696,1.3696,1.3696,1.3696,2000
1995-10-31,1.3077,1.3696,1.3077,1.3696,14800
1995-11-01,1.3696,1.3696,1.3696,1.3696,0
1995-11-02,1.3696,1.3696,1.3696,1.3696,2000
1995-11-03,1.3696,1.3696,1.3696,1.3696,0
1995-11-06,1.3696,1.3696,1.3696,1.3696,0
1995-11-07,1.3696,1.3696,1.3696,1.3696,0
1995-11-08,1.3696,1.3696,1.3696,1.3696,0
1995-11-09,1.3077,1.3077,1.3077,1.3077,1200
1995-11-10,1.3077,1.3077,1.3077,1.3077,0
1995-11-13,1.3077,1.3077,1.3077,1.3077,0
1995-11-14,1.3077,1.3077,1.3077,1.3077,0
1995-11-15,1.3696,1.3696,1.3077,1.3077,9600
1995-11-16,1.3077,1.3077,1.3077,1.3077,0
1995-11-17,1.3696,1.3696,1.3077,1.3077,12000
1995-11-20,1.3696,1.3696,1.3696,1.3696,6800
1995-11-21,1.3077,1.3696,1.2459,1.3077,166800
1995-11-22,1.3696,1.4266,1.2459,1.3077,290000
1995-11-24,1.3077,1.4266,1.3077,1.3696,200000
1995-11-27,1.4837,1.4837,1.4266,1.4266,16000
1995-11-28,1.4266,1.4266,1.4266,1.4266,0
1995-11-29,1.4266,1.4266,1.4266,1.4266,0
1995-11-30,1.4837,1.4837,1.4837,1.4837,2000
1995-12-01,1.4837,1.4837,1.4266,1.4837,116000
1995-12-04,1.4837,1.4837,1.4266,1.4837,2000
1995-12-05,1.4837,1.4837,1.4837,1.4837,4000
1995-12-06,1.4837,1.4837,1.4837,1.4837,0
1995-12-07,1.4837,1.4837,1.4837,1.4837,10000
1995-12-08,1.4266,1.4266,1.4266,1.4266,2000
1995-12-11,1.4266,1.4266,1.4266,1.4266,28000
1995-12-12,1.4266,1.4266,1.4266,1.4266,0
1995-12-13,1.4266,1.4266,1.4266,1.4266,0
1995-12-14,1.4266,1.4266,1.4266,1.4266,0
1995-12-15,1.4266,1.4266,1.4266,1.4266,400
1995-12-18,1.4266,1.4266,1.4266,1.4266,0
1995-12-19,1.4266,1.4266,1.4266,1.4266,0
1995-12-20,1.4266,1.4266,1.4266,1.4266,0
1995-12-21,1.4837,1.4837,1.4266,1.4837,31600
1995-12-22,1.4837,1.4837,1.4837,1.4837,0
1995-12-26,1.4837,1.4837,1.4837,1.4837,0
1995-12-27,1.4837,1.4837,1.4837,1.4837,0
1995-12-28,1.4837,1.4837,1.4837,1.4837,0
1995-12-29,1.4837,1.4837,1.4837,1.4837,0
1996-01-02,1.4837,1.4837,1.4837,1.4837,0
1996-01-03,1.4837,1.6644,1.4837,1.4837,12000
1996-01-04,1.4837,1.6073,1.4837,1.6073,16800
1996-01-05,1.6073,1.6073,1.5170,1.5740,80000
1996-01-08,1.5693,1.6073,1.5693,1.6073,12000
1996-01-09,1.4837,1.6073,1.4837,1.5598,344400
1996-01-10,1.5883,1.5883,1.4837,1.5883,36800
1996-01-11,1.4837,1.5455,1.4837,1.5455,200000
1996-01-12,1.5455,1.5455,1.5455,1.5455,0
1996-01-15,1.6073,1.6073,1.5693,1.5693,10000
1996-01-16,1.6073,1.6073,1.6073,1.6073,59200
1996-01-17,1.6073,1.6073,1.6073,1.6073,0
1996-01-18,1.6073,1.6073,1.6073,1.6073,0
1996-01-19,1.6073,1.6073,1.6073,1.6073,0
1996-01-22,1.6073,1.6073,1.5740,1.5740,2400
1996-01-23,1.5740,1.5740,1.5740,1.5740,0
1996-01-24,1.5740,1.5740,1.5740,1.5740,0
1996-01-25,1.4837,1.4837,1.4837,1.4837,50000
1996-01-26,1.4837,1.4837,1.4837,1.4837,0
1996-01-29,1.6644,1.6644,1.5455,1.5455,2000
1996-01-30,1.5455,1.5455,1.5455,1.5455,0
1996-01-31,1.5455,1.5455,1.5455,1.5455,0
1996-02-01,1.6073,1.6073,1.6073,1.6073,12000
1996-02-02,1.6073,1.6073,1.6073,1.6073,2000
1996-02-05,1.6073,1.6073,1.6073,1.6073,0
1996-02-06,1.6073,1.6073,1.6073,1.6073,800
1996-02-07,1.4837,1.5217,1.4837,1.5217,2800
1996-02-08,1.5027,1.6073,1.5027,1.6073,336400
1996-02-09,1.6073,1.6073,1.5740,1.6073,22800
1996-02-12,1.6073,1.6644,1.4837,1.6073,24800
1996-02-13,1.7215,1.7215,1.7215,1.7215,7200
1996-02-14,1.6644,1.8641,1.6644,1.8451,383200
1996-02-15,1.6644,1.7833,1.6644,1.6929,304000
1996-02-16,1.6929,1.6929,1.6929,1.6929,0
1996-02-20,1.7833,1.7833,1.7072,1.7072,18400
1996-02-21,1.7833,1.7833,1.7215,1.7215,22000
1996-02-22,1.7215,1.7215,1.7215,1.7215,0
1996-02-23,1.7215,1.7215,1.7215,1.7215,0
1996-02-26,1.6644,1.6644,1.6644,1.6644,4800
1996-02-27,1.7833,1.7833,1.7215,1.7833,4000
1996-02-28,1.7833,1.7833,1.7215,1.7833,6800
1996-02-29,1.7215,1.7215,1.7167,1.7167,3600
1996-03-01,1.7167,1.7167,1.7167,1.7167,0
1996-03-04,1.7215,1.7215,1.7215,1.7215,2800
1996-03-05,1.7215,1.7215,1.7215,1.7215,0
1996-03-06,1.7215,1.7215,1.7215,1.7215,0
1996-03-07,1.7215,1.7215,1.7215,1.7215,0
1996-03-08,1.7833,1.7833,1.7548,1.7548,3200
