"MacroTrends Data Download"
"DRQ - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1997-10-23,16.0000,20.0000,15.7500,18.5000,8491800
1997-10-24,18.8750,20.2500,18.7500,19.0000,2214400
1997-10-27,18.1250,18.9400,15.5000,16.5000,937800
1997-10-28,16.5000,18.1250,14.8750,17.4400,1217400
1997-10-29,18.0000,18.5000,17.7500,18.5000,687600
1997-10-30,18.0000,19.1900,17.5000,18.6250,494800
1997-10-31,18.8150,19.0000,17.6250,17.9400,189400
1997-11-03,18.0650,18.5000,17.5650,17.7500,256000
1997-11-04,17.6900,17.7500,17.1900,17.6250,224600
1997-11-05,17.3750,18.1900,17.2500,18.1900,302800
1997-11-06,18.3150,18.5000,17.8750,17.9400,217400
1997-11-07,17.5000,17.7500,17.2500,17.7500,236000
1997-11-10,17.7500,18.0650,17.7500,17.8150,68600
1997-11-11,17.8150,18.2200,17.6250,17.6900,244200
1997-11-12,17.5650,18.1250,17.3150,17.3150,100600
1997-11-13,17.2500,17.3150,15.2500,16.5650,495800
1997-11-14,16.8150,17.0650,16.1250,16.5000,99000
1997-11-17,16.8150,17.1250,16.6250,16.7500,98400
1997-11-18,16.7500,16.7500,15.4700,15.5950,229800
1997-11-19,15.2200,15.2500,14.6250,15.1900,830200
1997-11-20,16.0000,16.2500,15.7500,15.9700,382200
1997-11-21,16.0650,16.1250,15.6250,15.6250,75200
1997-11-24,15.6250,15.6250,14.9400,14.9400,180000
1997-11-25,14.9400,15.0000,14.0000,14.6900,391800
1997-11-26,14.7500,15.3150,14.7500,15.0300,195400
1997-11-28,15.0300,15.0300,14.9700,14.9700,79800
1997-12-01,14.9700,14.9700,13.7500,14.5300,466800
1997-12-02,14.5000,15.5650,14.5000,15.3750,85600
1997-12-03,16.2500,17.0000,16.0650,16.5650,395000
1997-12-04,16.6900,17.4400,16.6900,17.0950,245800
1997-12-05,17.0000,17.0950,16.8150,16.8150,148800
1997-12-08,16.9400,16.9400,16.5650,16.6900,42600
1997-12-09,16.5000,16.5650,16.0650,16.1900,48600
1997-12-10,16.1900,16.1900,16.0000,16.0000,52600
1997-12-11,15.7500,15.7500,14.8750,15.0300,121400
1997-12-12,15.1250,15.3750,15.0000,15.2500,146000
1997-12-15,15.2500,15.2500,14.6900,14.7500,220400
1997-12-16,14.7500,15.8150,14.7500,15.3750,66000
1997-12-17,15.7500,15.7500,15.6900,15.7200,44800
1997-12-18,15.6550,16.2500,15.6550,15.9400,342400
1997-12-19,15.8150,15.8150,15.3750,15.5650,61600
1997-12-22,15.5000,15.5650,15.0000,15.1250,152800
1997-12-23,15.1550,15.1900,14.8750,14.8750,211600
1997-12-24,14.7500,15.0000,14.4400,15.0000,92600
1997-12-26,14.9400,14.9400,14.5300,14.6900,22400
1997-12-29,14.6250,15.8150,14.6250,15.7500,71000
1997-12-30,15.7500,16.3150,15.6900,16.0650,115600
1997-12-31,16.1900,17.9400,16.1900,17.5650,184400
1998-01-02,17.3150,17.5000,17.0300,17.1900,105800
1998-01-05,17.0950,17.0950,15.5950,15.6900,237600
1998-01-06,15.5650,15.5950,13.5650,13.9400,550400
1998-01-07,14.1250,14.3750,13.5000,14.0000,265400
1998-01-08,13.8750,13.8750,13.5650,13.7500,51400
1998-01-09,13.6250,13.6550,12.5000,12.8750,311400
1998-01-12,12.1250,12.6900,11.1900,11.6900,275800
1998-01-13,12.0000,12.5000,12.0000,12.5000,410800
1998-01-14,13.0650,13.4400,12.9400,13.1250,402800
1998-01-15,13.4400,13.5000,13.1900,13.2200,104800
1998-01-16,13.3450,13.7500,13.2500,13.7200,151000
1998-01-20,14.1250,14.5650,13.9400,14.4050,170800
1998-01-21,14.5300,14.5300,14.1250,14.3450,86200
1998-01-22,14.0000,14.0000,12.8750,12.8750,221400
1998-01-23,13.0650,13.0950,12.3150,12.6250,267000
1998-01-26,12.6900,13.1900,12.4700,12.6900,255400
1998-01-27,12.7500,13.0650,12.7500,13.0300,66000
1998-01-28,13.0650,13.2500,12.9400,13.0650,56600
1998-01-29,13.3750,14.2500,13.3750,14.1550,346200
1998-01-30,14.5000,15.3750,14.5000,14.8150,279000
1998-02-02,15.0000,15.1250,14.5000,14.5000,296400
1998-02-03,14.4400,14.5000,14.2200,14.2500,39200
1998-02-04,14.3750,14.9400,14.0000,14.9400,74600
1998-02-05,15.0000,16.6250,15.0000,16.2500,365000
1998-02-06,16.2500,16.8150,15.8750,16.5000,200200
1998-02-09,16.5000,16.6900,16.1250,16.1250,91600
1998-02-10,16.0000,16.0000,15.7500,15.7500,21000
1998-02-11,15.7500,16.0000,15.6900,15.6900,34400
1998-02-12,15.5650,15.8750,15.5650,15.8750,20600
1998-02-13,15.8750,15.9400,15.0650,15.1250,41400
1998-02-17,15.1250,15.1900,14.3750,14.4400,74000
1998-02-18,14.4400,14.6900,14.3150,14.6900,41800
1998-02-19,14.8750,14.9400,14.3150,14.5300,83800
1998-02-20,14.5000,14.5000,14.3450,14.4050,13400
1998-02-23,14.3150,14.3150,13.4400,13.8750,38200
1998-02-24,13.8450,14.0000,13.5000,13.5000,154200
1998-02-25,13.2500,13.5650,13.2500,13.5650,97400
1998-02-26,14.0000,14.4400,13.9400,14.2800,118800
1998-02-27,14.2500,15.1900,14.2500,15.0650,107600
1998-03-02,15.1550,15.4400,15.0650,15.3750,26800
1998-03-03,15.3750,16.3750,15.1900,16.1900,220000
1998-03-04,16.0650,16.1900,16.0650,16.1250,42600
1998-03-05,16.1250,16.6900,16.1250,16.5650,141600
1998-03-06,16.5650,16.6550,16.3750,16.4700,391800
1998-03-09,16.3150,16.3150,15.2200,15.2500,256000
1998-03-10,15.1250,15.4700,14.5000,15.3450,142400
1998-03-11,15.5000,15.6250,15.3150,15.3750,36800
1998-03-12,15.3150,15.3150,14.7800,14.9050,95400
1998-03-13,14.9050,14.9700,14.8150,14.8150,48200
