"MacroTrends Data Download"
"E - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1995-11-28,6.9294,7.0230,6.9294,6.9294,20880200
1995-11-29,6.9294,7.0230,6.9294,6.9294,2914200
1995-11-30,6.9975,7.0230,6.9975,6.9975,4901000
1995-12-01,6.7570,6.7847,6.5974,6.6783,3265200
1995-12-04,6.5719,6.5974,6.4910,6.5719,980500
1995-12-05,6.5442,6.6783,6.5442,6.6783,1919500
1995-12-06,6.7847,6.7847,6.7038,6.7315,938500
1995-12-07,6.7847,6.7847,6.7315,6.7315,251200
1995-12-08,6.7315,6.7847,6.7315,6.7847,253700
1995-12-11,6.7570,6.8634,6.7570,6.8634,1000500
1995-12-12,6.8634,6.9166,6.8379,6.8379,498000
1995-12-13,6.8634,6.8911,6.8634,6.8634,970700
1995-12-14,6.9975,7.0507,6.9443,6.9443,1043000
1995-12-15,7.0230,7.0762,6.9975,7.0507,1356700
1995-12-18,7.0762,7.0762,6.9698,6.9975,886000
1995-12-19,7.0230,7.1571,7.0230,7.1295,1107700
1995-12-20,7.3699,7.3699,7.2359,7.2359,1403500
1995-12-21,7.2359,7.3955,7.2103,7.3167,663200
1995-12-22,7.3167,7.3167,7.2635,7.2635,552700
1995-12-26,7.2891,7.3423,7.2891,7.2891,104700
1995-12-27,7.2891,7.3167,7.2635,7.2635,261500
1995-12-28,7.2635,7.3167,7.2103,7.3167,333700
1995-12-29,7.3167,7.3167,7.2635,7.2891,171700
1996-01-02,7.3550,7.4487,7.3380,7.3550,737200
1996-01-03,7.4827,7.4827,7.3550,7.4487,506700
1996-01-04,7.4221,7.4487,7.3955,7.4221,965700
1996-01-05,7.5019,7.5019,7.4221,7.4487,285500
1996-01-08,7.3380,7.4657,7.3380,7.3550,599200
1996-01-09,7.5679,7.5679,7.5168,7.5168,1229700
1996-01-10,7.3955,7.4753,7.3955,7.4221,412500
1996-01-11,7.6349,7.6349,7.5551,7.5551,279000
1996-01-12,7.5551,7.5817,7.4487,7.4487,183500
1996-01-15,7.4657,7.4657,7.2699,7.2869,208500
1996-01-16,7.3380,7.5168,7.3380,7.5168,464000
1996-01-17,7.4753,7.4753,7.2891,7.3157,154000
1996-01-18,7.3955,7.5551,7.3955,7.5551,382000
1996-01-19,7.5551,7.5551,7.4753,7.5019,863000
1996-01-22,7.7466,7.7466,7.6615,7.6785,117500
1996-01-23,7.6615,7.6785,7.5679,7.6615,87500
1996-01-24,7.7945,7.7945,7.6615,7.6881,251200
1996-01-25,7.6615,7.6881,7.6349,7.6615,136700
1996-01-26,7.7147,7.7413,7.7147,7.7413,294200
1996-01-29,7.6785,7.7126,7.6785,7.7126,238000
1996-01-30,7.7296,7.7466,7.7296,7.7296,409200
1996-01-31,7.6881,7.7413,7.6881,7.7413,580500
1996-02-01,7.7679,7.7945,7.7679,7.7679,236200
1996-02-02,7.7413,7.9275,7.6881,7.9275,235000
1996-02-05,7.9807,8.0339,7.9541,8.0339,542200
1996-02-06,8.0605,8.1935,8.0605,8.1669,509700
1996-02-07,8.1137,8.1403,8.0605,8.1137,342500
1996-02-08,8.1137,8.1669,8.1137,8.1403,64700
1996-02-09,8.1403,8.2202,8.1403,8.1669,341700
1996-02-12,8.0871,8.0871,7.9807,8.0073,87700
1996-02-13,8.1137,8.2468,8.0871,8.1403,288700
1996-02-14,7.9541,7.9541,7.8211,7.9275,224200
1996-02-15,7.8211,7.8211,7.7147,7.7679,301200
1996-02-16,7.7413,7.7679,7.6349,7.6349,280700
1996-02-20,7.4221,7.6083,7.4221,7.5817,383200
1996-02-21,7.7413,7.9009,7.7413,7.9009,413700
1996-02-22,7.9541,8.0073,7.9009,7.9541,338200
1996-02-23,7.9275,8.0339,7.9275,8.0073,60000
1996-02-26,7.9541,7.9541,7.8743,7.9009,38700
1996-02-27,7.9541,8.0339,7.9541,8.0339,334200
1996-02-28,8.0605,8.1935,8.0605,8.1137,303200
1996-02-29,8.0339,8.0339,7.9807,7.9807,58500
1996-03-01,7.9594,7.9765,7.9254,7.9424,87700
1996-03-04,7.9424,8.1382,7.9424,8.1382,242000
1996-03-05,8.1723,8.1893,8.1552,8.1723,204500
1996-03-06,7.9807,8.1669,7.9807,8.1669,259000
1996-03-07,8.2202,8.2468,8.1935,8.2202,30000
1996-03-08,8.1669,8.1669,8.0871,8.1137,56200
1996-03-11,7.7296,7.7466,7.5679,7.7466,98200
1996-03-12,7.7466,7.7466,7.7126,7.7296,742000
1996-03-13,7.7679,7.7945,7.6349,7.7945,34200
1996-03-14,7.7945,7.7945,7.7413,7.7679,182200
1996-03-15,7.8477,7.8743,7.7679,7.7945,46000
1996-03-18,7.9594,7.9935,7.9594,7.9935,148000
1996-03-19,7.9935,8.1042,7.9765,7.9765,82000
1996-03-20,8.0073,8.0605,8.0073,8.0605,49000
1996-03-21,8.0605,8.1137,8.0339,8.0339,236000
1996-03-22,8.0605,8.1403,8.0605,8.1403,80200
1996-03-25,7.9424,7.9594,7.9254,7.9424,422500
1996-03-26,7.7807,7.7807,7.7296,7.7466,95500
1996-03-27,7.9807,8.0073,7.9541,7.9807,68500
1996-03-28,7.8477,7.8477,7.7679,7.7945,113200
1996-03-29,7.6881,7.7413,7.6881,7.6881,68200
1996-04-01,7.6785,7.7126,7.6785,7.6956,39700
1996-04-02,7.6881,7.7413,7.6881,7.7147,32000
1996-04-03,7.7413,7.7679,7.7147,7.7679,3937500
1996-04-04,7.7679,7.7945,7.7679,7.7679,120500
1996-04-08,7.8913,7.8913,7.7637,7.7807,18000
1996-04-09,7.9009,7.9009,7.8211,7.8477,393000
1996-04-10,7.8477,8.0339,7.8477,8.0339,212500
1996-04-11,8.2734,8.3266,8.2468,8.3000,123500
1996-04-12,8.4064,8.4330,8.2202,8.2468,814700
1996-04-15,8.5639,8.5809,8.4191,8.5298,382000
1996-04-16,8.5926,8.6192,8.4862,8.5394,124200
1996-04-17,8.4596,8.4596,8.4330,8.4330,22700
1996-04-18,8.3000,8.3000,8.3000,8.3000,226200
1996-04-19,8.3532,8.4596,8.3532,8.4330,323500
1996-04-22,8.9895,8.9895,8.9384,8.9725,913700
1996-04-23,9.0182,9.0182,8.9384,8.9916,534200
1996-04-24,9.1246,9.1246,9.0714,9.0980,1121000
1996-04-25,9.2576,9.3375,9.2044,9.3109,817200
1996-04-26,9.2842,9.2842,9.2310,9.2576,553700
1996-04-29,8.9895,9.0235,8.9895,9.0065,214200
1996-04-30,9.0448,9.0714,9.0182,9.0448,676200
1996-05-01,9.1512,9.1778,9.0448,9.0448,588700
1996-05-02,9.0406,9.0406,8.8448,8.8448,243500
1996-05-03,9.0714,9.0980,9.0714,9.0714,194200
1996-05-06,8.9725,8.9725,8.9554,8.9725,83200
1996-05-07,9.0065,9.0235,8.9895,8.9895,267200
1996-05-08,8.9916,8.9916,8.9650,8.9916,550700
1996-05-09,9.0448,9.0714,9.0182,9.0182,515200
