"MacroTrends Data Download"
"GLNG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2003-07-15,5.5474,5.5474,5.4121,5.4175,9100
2003-07-16,5.3959,5.4121,5.2611,5.3580,8500
2003-07-17,5.2984,5.4662,5.2227,5.2330,43600
2003-07-18,5.2768,5.4067,5.2768,5.2768,8000
2003-07-21,5.4067,5.4067,5.3580,5.3634,29500
2003-07-22,5.2281,5.2984,5.1361,5.1577,51700
2003-07-23,5.2714,5.2714,5.1956,5.2173,7300
2003-07-24,5.2606,5.2660,5.2606,5.2660,3900
2003-07-25,5.6015,5.6015,5.5203,5.5203,2500
2003-07-28,5.5203,5.7206,5.4121,5.6286,51100
2003-07-29,5.5474,5.8559,5.5474,5.7909,20000
2003-07-30,5.8175,6.2185,5.5474,6.2185,15600
2003-07-31,6.2185,6.2239,6.0881,6.1752,123600
2003-08-01,6.0237,6.1806,6.0237,6.1103,24900
2003-08-04,6.1698,6.1806,6.0994,6.1535,14900
2003-08-05,5.9804,6.0886,5.9804,6.0074,11700
2003-08-06,6.0345,6.0399,5.7368,5.8613,26400
2003-08-07,5.8126,5.8396,5.7368,5.8288,2400
2003-08-08,6.1157,6.1157,5.9046,6.0074,58500
2003-08-11,6.0615,6.1157,5.9804,5.9863,45900
2003-08-12,5.9641,5.9804,5.8451,5.8559,26700
2003-08-13,5.8396,5.9587,5.8396,5.8451,69900
2003-08-14,5.8342,6.0339,5.7639,5.7801,7800
2003-08-15,5.8992,5.9804,5.8992,5.9804,1900
2003-08-18,5.8180,5.9208,5.7693,5.8234,112200
2003-08-19,5.8234,6.0074,5.8234,5.9641,30800
2003-08-20,5.8180,5.9695,5.8180,5.8721,27700
2003-08-21,5.9695,6.1427,5.8992,5.9100,20100
2003-08-22,5.9046,6.0237,5.8721,5.8721,47500
2003-08-25,5.9479,5.9533,5.8829,5.8992,15300
2003-08-26,6.0020,6.1427,6.0020,6.0291,26300
2003-08-27,6.0074,6.0832,6.0074,6.0182,28600
2003-08-28,6.1481,6.4945,6.1427,6.4404,101100
2003-08-29,6.4945,6.4999,6.4350,6.4945,64900
2003-09-02,6.4404,6.4404,6.2943,6.3592,80000
2003-09-03,6.2883,6.3592,6.2023,6.3219,139400
2003-09-04,6.2888,6.3321,6.2293,6.2456,471700
2003-09-05,6.2401,6.3754,6.1806,6.3538,329500
2003-09-08,6.3592,6.3857,6.2077,6.2077,354400
2003-09-09,6.2401,6.2401,6.1481,6.1914,113200
2003-09-10,6.0886,6.1427,6.0345,6.0345,22500
2003-09-11,6.1427,6.1698,6.0615,6.1373,5900
2003-09-12,6.1097,6.2780,6.0615,6.2456,46200
2003-09-15,6.2726,6.4296,6.2401,6.3430,59100
2003-09-16,6.3863,6.3917,6.3267,6.3754,34800
2003-09-17,6.4674,6.5649,6.3863,6.4729,43000
2003-09-18,6.3538,6.4945,6.3538,6.4945,38200
2003-09-19,6.4458,6.4674,6.3213,6.4242,101500
2003-09-22,6.3809,6.4891,6.2672,6.4133,62700
2003-09-23,6.5486,6.5703,6.3971,6.4620,34000
2003-09-24,6.4512,6.4620,6.3863,6.3863,34800
2003-09-25,6.4945,6.4945,6.2293,6.2293,22500
2003-09-26,6.2293,6.3863,6.2239,6.3051,104200
2003-09-29,6.3592,6.4404,6.2780,6.3592,2100
2003-09-30,6.2780,6.2780,6.1968,6.2185,12700
2003-10-01,6.2023,6.2239,6.1698,6.1698,10800
2003-10-02,6.1644,6.2023,5.9046,6.1698,20700
2003-10-03,6.2131,6.3051,5.9749,6.1427,117500
2003-10-06,6.1698,6.1698,5.8505,5.9262,6100
2003-10-07,5.7314,5.9533,5.7314,5.8721,39300
2003-10-08,5.9479,5.9966,5.8180,5.8992,15100
2003-10-09,5.9473,5.9479,5.8180,5.8234,16000
2003-10-10,5.9804,6.1698,5.9479,6.0615,7700
2003-10-13,6.1481,6.2618,6.0345,6.1644,20000
2003-10-14,6.3430,6.4945,6.2888,6.3051,336200
2003-10-15,6.4404,6.6677,6.3971,6.6022,234400
