"MacroTrends Data Download"
"GLOP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2014-05-07,13.1761,13.7858,13.1761,13.4913,4693900
2014-05-08,13.5895,13.9408,13.5378,13.6463,451000
2014-05-09,13.8065,13.8943,13.4913,13.6721,265700
2014-05-12,13.6411,13.9822,13.6411,13.9305,204900
2014-05-13,13.9512,14.0648,13.5378,13.7961,321000
2014-05-14,13.7600,14.1010,13.5740,13.8892,108100
2014-05-15,14.1010,14.1785,13.7445,13.7961,187400
2014-05-16,13.7600,14.0545,13.7239,13.7961,125800
2014-05-19,13.8737,13.9822,13.8013,13.8272,81800
2014-05-20,13.9512,13.9925,13.7755,13.8220,121600
2014-05-21,13.8013,13.8633,13.6928,13.7238,126000
2014-05-22,13.8943,13.8943,13.7341,13.7703,106100
2014-05-23,13.7961,13.8892,13.7031,13.8272,84000
2014-05-27,13.8220,13.8995,13.6928,13.7238,71400
2014-05-28,13.7031,13.7951,13.6928,13.7445,114200
2014-05-29,13.7445,14.1423,13.6928,13.7031,201400
2014-05-30,13.8013,13.8633,13.7031,13.7031,193700
2014-06-02,14.0390,14.8864,14.0390,14.4420,310700
2014-06-03,14.6642,14.9329,14.5144,14.7159,215800
2014-06-04,14.7572,15.1138,14.7572,14.9277,149900
2014-06-05,14.9846,15.0104,14.7779,14.8089,132000
2014-06-06,14.7779,15.0259,14.7779,14.8399,80000
2014-06-09,14.9329,15.0621,14.8761,14.8967,88100
2014-06-10,15.0208,15.0208,14.8812,14.9226,68200
2014-06-11,14.9226,15.2016,14.9071,14.9484,215000
2014-06-12,15.1551,15.6356,14.9949,15.2946,121400
2014-06-13,15.5013,15.5013,15.1241,15.4134,47000
2014-06-16,15.5065,16.7466,15.5065,16.5140,111900
2014-06-17,16.7672,17.3975,16.7414,17.1858,214800
2014-06-18,17.4648,18.2037,17.2374,17.5165,257500
2014-06-19,17.5526,18.0797,17.5477,18.0693,224800
2014-06-20,18.1830,19.1131,18.1365,18.5395,220900
2014-06-23,18.8289,18.8547,17.3149,17.8213,264000
2014-06-24,17.8472,17.8730,17.2891,17.3718,174900
2014-06-25,17.2839,17.5216,15.7596,17.3459,322100
