"MacroTrends Data Download"
"GPP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2015-06-26,7.5194,7.7466,7.4059,7.4059,7284822
2015-06-29,7.4059,8.0428,7.3318,7.8947,873725
2015-06-30,7.7515,7.8897,7.5738,7.6577,558428
2015-07-01,7.6034,7.8256,7.4800,7.5491,292912
2015-07-02,7.5145,7.7169,6.6209,7.3121,411968
2015-07-06,7.3022,7.3220,6.9665,7.1097,184043
2015-07-07,7.0455,7.2528,6.8381,7.2084,183045
2015-07-08,7.0060,7.2528,6.8430,7.1097,94308
2015-07-09,7.0553,7.2775,7.0158,7.0553,294785
2015-07-10,7.1097,7.4997,7.1097,7.3516,62392
2015-07-13,7.2430,7.3812,7.1590,7.2874,69129
2015-07-14,7.3269,7.3565,7.1591,7.3269,46522
2015-07-15,7.2775,7.3565,7.1689,7.2380,37735
2015-07-16,7.3960,7.4010,7.1763,7.2726,37722
2015-07-17,7.2825,7.6528,7.2825,7.6330,189234
2015-07-20,7.6182,7.6478,7.3565,7.4701,111159
2015-07-21,7.4553,7.8996,7.3664,7.7910,294566
2015-07-22,7.7762,7.8946,7.5293,7.6577,57867
2015-07-23,7.7861,7.8502,7.6528,7.6824,64379
2015-07-24,7.6478,7.7836,7.4503,7.6182,92558
2015-07-27,7.4503,7.5787,7.3318,7.3960,60075
2015-07-28,7.3713,7.5688,7.3565,7.4651,31675
2015-07-29,7.5540,7.6676,7.4306,7.6676,196251
2015-07-30,7.6429,7.6429,7.4454,7.6429,21999
2015-07-31,7.6528,7.8749,7.5540,7.8749,63555
2015-08-03,7.7861,7.8996,7.4800,7.8799,86997
2015-08-04,7.8651,7.8799,7.7095,7.7318,120552
2015-08-05,7.6923,7.8601,7.3318,7.4108,118380
2015-08-06,7.3318,7.6873,7.1590,7.3417,61304
2015-08-07,7.3071,7.3960,7.2558,7.3071,13227
2015-08-10,7.5293,7.5540,7.0109,7.5194,136026
2015-08-11,7.5244,7.5540,6.9122,7.3713,16090
2015-08-12,7.3812,7.4503,7.1541,7.3713,38572
2015-08-13,7.4010,7.4405,7.2158,7.3615,28192
2015-08-14,7.2430,7.4256,7.1640,7.3565,93502
2015-08-17,7.4158,7.4306,7.2825,7.4010,29659
2015-08-18,7.3763,7.4010,7.2528,7.2923,63100
2015-08-19,7.3121,7.3812,7.2578,7.2923,10242
2015-08-20,7.1985,7.4158,7.0998,7.2825,68597
2015-08-21,7.2676,7.3763,7.2479,7.3763,34656
2015-08-24,7.2281,7.2676,6.4382,7.0010,200554
2015-08-25,7.1393,7.2232,6.4184,6.5764,165420
2015-08-26,6.6456,6.8579,6.1617,6.5172,119090
2015-08-27,6.6061,7.0109,5.3915,6.6752,75149
2015-08-28,6.9467,6.9467,6.4456,6.7640,61223
2015-08-31,6.6554,7.2775,6.5369,7.2183,181280
2015-09-01,7.0109,7.1343,6.7887,6.9467,54141
2015-09-02,6.9862,7.2331,6.8974,7.1590,58772
2015-09-03,7.2084,7.2084,7.1097,7.1393,14384
2015-09-04,7.1590,7.1590,6.9418,7.0850,20258
2015-09-08,7.1393,7.1393,6.7394,6.7887,130422
2015-09-09,6.9023,6.9023,6.6011,6.6851,66535
2015-09-10,6.6949,6.6949,6.1864,6.5419,201638
2015-09-11,6.5666,6.5838,6.3789,6.4629,63660
2015-09-14,6.4184,6.5912,6.3938,6.4629,84870
2015-09-15,6.5666,6.5838,6.4184,6.4727,83492
2015-09-16,6.4579,6.5221,6.4234,6.4678,69021
2015-09-17,6.4826,6.5814,6.3789,6.4431,87119
2015-09-18,6.4036,6.6628,6.4036,6.6357,37508
2015-09-21,6.7295,6.8875,6.5567,6.7739,55472
2015-09-22,6.6851,6.9418,6.5468,6.8381,26610
2015-09-23,6.8332,6.8628,6.7048,6.8085,24988
2015-09-24,6.7443,6.8233,6.4678,6.6604,142528
2015-09-25,6.6702,6.7937,6.5567,6.6258,34367
2015-09-28,6.6061,6.6702,6.3789,6.5616,108811
2015-09-29,6.5172,6.6628,6.3789,6.4629,137579
2015-09-30,6.4678,6.5419,6.3789,6.5172,51136
2015-10-01,6.5369,6.7690,6.4727,6.6604,120554
2015-10-02,6.5419,6.6480,6.3789,6.5814,73725
2015-10-05,6.5419,6.5419,6.4382,6.5122,41366
2015-10-06,6.4777,6.5666,6.4184,6.5271,39412
2015-10-07,6.4086,6.6653,6.3987,6.5912,36759
2015-10-08,6.5221,7.2084,6.5221,6.6702,193366
2015-10-09,6.6900,7.2084,6.6357,7.0702,121721
2015-10-12,7.1195,7.2084,6.9369,6.9961,51150
2015-10-13,6.9615,7.2775,6.6900,6.6900,178394
2015-10-14,6.7295,7.0771,6.7295,6.9615,26989
