"MacroTrends Data Download"
"HP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-10-15,2.6609,2.7217,2.6609,2.7217,77600
1980-10-16,2.7217,2.8659,2.6688,2.6913,158400
1980-10-17,5.3377,5.3377,5.2306,5.2452,16800
1980-10-20,5.2452,5.2452,5.1844,5.2452,30400
1980-10-21,5.2452,5.3377,5.2452,5.2914,36000
1980-10-22,5.2914,5.3218,5.2306,5.2306,28000
1980-10-23,5.1844,5.1844,5.0944,5.1394,63600
1980-10-24,5.1394,5.2452,4.9873,5.2452,124800
1980-10-27,5.1698,5.1698,4.9727,5.0335,63600
1980-10-28,5.0335,5.0944,5.0335,5.0944,14800
1980-10-29,5.0944,5.1698,5.0786,5.0944,38800
1980-10-30,5.0944,5.1394,4.9727,4.9873,11600
1980-10-31,4.9873,4.9873,4.9265,4.9873,50000
1980-11-03,4.9873,5.2914,4.9873,5.2914,20000
1980-11-05,5.4739,5.7172,5.4739,5.4739,183200
1980-11-06,5.4739,5.4739,5.4277,5.4435,18800
1980-11-07,5.3827,5.3827,5.2914,5.3377,35600
1980-11-10,5.3668,5.3985,5.3668,5.3668,26400
1980-11-11,5.3668,5.3668,5.2914,5.3668,41600
1980-11-12,5.4277,5.4885,5.4277,5.4739,173600
1980-11-13,5.5347,5.5493,5.5347,5.5493,230800
1980-11-14,5.5493,5.5955,5.4739,5.5955,96400
1980-11-17,5.5809,5.5809,5.4435,5.5809,72400
1980-11-18,5.5809,5.6868,5.5493,5.6259,49200
1980-11-19,5.6710,5.7780,5.6710,5.7172,119600
1980-11-20,5.7172,6.0359,5.7172,5.9459,114000
1980-11-21,6.0967,6.2500,6.0967,6.2342,89200
1980-11-24,6.1283,6.1283,5.9300,6.0821,66800
1980-11-25,6.1733,6.3862,6.1733,6.3716,191600
1980-11-26,6.3716,6.3862,6.2342,6.2950,78000
1980-11-28,6.2950,6.3254,6.2500,6.3254,58800
1980-12-01,6.3254,6.3400,6.1891,6.1891,54400
1980-12-02,6.0821,6.0821,5.5347,5.6868,103200
1980-12-03,5.8388,6.0213,5.8388,6.0213,253600
1980-12-04,6.0213,6.0359,5.9300,5.9459,52000
1980-12-05,5.8388,5.8388,5.6418,5.8242,70800
1980-12-08,5.7926,5.7926,5.3827,5.3985,112400
1980-12-09,5.3985,5.4885,5.3827,5.4885,130000
1980-12-10,5.4739,5.4739,5.2452,5.3827,43600
1980-12-11,5.3827,5.5493,5.2768,5.5493,302400
1980-12-12,5.5493,5.7318,5.5347,5.7318,84000
1980-12-15,5.7780,5.8388,5.7780,5.8388,135600
1980-12-16,5.8388,5.8388,5.7780,5.7926,36800
1980-12-17,5.8388,6.1733,5.8388,6.0821,98000
1980-12-18,6.1429,6.4324,6.1429,6.1891,82800
1980-12-19,6.1891,6.2342,6.1429,6.2342,22800
1980-12-22,6.2342,6.2950,6.1429,6.1891,37200
1980-12-23,6.1891,6.1891,6.0821,6.0821,39600
1980-12-24,6.0821,6.3400,6.0821,6.3400,55600
1980-12-26,6.2950,6.2950,6.2792,6.2950,5200
1980-12-29,6.4324,6.5833,6.4324,6.4324,75200
1980-12-30,6.4324,6.4470,6.2500,6.2500,105600
1980-12-31,6.2500,6.2500,6.1891,6.1891,103200
1981-01-02,6.1891,6.4166,6.1891,6.3400,118000
1981-01-05,6.3400,6.3716,6.2500,6.2792,70000
1981-01-06,6.2500,6.2500,5.9909,5.9909,75600
1981-01-07,5.8692,5.8692,5.7926,5.8388,280000
1981-01-08,5.8388,5.9909,5.6418,5.6418,184400
1981-01-09,5.6418,5.7318,5.5955,5.6418,256000
1981-01-12,5.6418,5.6418,5.4277,5.4435,66400
1981-01-13,5.4435,5.4435,5.2306,5.4435,111200
1981-01-14,5.4435,5.5347,5.4435,5.5347,153200
1981-01-15,5.5347,5.6418,5.5347,5.6418,24400
1981-01-16,5.6418,5.7172,5.6259,5.6868,58000
1981-01-19,5.6868,5.7172,5.6868,5.7172,34800
1981-01-20,5.7172,5.7318,5.6418,5.6868,168800
1981-01-21,5.5955,5.5955,5.5201,5.5201,100800
