"MacroTrends Data Download"
"IMO - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1986-07-16,1.1258,1.1368,1.1258,1.1368,161100
1986-07-17,1.1368,1.1368,1.1258,1.1368,135000
1986-07-18,1.1315,1.1368,1.1315,1.1368,116100
1986-07-21,1.1425,1.1477,1.1425,1.1477,36000
1986-07-22,1.1425,1.1696,1.1425,1.1477,423900
1986-07-23,1.1477,1.1696,1.1425,1.1696,561600
1986-07-24,1.1805,1.1805,1.1586,1.1639,93600
1986-07-25,1.1586,1.1696,1.1534,1.1639,61200
1986-07-28,1.1748,1.1805,1.1639,1.1696,105300
1986-07-29,1.1696,1.1696,1.1586,1.1639,326700
1986-07-30,1.1639,1.1748,1.1639,1.1748,325800
1986-07-31,1.1805,1.1914,1.1748,1.1748,153900
1986-08-01,1.1805,1.1862,1.1639,1.1696,422100
1986-08-04,1.1586,1.1696,1.1477,1.1696,232200
1986-08-05,1.2352,1.2789,1.2352,1.2352,2399400
1986-08-06,1.2352,1.2518,1.2295,1.2461,882000
1986-08-07,1.2408,1.2623,1.2408,1.2623,1433700
1986-08-08,1.2732,1.2789,1.2679,1.2679,391500
1986-08-11,1.2789,1.2789,1.2679,1.2679,128700
1986-08-12,1.2732,1.2846,1.2732,1.2789,734400
1986-08-13,1.2846,1.2846,1.2789,1.2789,346500
1986-08-14,1.2789,1.3117,1.2789,1.3007,1090800
1986-08-15,1.3007,1.3169,1.2955,1.3169,1149300
1986-08-18,1.3169,1.3554,1.3169,1.3501,657900
1986-08-19,1.3445,1.3445,1.3335,1.3335,304200
1986-08-20,1.3283,1.3445,1.3226,1.3445,1026900
1986-08-21,1.3335,1.3445,1.3335,1.3445,715500
1986-08-22,1.3554,1.3554,1.3392,1.3445,972000
1986-08-25,1.3445,1.3501,1.3445,1.3445,1473300
1986-08-26,1.3554,1.3606,1.3392,1.3554,821700
1986-08-27,1.3606,1.3882,1.3606,1.3829,1717200
1986-08-28,1.3939,1.3939,1.3773,1.3829,1436400
1986-08-29,1.3829,1.3829,1.3716,1.3716,106200
1986-09-02,1.3829,1.3829,1.3663,1.3663,152100
1986-09-03,1.3829,1.3939,1.3716,1.3939,404100
1986-09-04,1.4044,1.4376,1.3991,1.4319,906300
1986-09-05,1.4485,1.4699,1.4428,1.4538,1674900
1986-09-08,1.4485,1.4538,1.4428,1.4428,1188900
1986-09-09,1.4538,1.4975,1.4485,1.4975,4051800
1986-09-10,1.4922,1.4922,1.4699,1.4813,2841300
1986-09-11,1.4756,1.4813,1.4538,1.4699,2125800
1986-09-12,1.4647,1.4813,1.4538,1.4699,1936800
1986-09-15,1.4590,1.4699,1.4538,1.4647,412200
1986-09-16,1.4590,1.4590,1.4210,1.4262,134100
1986-09-17,1.4262,1.4376,1.3991,1.4210,712800
1986-09-18,1.4210,1.4319,1.4210,1.4262,187200
1986-09-19,1.4210,1.4319,1.4153,1.4319,576900
1986-09-22,1.4319,1.4813,1.4262,1.4647,2426400
1986-09-23,1.4590,1.4813,1.4590,1.4813,426600
1986-09-24,1.4756,1.4922,1.4756,1.4922,557100
1986-09-25,1.4866,1.4866,1.4590,1.4647,132300
1986-09-26,1.4699,1.4699,1.4590,1.4647,748800
1986-09-29,1.4538,1.4590,1.4485,1.4485,505800
1986-09-30,1.4428,1.4647,1.4428,1.4538,2055600
1986-10-01,1.4428,1.4538,1.4376,1.4376,600300
1986-10-02,1.4376,1.4376,1.4319,1.4376,188100
1986-10-03,1.4319,1.4319,1.4210,1.4262,146700
1986-10-06,1.4153,1.4210,1.4100,1.4100,33300
1986-10-07,1.4210,1.4428,1.4210,1.4376,370800
1986-10-08,1.4376,1.4590,1.4376,1.4428,1355400
1986-10-09,1.4485,1.4590,1.4428,1.4485,1879200
1986-10-10,1.4485,1.4538,1.4376,1.4485,1286100
1986-10-13,1.4485,1.4590,1.4485,1.4590,225900
1986-10-14,1.4538,1.4538,1.4153,1.4262,1611900
1986-10-15,1.4210,1.4262,1.4153,1.4210,908100
1986-10-16,1.4100,1.4262,1.4100,1.4210,795600
1986-10-17,1.4153,1.4262,1.4153,1.4262,419400
1986-10-20,1.4210,1.4262,1.4210,1.4210,143100
1986-10-21,1.4262,1.4262,1.3991,1.3991,525600
1986-10-22,1.4044,1.4100,1.4044,1.4100,419400
1986-10-23,1.4100,1.4210,1.4100,1.4210,167400
1986-10-24,1.4153,1.4262,1.4153,1.4153,310500
1986-10-27,1.4210,1.4210,1.4153,1.4153,658800
1986-10-28,1.4100,1.4153,1.4100,1.4153,148500
1986-10-29,1.4044,1.4210,1.4044,1.4210,221400
1986-10-30,1.4210,1.4485,1.4044,1.4485,969300
1986-10-31,1.4485,1.4699,1.4428,1.4647,693000
1986-11-03,1.4699,1.4756,1.4699,1.4699,609300
1986-11-04,1.4756,1.4756,1.4647,1.4699,1534500
1986-11-05,1.4756,1.4813,1.4699,1.4756,509400
1986-11-06,1.4813,1.4922,1.4813,1.4866,363600
1986-11-07,1.4922,1.4975,1.4866,1.4975,102600
1986-11-10,1.4922,1.5084,1.4922,1.4975,558000
1986-11-11,1.5084,1.5193,1.5027,1.5137,1241100
1986-11-12,1.5250,1.5469,1.5250,1.5469,1598400
1986-11-13,1.5469,1.5469,1.5303,1.5303,406800
1986-11-14,1.5250,1.5303,1.5084,1.5137,332100
1986-11-17,1.5084,1.5137,1.5027,1.5084,164700
1986-11-18,1.5193,1.5193,1.5027,1.5084,215100
1986-11-19,1.4975,1.5027,1.4866,1.4866,281700
1986-11-20,1.4813,1.4866,1.4756,1.4813,416700
1986-11-21,1.4922,1.4922,1.4866,1.4922,533700
1986-11-24,1.4866,1.4975,1.4756,1.4866,1179000
1986-11-25,1.4922,1.4975,1.4866,1.4922,269100
1986-11-26,1.4866,1.4866,1.4538,1.4647,367200
1986-11-28,1.4647,1.4756,1.4647,1.4756,14400
1986-12-01,1.4699,1.4866,1.4699,1.4866,714600
1986-12-02,1.4813,1.4975,1.4813,1.4975,551700
1986-12-03,1.4975,1.5084,1.4975,1.5027,329400
1986-12-04,1.5027,1.5137,1.5027,1.5084,558900
1986-12-05,1.5084,1.5193,1.5027,1.5084,243900
1986-12-08,1.5084,1.5137,1.5084,1.5137,48600
1986-12-09,1.5137,1.5137,1.4922,1.4975,173700
1986-12-10,1.5027,1.5084,1.4922,1.5027,99900
1986-12-11,1.5084,1.5412,1.5084,1.5360,4696200
1986-12-12,1.5360,1.5797,1.5360,1.5521,840600
1986-12-15,1.5631,1.5906,1.5631,1.5849,1317600
1986-12-16,1.5906,1.5906,1.5683,1.5740,2138400
1986-12-17,1.5631,1.5631,1.5469,1.5469,892800
1986-12-18,1.5469,1.5740,1.5412,1.5683,520200
1986-12-19,1.5683,1.5959,1.5683,1.5849,1355400
1986-12-22,1.5959,1.6230,1.5959,1.6177,1468800
1986-12-23,1.6177,1.6177,1.6068,1.6120,165600
1986-12-24,1.6177,1.6287,1.6120,1.6177,968400
1986-12-26,1.6177,1.6287,1.6177,1.6287,266400
1986-12-29,1.6287,1.6343,1.6230,1.6287,570600
1986-12-30,1.6230,1.6287,1.6230,1.6230,107100
1986-12-31,1.6287,1.6287,1.6177,1.6230,278100
1987-01-02,1.6177,1.6230,1.5959,1.6011,2596500
1987-01-05,1.5959,1.6120,1.5959,1.6068,649800
1987-01-06,1.6120,1.6396,1.6120,1.6287,410400
1987-01-07,1.6230,1.6505,1.6230,1.6453,1296900
1987-01-08,1.6396,1.6558,1.6396,1.6558,439200
1987-01-09,1.6558,1.6781,1.6505,1.6781,629100
