"MacroTrends Data Download"
"INDO - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2019-12-20,10.8079,12.4900,9.2500,9.6500,503005
2019-12-23,8.7900,8.7900,7.2500,7.8100,117447
2019-12-24,7.5000,7.6400,6.0000,6.4100,102833
2019-12-26,6.4200,7.7200,6.4200,7.4099,78383
2019-12-27,7.6500,7.7500,7.0797,7.5600,30527
2019-12-30,7.2500,7.3700,7.1000,7.1100,13288
2019-12-31,7.0500,7.7000,6.6001,7.3100,181084
2020-01-02,7.0300,7.4200,7.0300,7.1000,23258
2020-01-03,7.1500,7.2700,7.0000,7.0900,12230
2020-01-06,7.1000,7.7500,6.8100,7.1700,32664
2020-01-07,7.1304,8.6800,7.0861,8.0500,95126
2020-01-08,8.0700,8.2956,7.1000,7.1000,37962
2020-01-09,7.2600,7.7400,6.9000,7.6000,38956
2020-01-10,7.9900,7.9900,7.6800,7.9500,17541
2020-01-13,7.6500,7.7400,7.5597,7.7000,4056
2020-01-14,7.7000,8.7102,7.5500,8.3000,60820
2020-01-15,8.3000,8.4000,7.8050,8.2000,28800
2020-01-16,8.6900,8.6900,8.3400,8.3400,8398
2020-01-17,8.5400,8.5400,7.8500,8.3000,15855
2020-01-21,8.2900,8.4595,8.0000,8.0000,10486
2020-01-22,8.2000,8.2900,7.7000,7.7600,10443
2020-01-23,7.7001,7.9200,7.7000,7.7000,3722
2020-01-24,7.8900,7.8900,7.7000,7.8000,887
2020-01-27,7.7800,8.3000,7.3100,7.5100,19115
2020-01-28,7.5400,7.6000,7.2800,7.2800,9713
2020-01-29,7.2900,7.6000,7.1500,7.6000,2747
2020-01-30,7.2700,7.2700,6.5200,7.0000,16105
2020-01-31,7.0000,7.0100,6.9000,6.9000,2342
2020-02-03,6.8700,6.8700,6.8700,6.8700,232
2020-02-04,6.7500,6.7500,6.5000,6.6050,1180
2020-02-05,6.7400,7.1000,6.5500,7.1000,2653
2020-02-06,7.0900,7.2500,6.5000,6.6000,3330
2020-02-07,6.7750,6.8250,6.5000,6.5000,2799
2020-02-10,6.5000,6.5313,6.2500,6.4813,2219
2020-02-11,6.6900,6.8500,6.6900,6.8500,1296
2020-02-12,7.0000,7.4500,7.0000,7.3420,7346
2020-02-13,7.1000,7.3300,7.1000,7.2700,784
2020-02-14,7.3000,7.5000,7.2000,7.3400,3576
2020-02-18,7.3500,7.3500,7.0100,7.0100,475
2020-02-19,6.9026,7.3500,6.9026,7.1200,8349
2020-02-20,7.0200,7.0200,6.5000,6.5000,3764
2020-02-21,6.7400,6.9500,6.6377,6.6377,2185
2020-02-24,6.6377,6.6377,6.6377,6.6377,281
2020-02-25,6.7700,6.7700,6.7700,6.7700,180
2020-02-26,6.5700,6.6000,6.3000,6.4125,2718
2020-02-27,6.5650,6.5650,6.0000,6.0000,2998
2020-02-28,5.5000,5.7146,5.3000,5.3000,6444
2020-03-02,5.2500,5.4000,5.2500,5.2700,1578
2020-03-03,5.0000,5.0000,4.7500,4.9000,1082
2020-03-04,4.9100,5.3270,4.9100,5.3200,1179
2020-03-05,5.0000,5.0000,4.7500,4.9962,1816
2020-03-06,4.9962,4.9962,4.9962,4.9962,116
2020-03-09,4.4200,4.4200,4.4000,4.4000,478
2020-03-10,4.2016,4.2016,2.7600,3.4000,7185
2020-03-11,3.1800,3.1800,2.9100,3.0000,1727
2020-03-12,2.7900,2.7900,2.6900,2.6900,1218
2020-03-13,2.6800,2.8700,2.6800,2.7300,4276
2020-03-16,2.3600,2.4600,1.6500,1.7765,13582
2020-03-17,1.6700,1.6700,1.5612,1.5612,1099
2020-03-18,1.5500,1.5500,1.5500,1.5500,1996
2020-03-19,1.5500,3.0000,1.5500,2.0000,40575
2020-03-20,1.9962,2.0000,1.5500,1.5500,15051
2020-03-23,1.5956,2.3900,1.5956,2.2840,9527
2020-03-24,2.7400,4.4000,2.4700,4.1900,47181
2020-03-25,4.7500,5.0000,3.0700,3.7499,15363
2020-03-26,4.1600,4.3400,3.0101,3.5300,9656
2020-03-27,3.5300,3.6399,3.5300,3.6399,4248
2020-03-30,3.9900,3.9900,3.5300,3.5300,10331
2020-03-31,3.6233,3.6233,3.5300,3.6007,3077
2020-04-01,3.5300,3.5457,3.5300,3.5457,429
2020-04-02,3.5500,4.0000,3.5300,3.5400,28020
2020-04-03,3.3000,3.4400,3.0200,3.4400,1755
2020-04-06,3.6800,3.6800,3.5000,3.5000,1914
2020-04-07,3.5600,3.5600,3.5000,3.5000,712
2020-04-08,3.5000,3.6455,3.5000,3.6455,2596
2020-04-09,3.6999,3.8386,3.5000,3.5000,19102
2020-04-13,3.5000,3.5000,3.5000,3.5000,305
2020-04-14,3.6000,3.6000,3.6000,3.6000,215
2020-04-15,3.9900,4.1499,3.5000,3.5102,15832
2020-04-16,3.6400,3.6400,3.5000,3.5175,800
2020-04-17,3.5000,3.5203,3.5000,3.5203,640
2020-04-20,3.5000,3.5000,3.5000,3.5000,282
2020-04-21,3.5000,3.6000,3.5000,3.5000,2207
2020-04-22,3.9500,3.9500,3.9500,3.9500,1245
2020-04-23,4.0000,4.0000,4.0000,4.0000,580
2020-04-24,3.8500,3.9122,3.8500,3.8700,1047
2020-04-27,3.8300,3.8300,3.8300,3.8300,196
2020-04-28,3.8300,3.8300,3.8300,3.8300,953
2020-04-29,3.8600,3.8793,3.8600,3.8793,288
2020-04-30,3.8793,3.8793,3.8793,3.8793,74
2020-05-01,4.1000,5.7200,4.1000,5.7200,37849
