"MacroTrends Data Download"
"KMI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2011-02-11,18.3438,18.5984,17.7941,17.9677,50610600
2011-02-14,17.9677,18.1123,17.7651,17.7651,6275900
2011-02-15,17.8809,18.0255,17.7825,17.9040,4337800
2011-02-16,17.9677,18.1933,17.7420,17.7767,4627100
2011-02-17,17.7536,17.9908,17.6552,17.6783,3290700
2011-02-18,17.7362,18.1644,17.5915,18.1528,2583800
2011-02-22,18.0197,18.1876,17.7709,17.7767,2454300
2011-02-23,17.7999,17.8809,17.5047,17.6031,2671200
2011-02-24,17.6783,17.7362,17.5337,17.6263,1698000
2011-02-25,17.6668,17.7941,17.5337,17.6494,2225900
2011-02-28,17.6899,17.8172,17.6031,17.6494,2380400
2011-03-01,17.7362,17.8114,17.4932,17.6205,1908000
2011-03-02,17.6899,17.7593,17.5105,17.6899,2197000
2011-03-03,17.7536,17.8056,17.6668,17.8056,1901800
2011-03-04,17.8230,17.9035,17.7420,17.8519,892300
2011-03-07,17.9040,17.9619,17.7651,17.8809,1049600
2011-03-08,17.8230,17.9619,17.8230,17.9214,827400
2011-03-09,17.8809,17.9272,17.7883,17.7941,294100
2011-03-10,17.7709,17.7709,17.2154,17.4179,2715200
2011-03-11,17.4179,17.6378,17.3427,17.4179,1896900
2011-03-14,17.3601,17.4874,17.2443,17.3543,1967700
2011-03-15,17.2501,17.4758,17.1286,17.2906,1968400
2011-03-16,17.2964,17.4527,17.2212,17.3890,2062200
2011-03-17,17.4758,17.5973,17.3948,17.4469,1511400
2011-03-18,17.4816,17.6494,17.4064,17.6494,1906600
2011-03-21,17.6668,17.9387,17.5915,17.8346,1253000
2011-03-22,17.8809,17.9272,17.6899,17.7651,1014700
2011-03-23,17.6668,17.7478,17.3311,17.3716,2570500
2011-03-24,17.4179,17.5047,17.3022,17.3890,1411600
2011-03-25,17.3659,17.4121,17.0707,17.0823,2687100
2011-03-28,17.2096,17.3196,17.1054,17.1402,1552900
2011-03-29,17.2154,17.2933,17.0939,17.2385,1313800
2011-03-30,17.2848,17.2964,17.1170,17.1807,769700
2011-03-31,17.2443,17.2848,17.0765,17.1517,884400
2011-04-01,17.2385,17.2733,17.0649,17.0707,1869200
2011-04-04,17.0360,17.1865,16.9261,17.0360,1177900
2011-04-05,17.0649,17.1517,16.7814,17.0360,1021200
2011-04-06,17.0476,17.0649,16.9029,17.0476,725100
2011-04-07,17.0823,17.1054,16.8566,16.9087,1226100
2011-04-08,16.9087,17.0244,16.8508,16.9724,934800
2011-04-11,16.9550,17.0186,16.8219,16.9261,1160900
2011-04-12,16.8393,16.9203,16.3590,16.6252,1278100
2011-04-13,16.6309,16.7930,16.5846,16.6830,2766900
2011-04-14,16.6599,16.8740,16.5326,16.8508,785800
2011-04-15,16.8450,16.8682,16.6020,16.7120,863900
2011-04-18,16.6599,16.6888,16.3358,16.5036,882400
2011-04-19,16.5441,16.7004,16.5094,16.6541,1121200
2011-04-20,16.7698,17.1286,16.6599,17.0418,2054000
2011-04-21,16.9666,17.3196,16.8219,17.1460,1516900
2011-04-25,17.2501,17.2501,16.8219,16.9897,604100
