"MacroTrends Data Download"
"NBR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1991-02-28,164.0774,169.0747,153.6664,156.1651,29436
1991-03-01,150.9595,153.6664,143.2554,148.2527,13344
1991-03-04,153.6664,153.6664,148.2527,150.9595,7920
1991-03-05,150.9595,150.9595,148.2527,150.9595,2028
1991-03-06,150.9595,150.9595,140.5485,140.5485,4560
1991-03-07,145.7540,145.7540,140.5485,140.5485,2348
1991-03-08,143.2554,143.2554,140.5485,140.5485,2548
1991-03-11,140.5485,143.2554,137.8417,140.5485,2600
1991-03-12,137.8417,143.2554,135.3430,135.3430,2292
1991-03-13,135.3430,140.5485,135.3430,137.8417,5944
1991-03-14,137.8417,140.5485,135.3430,140.5485,2156
1991-03-15,137.8417,140.5485,135.3430,140.5485,2088
1991-03-18,137.8417,137.8417,132.8444,135.3430,2280
1991-03-19,132.8444,140.5485,132.8444,140.5485,6020
1991-03-20,143.2554,145.7540,140.5485,145.7540,8288
1991-03-21,145.7540,150.9595,140.5485,145.7540,6572
1991-03-22,145.7540,148.2527,143.2554,143.2554,2404
1991-03-25,145.7540,145.7540,143.2554,143.2554,2016
1991-03-26,145.7540,145.7540,140.5485,140.5485,2472
1991-03-27,143.2554,143.2554,137.8417,137.8417,728
1991-03-28,137.8417,140.5485,137.8417,140.5485,1548
1991-04-01,140.5485,143.2554,135.3430,135.3430,3124
1991-04-02,135.3430,137.8417,135.3430,137.8417,2888
