"MacroTrends Data Download"
"OKE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1985-07-01,0.6485,0.6587,0.6485,0.6485,110504
1985-07-02,0.6509,0.6612,0.6509,0.6612,86800
1985-07-03,0.6612,0.6663,0.6612,0.6638,74904
1985-07-05,0.6638,0.6663,0.6509,0.6509,141600
1985-07-08,0.6509,0.6536,0.6383,0.6509,69400
1985-07-09,0.6509,0.6587,0.6485,0.6509,146200
1985-07-10,0.6509,0.6561,0.6485,0.6509,145200
1985-07-11,0.6509,0.6587,0.6458,0.6536,210104
1985-07-12,0.6536,0.6587,0.6509,0.6587,97704
1985-07-15,0.6587,0.6587,0.6509,0.6587,103200
1985-07-16,0.6587,0.6638,0.6561,0.6638,133400
1985-07-17,0.6638,0.6689,0.6612,0.6612,339000
1985-07-18,0.6612,0.6663,0.6561,0.6638,118704
1985-07-19,0.6638,0.6638,0.6536,0.6587,227504
1985-07-22,0.6587,0.6587,0.6536,0.6561,3675104
1985-07-23,0.6561,0.6561,0.6485,0.6536,146200
1985-07-24,0.6536,0.6536,0.6458,0.6536,106904
1985-07-25,0.6358,0.6358,0.6281,0.6332,103200
1985-07-26,0.6332,0.6407,0.6281,0.6407,74904
1985-07-29,0.6407,0.6407,0.6307,0.6307,77600
1985-07-30,0.6307,0.6332,0.6281,0.6307,32800
1985-07-31,0.6307,0.6332,0.6230,0.6307,93200
1985-08-01,0.6307,0.6358,0.6281,0.6332,116000
1985-08-02,0.6281,0.6281,0.6179,0.6205,62104
1985-08-05,0.6205,0.6230,0.5872,0.5897,176304
1985-08-06,0.5897,0.5950,0.5846,0.5846,262200
1985-08-07,0.5846,0.5974,0.5770,0.5923,190000
1985-08-08,0.5923,0.5950,0.5872,0.5872,88600
1985-08-09,0.5872,0.5923,0.5872,0.5872,63904
1985-08-12,0.5872,0.5923,0.5872,0.5897,182704
1985-08-13,0.5897,0.5950,0.5897,0.5897,87704
1985-08-14,0.5897,0.6052,0.5897,0.5974,197304
1985-08-15,0.5974,0.6052,0.5950,0.6052,257600
1985-08-16,0.6052,0.6052,0.5950,0.5974,53904
1985-08-19,0.5974,0.6052,0.5950,0.6001,71200
1985-08-20,0.6001,0.6103,0.5974,0.6076,52904
1985-08-21,0.6076,0.6103,0.6076,0.6103,58400
1985-08-22,0.6103,0.6103,0.5974,0.6052,93200
1985-08-23,0.6052,0.6128,0.6052,0.6128,59304
1985-08-26,0.6128,0.6128,0.6128,0.6128,14600
1985-08-27,0.6128,0.6128,0.6076,0.6076,26400
1985-08-28,0.6128,0.6205,0.6128,0.6154,69400
1985-08-29,0.6154,0.6154,0.6076,0.6103,68504
1985-08-30,0.6103,0.6154,0.6076,0.6154,64800
1985-09-03,0.6154,0.6154,0.6076,0.6076,74904
1985-09-04,0.6076,0.6128,0.6076,0.6128,49304
1985-09-05,0.6128,0.6179,0.6128,0.6154,53904
1985-09-06,0.6154,0.6230,0.6154,0.6205,52904
1985-09-09,0.6205,0.6230,0.6179,0.6230,99504
1985-09-10,0.6230,0.6230,0.6154,0.6154,113304
1985-09-11,0.6154,0.6205,0.6154,0.6154,41104
1985-09-12,0.6154,0.6154,0.6076,0.6103,70304
1985-09-13,0.6103,0.6205,0.6076,0.6128,107800
1985-09-16,0.6128,0.6154,0.6076,0.6103,67600
1985-09-17,0.6103,0.6103,0.6052,0.6076,73104
1985-09-18,0.6076,0.6103,0.6025,0.6052,174504
1985-09-19,0.6025,0.6025,0.6001,0.6025,813200
1985-09-20,0.6025,0.6076,0.5974,0.5974,115104
1985-09-23,0.5974,0.5974,0.5950,0.5974,139800
1985-09-24,0.5974,0.5974,0.5923,0.5923,26400
1985-09-25,0.5923,0.5923,0.5872,0.5872,55704
1985-09-26,0.5872,0.5872,0.5719,0.5719,237504
1985-09-30,0.5719,0.5770,0.5692,0.5744,263104
1985-10-01,0.5744,0.5744,0.5719,0.5719,385600
1985-10-02,0.5719,0.5770,0.5719,0.5770,81304
1985-10-03,0.5770,0.5846,0.5744,0.5846,58400
1985-10-04,0.5846,0.5872,0.5795,0.5821,42904
1985-10-07,0.5821,0.5923,0.5795,0.5923,52904
1985-10-08,0.5923,0.5923,0.5770,0.5923,183600
1985-10-09,0.5923,0.6001,0.5923,0.5974,62104
1985-10-10,0.5974,0.6001,0.5923,0.5923,59304
1985-10-11,0.5923,0.5974,0.5872,0.5897,52904
1985-10-14,0.5897,0.6103,0.5846,0.5897,32800
1985-10-15,0.5897,0.5897,0.5846,0.5872,104104
1985-10-16,0.5872,0.5897,0.5846,0.5872,36504
