"MacroTrends Data Download"
"OPAL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-05-24,9.8000,9.8000,9.8000,9.8000,74500
2021-05-25,9.8300,9.8400,9.8299,9.8300,2443
2021-05-26,10.3200,10.3200,9.8000,9.8000,2863
2021-05-27,9.8000,9.8000,9.8000,9.8000,143
2021-05-28,9.7500,9.7500,9.7500,9.7500,7650
2021-06-01,9.7500,9.8200,9.7400,9.8000,18837
2021-06-02,9.7850,9.8000,9.7850,9.8000,2596
2021-06-03,9.8824,9.8824,9.8824,9.8824,300
2021-06-04,9.8824,9.8824,9.8824,9.8824,151
2021-06-07,9.8824,9.8824,9.8824,9.8824,35
2021-06-08,10.2379,10.2379,9.7800,9.8560,2740
2021-06-09,9.9500,10.0000,9.8999,9.8999,814
2021-06-10,10.2999,10.2999,9.7601,9.9000,12651
2021-06-11,9.9000,9.9000,9.9000,9.9000,325
2021-06-14,9.9100,9.9900,9.9000,9.9000,19425
2021-06-15,9.9700,10.0000,9.7000,9.8600,3649
2021-06-16,10.0000,10.0000,9.8400,9.8700,7999
2021-06-17,9.9500,9.9500,9.8499,9.8800,26615
2021-06-18,9.8600,9.8600,9.8600,9.8600,353
2021-06-21,9.9400,9.9400,9.8500,9.8670,4319
2021-06-22,9.9000,9.9000,9.8300,9.8800,3381
2021-06-23,9.8600,9.8600,9.8450,9.8500,3838
2021-06-24,9.8700,9.8700,9.8400,9.8400,1284
