"MacroTrends Data Download"
"OVV - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2002-04-08,27.7831,27.7831,26.8690,26.8779,119880
2002-04-09,26.9765,26.9765,26.2864,26.5553,164480
2002-04-10,26.4836,26.8869,26.4836,26.7973,84520
2002-04-11,26.9765,27.0034,26.6987,26.7793,71800
2002-04-12,26.5105,26.5105,25.3723,25.7935,106880
2002-04-15,26.2775,26.4388,25.9010,26.0355,147280
2002-04-16,26.1251,26.6180,26.1251,26.4836,60480
2002-04-17,26.8421,27.4426,26.8421,27.2364,125000
2002-04-18,27.5591,27.5949,27.0213,27.1558,90160
2002-04-19,27.0303,27.2454,26.9855,27.1737,54960
2002-04-22,27.1289,27.1558,26.9317,27.1199,75520
2002-04-23,26.9407,27.5680,26.9407,27.5591,149280
2002-04-24,27.6935,27.8190,27.2723,27.4246,160520
2002-04-25,27.4246,28.2223,27.4246,28.0610,200600
2002-04-26,28.2312,28.3209,27.8727,28.1327,302120
2002-04-29,27.9265,27.9265,27.4784,27.8279,38160
2002-04-30,27.7383,28.2312,27.7383,28.1864,102160
2002-05-01,28.1864,28.7331,28.1685,28.4105,126960
2002-05-02,28.3657,28.5628,28.2402,28.4822,58640
2002-05-03,28.4822,29.0020,28.4374,28.8586,42280
2002-05-06,28.7242,28.7242,28.0072,28.0968,185920
2002-05-07,28.0789,28.1416,27.5143,27.6487,109960
2002-05-08,28.0968,28.5449,28.0161,28.4105,62920
2002-05-09,28.4553,28.5449,28.2760,28.2850,87440
2002-05-10,28.4105,28.4732,27.9893,28.1864,51800
2002-05-13,28.1416,28.1506,27.5232,27.7473,90760
2002-05-14,27.7831,28.1416,27.5143,28.1147,60240
2002-05-15,27.4694,27.8100,27.0124,27.3350,159720
2002-05-16,27.4246,27.7204,27.2812,27.3171,123920
2002-05-17,27.3977,27.7562,27.3171,27.3888,278640
2002-05-20,26.9765,27.3350,26.9048,27.1109,148080
2002-05-21,27.2902,27.4694,27.0393,27.1109,123040
2002-05-22,26.9765,27.1378,26.5732,27.0482,118640
2002-05-23,27.0213,27.7831,27.0213,27.6308,192720
2002-05-24,27.6487,27.6487,27.2902,27.3798,119440
2002-05-28,27.6039,27.6039,27.1468,27.3529,58320
2002-05-29,27.2454,27.4874,27.1916,27.3529,288600
2002-05-30,27.2812,27.3709,26.9317,27.1109,107000
2002-05-31,27.2543,27.5232,27.1378,27.5143,369400
2002-06-03,27.4246,27.5501,27.0930,27.1020,126120
2002-06-04,27.2185,27.3171,26.8331,26.8779,68560
2002-06-05,26.7704,26.7704,26.5105,26.6180,74720
2002-06-06,26.6897,26.8869,26.5194,26.5911,150680
2002-06-07,26.5911,26.8869,26.5911,26.7525,122440
2002-06-10,26.7345,26.9138,26.0803,26.1072,100160
2002-06-11,26.0444,26.3581,25.4888,25.5425,95800
2002-06-12,25.4873,26.4123,25.4334,26.2237,193520
2002-06-13,26.1339,26.6548,26.0890,26.4302,73040
