"MacroTrends Data Download"
"PAA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1998-11-18,1.8103,1.8157,1.8103,1.8103,5362800
1998-11-19,1.8103,1.8275,1.8103,1.8103,482800
1998-11-20,1.8157,1.8157,1.8103,1.8103,542400
1998-11-23,1.8103,1.8157,1.8103,1.8103,350800
1998-11-24,1.8157,1.8157,1.8103,1.8103,259400
1998-11-25,1.8103,1.8157,1.8103,1.8157,138200
1998-11-27,1.8103,1.8157,1.8103,1.8103,57000
1998-11-30,1.8157,1.8157,1.8103,1.8103,203000
1998-12-01,1.8103,1.8157,1.8103,1.8103,173800
1998-12-02,1.8103,1.8157,1.8103,1.8103,326600
1998-12-03,1.8103,1.8157,1.7877,1.7877,1284600
1998-12-04,1.7877,1.7931,1.7478,1.7768,720000
1998-12-07,1.7650,1.7705,1.7424,1.7542,137200
1998-12-08,1.7542,1.7768,1.7542,1.7650,94600
1998-12-09,1.7650,1.7705,1.7596,1.7650,76800
1998-12-10,1.7650,1.7705,1.7542,1.7650,119600
1998-12-11,1.7650,1.7705,1.7542,1.7542,112000
1998-12-14,1.7542,1.7596,1.7370,1.7424,270400
1998-12-15,1.7542,1.7596,1.6972,1.7198,425400
1998-12-16,1.7370,1.7370,1.6745,1.6863,161000
1998-12-17,1.6863,1.7026,1.6691,1.7026,84000
1998-12-18,1.7026,1.7026,1.6691,1.6745,85400
1998-12-21,1.6745,1.6972,1.6347,1.6410,294200
1998-12-22,1.6410,1.6410,1.5958,1.6184,437600
1998-12-23,1.6293,1.6293,1.5505,1.5668,540200
1998-12-24,1.5614,1.5732,1.5388,1.5732,144200
1998-12-28,1.5505,1.5614,1.4709,1.5333,494400
1998-12-29,1.5107,1.5216,1.4709,1.5161,378200
1998-12-30,1.5161,1.5505,1.4881,1.5505,355400
1998-12-31,1.5732,1.5732,1.5216,1.5668,285800
1999-01-04,1.5786,1.6293,1.5668,1.6238,124400
1999-01-05,1.6465,1.7198,1.6347,1.6637,297000
1999-01-06,1.6637,1.6637,1.5958,1.6184,257000
1999-01-07,1.5958,1.6184,1.5786,1.6066,212000
1999-01-08,1.6293,1.6293,1.6012,1.6184,137800
1999-01-11,1.6347,1.6347,1.5958,1.6012,140000
1999-01-12,1.5958,1.6293,1.5840,1.6066,142800
1999-01-13,1.6121,1.6121,1.5894,1.5958,151600
1999-01-14,1.6066,1.6121,1.5614,1.5614,121600
1999-01-15,1.5505,1.5894,1.5505,1.5786,112000
1999-01-19,1.5958,1.6184,1.5732,1.6066,144000
1999-01-20,1.6066,1.6121,1.5840,1.5894,177800
1999-01-21,1.5958,1.6121,1.5732,1.5958,128400
1999-01-22,1.5840,1.5958,1.5732,1.5894,141400
1999-01-25,1.5958,1.5958,1.5388,1.5668,248000
1999-01-26,1.5732,1.5732,1.5388,1.5560,114200
1999-01-27,1.5614,1.5907,1.5559,1.5843,97200
1999-01-28,1.5907,1.5907,1.5449,1.5559,144800
1999-01-29,1.5614,1.5843,1.5102,1.5843,139200
1999-02-01,1.5788,1.5788,1.5449,1.5678,71400
1999-02-02,1.5678,1.5788,1.5221,1.5330,287200
1999-02-03,1.5330,1.5678,1.5156,1.5449,102400
1999-02-04,1.5614,1.5788,1.5330,1.5733,140200
1999-02-05,1.5733,1.5788,1.5449,1.5504,128600
1999-02-08,1.5678,1.5788,1.5449,1.5733,120600
1999-02-09,1.5678,1.5733,1.5330,1.5330,111200
1999-02-10,1.5330,1.5385,1.4873,1.4928,150200
1999-02-11,1.4992,1.5275,1.4992,1.5221,81200
1999-02-12,1.5047,1.5330,1.4992,1.5102,121200
1999-02-16,1.5156,1.5330,1.5102,1.5102,82000
1999-02-17,1.5102,1.5330,1.5047,1.5102,61000
1999-02-18,1.5221,1.5221,1.4534,1.4644,189400
1999-02-19,1.4699,1.5102,1.4699,1.5102,117600
