"MacroTrends Data Download"
"PSHG - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2011-01-03,4125.4795,4193.1103,4125.4795,4125.4795,323
2011-01-04,4125.4795,4125.4795,4125.4795,4125.4795,0
2011-01-05,3990.2179,3990.2179,3990.2179,3990.2179,7
2011-01-06,3990.2179,3990.2179,3990.2179,3990.2179,0
2011-01-07,3990.2179,3990.2179,3990.2179,3990.2179,0
2011-01-10,3990.2179,3990.2179,3990.2179,3990.2179,22
2011-01-11,3990.2179,3990.2179,3990.2179,3990.2179,0
2011-01-12,3990.2179,3990.2179,3990.2179,3990.2179,21
2011-01-13,3922.5871,3922.5871,3854.9563,3854.9563,20
2011-01-14,3787.3255,3790.0307,3787.3255,3787.3255,16
2011-01-18,3787.3255,3787.3255,3787.3255,3787.3255,42
2011-01-19,3738.6313,3922.5871,3384.2458,3514.0970,183
2011-01-20,3895.5348,3895.5348,3424.8243,3451.8766,129
2011-01-21,3381.5406,3467.8375,3381.5406,3408.5929,60
2011-01-24,3395.0668,3457.2871,3381.5406,3455.9345,68
2011-01-25,3449.1714,3543.8545,3449.1714,3478.9290,121
2011-01-26,3449.1714,3508.6865,3354.4883,3405.8877,296
2011-01-27,3378.8354,3489.7499,3378.8354,3462.6976,85
2011-01-28,3435.6452,3477.3058,3381.5406,3422.1191,53
2011-01-31,3400.4772,3449.1714,3381.5406,3381.5406,149
2011-02-01,3381.5406,3446.4662,3381.5406,3408.5929,129
2011-02-02,3389.6563,3449.1444,3354.4883,3384.2458,203
2011-02-03,3381.5406,3435.6452,3354.4883,3416.7086,61
2011-02-04,3368.0144,3416.7086,3368.0144,3408.5929,20
2011-02-07,3408.5929,3435.6452,3408.5929,3422.1461,22
2011-02-08,3449.1714,3449.1714,3366.8782,3395.0668,143
2011-02-09,3381.5406,3416.9791,3376.1301,3400.4772,27
2011-02-10,3370.7197,3405.8877,3368.0144,3368.0144,24
2011-02-11,3378.8354,3421.8486,3378.8354,3421.8486,35
2011-02-14,3395.0668,3419.3868,3362.6040,3362.6040,43
2011-02-15,3408.5929,3408.5929,3354.4883,3354.4883,43
2011-02-16,3381.5406,3381.5406,3340.9621,3354.4883,43
2011-02-17,3346.3726,3346.3726,3259.8051,3265.2156,96
2011-02-18,3265.2156,3327.4359,3259.8051,3300.3836,118
2011-02-22,3322.0255,3327.4359,3260.2921,3313.9098,55
2011-02-23,3284.1522,3335.5516,3246.2790,3251.6894,38
2011-02-24,3273.3313,3286.8575,3251.6894,3273.3313,54
2011-02-25,3330.1412,3330.1412,3246.2790,3251.6894,33
2011-02-28,3246.2790,3284.1522,3246.2790,3284.1522,32
2011-03-01,3273.3313,3286.5869,3232.7528,3246.2790,77
2011-03-02,3265.2156,3281.4470,3246.2790,3278.7418,49
2011-03-03,3300.3836,3313.9098,3273.3313,3305.7941,126
2011-03-04,3294.9732,3313.5040,3278.7418,3281.4470,29
2011-03-07,3281.4470,3300.3836,3259.8051,3289.5627,62
2011-03-08,3251.6894,3322.0255,3251.6894,3322.0255,76
2011-03-09,3370.7197,3497.8656,3340.9621,3422.1191,110
2011-03-10,3389.6563,3414.0034,3354.4883,3381.5406,60
2011-03-11,3335.5516,3411.2981,3335.5516,3384.2729,88
2011-03-14,3338.2569,3384.2458,3338.2569,3368.0144,38
2011-03-15,3335.5516,3365.3092,3292.2679,3313.9098,66
2011-03-16,3289.5627,3299.9778,3216.6567,3221.9319,160
2011-03-17,3267.9208,3273.3313,3219.2266,3219.2266,47
2011-03-18,3192.1743,3240.8685,3165.1220,3202.9952,53
2011-03-21,3175.9429,3204.0773,3116.4278,3175.9429,64
2011-03-22,3151.5958,3227.3423,3140.7749,3192.1743,22
2011-03-23,3192.1743,3230.0205,3181.3534,3210.5428,22
2011-03-24,3205.7005,3227.3423,3132.6592,3181.3534,39
2011-03-25,3178.6482,3246.2790,3178.6482,3227.6129,84
2011-03-28,3230.0476,3259.7781,3230.0476,3246.2790,64
2011-03-29,3232.7528,3246.2790,3230.0476,3240.8685,82
2011-03-30,3232.7528,3273.3313,3232.7528,3267.9208,34
2011-03-31,3270.6261,3286.8575,3270.6261,3281.4470,99
2011-04-01,3278.7418,3393.4436,3278.7418,3392.3615,160
2011-04-04,3408.5929,3435.6452,3384.2458,3422.1191,65
2011-04-05,3441.0557,3462.6976,3424.8243,3445.7628,45
2011-04-06,3424.8243,3457.2871,3408.5929,3432.9400,51
2011-04-07,3419.4138,3430.2348,3400.4772,3400.4772,46
2011-04-08,3400.4772,3400.4772,3378.8354,3378.8354,74
2011-04-11,3376.1301,3403.1825,3376.1301,3395.0668,15
2011-04-12,3381.5406,3395.0668,3381.5406,3381.5406,8
2011-04-13,3370.7197,3557.3807,3370.7197,3543.8545,118
2011-04-14,3652.0638,3652.0638,3505.9813,3516.8022,610
2011-04-15,3516.8022,3557.3807,3509.7686,3557.3807,78
2011-04-18,3557.3807,3565.4964,3495.1604,3543.8545,113
2011-04-19,3530.3284,3554.6755,3480.2816,3489.7499,88
2011-04-20,3541.1493,3541.1493,3511.3918,3524.9179,116
2011-04-21,3516.8022,3516.8022,3503.2761,3516.8022,49
2011-04-25,3505.9813,3516.8022,3503.2761,3505.9813,29
2011-04-26,3538.4441,3538.4441,3492.4551,3516.8022,47
2011-04-27,3516.8022,3516.8022,3451.8766,3515.3414,51
2011-04-28,3495.1604,3516.8022,3495.1604,3516.8022,65
2011-04-29,3503.2761,3523.2407,3503.2761,3516.8022,28
2011-05-02,3505.9813,3524.9179,3478.9290,3503.2761,56
2011-05-03,3487.0447,3500.5708,3465.4028,3489.7499,14
2011-05-04,3470.8133,3513.8535,3422.1191,3468.1080,12
2011-05-05,3438.3505,3495.1604,3411.2981,3457.2871,65
2011-05-06,3516.8022,3516.8022,3349.0778,3422.1191,138
2011-05-09,3370.7197,3419.0081,3300.3836,3419.0081,44
2011-05-10,3313.9098,3313.9098,3162.6873,3238.1633,43
2011-05-11,3251.6894,3300.3836,3211.1109,3246.2790,11
2011-05-12,3138.0697,3246.2790,2994.6923,3111.0173,179
2011-05-13,3129.9540,3146.1854,2859.4307,3040.6813,236
2011-05-16,3021.7447,3051.5022,2909.7480,3010.9237,48
2011-05-17,2937.8825,2991.9871,2932.4720,2991.2838,36
2011-05-18,2975.7557,2996.5860,2940.5877,2996.5860,46
2011-05-19,3000.1028,3000.1028,2840.4941,2913.5354,136
2011-05-20,2894.5987,2943.2929,2894.5987,2913.5354,11
2011-05-23,2913.5354,2962.2296,2908.1249,2945.9982,22
2011-05-24,2973.0505,2973.0505,2883.7778,2930.5242,18
2011-05-25,2921.6511,2951.6792,2900.0092,2921.6511,33
2011-05-26,2894.5987,2945.9982,2867.5464,2945.9982,11
2011-05-27,2913.5354,2978.4339,2913.5354,2932.4720,16
2011-05-31,2891.8935,2891.8935,2759.3371,2778.5443,152
2011-06-01,2764.7476,2766.8577,2569.9709,2583.4970,389
2011-06-02,2597.0232,2637.6017,2505.0453,2580.7918,90
2011-06-03,2507.7505,2542.9185,2456.3511,2505.0453,126
2011-06-06,2450.9406,2491.5191,2402.2464,2426.5935,268
2011-06-07,2418.4778,2421.2101,2226.4063,2312.9738,751
2011-06-08,2250.7534,2310.2685,2131.7232,2210.1749,901
2011-06-09,2191.2383,2193.4025,2112.7866,2150.6598,1731
2011-06-10,1988.3459,2009.9877,1915.3046,1934.2412,19061
2011-06-13,1939.6517,1961.2935,1915.3046,1934.2412,1846
2011-06-14,1934.2412,1969.4092,1915.3046,1934.2412,1663
