"MacroTrends Data Download"
"RGCO - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1994-02-01,1.1874,1.2148,1.1874,1.1965,1800
1994-02-02,1.2422,1.2422,1.1874,1.2422,1800
1994-02-03,1.2057,1.2422,1.1874,1.2422,7800
1994-02-04,1.2422,1.2787,1.2422,1.2787,11400
1994-02-07,1.2787,1.2787,1.2787,1.2787,600
1994-02-08,1.1874,1.2787,1.1874,1.2787,2400
1994-02-09,1.2787,1.2787,1.2513,1.2787,2400
1994-02-10,1.2787,1.2787,1.2787,1.2787,0
1994-02-11,1.2970,1.2970,1.2057,1.2057,1200
1994-02-14,1.2057,1.2057,1.2057,1.2057,0
1994-02-15,1.2057,1.2057,1.2057,1.2057,0
1994-02-16,1.2057,1.2057,1.2057,1.2057,3000
1994-02-17,1.2057,1.2057,1.2057,1.2057,0
1994-02-18,1.2787,1.2787,1.2787,1.2787,3000
1994-02-22,1.2148,1.2148,1.2148,1.2148,600
1994-02-23,1.2148,1.2148,1.2148,1.2148,0
1994-02-24,1.2148,1.2148,1.2148,1.2148,0
1994-02-25,1.2148,1.2148,1.2148,1.2148,0
1994-02-28,1.2148,1.2148,1.2148,1.2148,0
1994-03-01,1.2148,1.2148,1.2148,1.2148,0
1994-03-02,1.2148,1.2148,1.2148,1.2148,0
1994-03-03,1.2148,1.2148,1.2148,1.2148,0
1994-03-04,1.2148,1.2148,1.2148,1.2148,0
1994-03-07,1.2970,1.2970,1.2148,1.2148,3000
1994-03-08,1.2148,1.2148,1.2148,1.2148,0
1994-03-09,1.2057,1.2422,1.2057,1.2422,12000
1994-03-10,1.2422,1.2422,1.2422,1.2422,0
1994-03-11,1.2057,1.2422,1.2057,1.2422,9000
1994-03-14,1.2422,1.2422,1.2422,1.2422,0
1994-03-15,1.2422,1.2422,1.2422,1.2422,0
1994-03-16,1.2057,1.2057,1.2057,1.2057,1200
1994-03-17,1.2057,1.2057,1.2057,1.2057,0
1994-03-18,1.2970,1.2970,1.2970,1.2970,600
1994-03-21,1.2970,1.2970,1.2970,1.2970,0
1994-03-22,1.2970,1.2970,1.2970,1.2970,0
1994-03-23,1.2970,1.2970,1.2970,1.2970,0
1994-03-24,1.2970,1.2970,1.2970,1.2970,0
1994-03-25,1.2239,1.2378,1.2239,1.2378,9000
1994-03-28,1.2378,1.2378,1.2378,1.2378,0
1994-03-29,1.2378,1.2378,1.2378,1.2378,0
1994-03-30,1.2378,1.2378,1.2378,1.2378,0
1994-03-31,1.2057,1.2057,1.2057,1.2057,600
1994-04-04,1.2057,1.2057,1.2057,1.2057,0
1994-04-05,1.2378,1.2378,1.2378,1.2378,3000
1994-04-06,1.2787,1.2787,1.2331,1.2331,8400
1994-04-07,1.2331,1.2331,1.2331,1.2331,0
1994-04-08,1.2331,1.2331,1.2331,1.2331,0
1994-04-11,1.2239,1.2239,1.2239,1.2239,1200
1994-04-12,1.2239,1.2239,1.2239,1.2239,0
1994-04-13,1.2239,1.2239,1.2239,1.2239,0
1994-04-14,1.2239,1.2239,1.2239,1.2239,0
1994-04-15,1.2239,1.2239,1.2239,1.2239,0
1994-04-18,1.2239,1.2239,1.2239,1.2239,0
1994-04-19,1.2239,1.2239,1.2239,1.2239,0
1994-04-20,1.2239,1.2239,1.2239,1.2239,0
1994-04-21,1.2239,1.2239,1.2239,1.2239,0
1994-04-22,1.2239,1.2239,1.2239,1.2239,0
1994-04-25,1.2239,1.2239,1.2239,1.2239,0
1994-04-26,1.2239,1.2239,1.2239,1.2239,0
1994-04-28,1.2239,1.2239,1.2239,1.2239,0
1994-04-29,1.2239,1.2239,1.2239,1.2239,0
1994-05-02,1.2239,1.2239,1.2239,1.2239,0
1994-05-03,1.2239,1.2239,1.2239,1.2239,0
1994-05-04,1.2239,1.2239,1.2239,1.2239,0
1994-05-05,1.2239,1.2239,1.2239,1.2239,0
1994-05-06,1.2239,1.2239,1.2239,1.2239,0
1994-05-09,1.2239,1.2239,1.2239,1.2239,0
1994-05-10,1.2239,1.2239,1.2239,1.2239,0
1994-05-11,1.2332,1.2332,1.2332,1.2332,2400
1994-05-12,1.2332,1.2332,1.2332,1.2332,0
1994-05-13,1.2332,1.2332,1.2332,1.2332,0
1994-05-16,0.6398,0.6398,0.6398,0.6398,1200
1994-05-17,0.6327,0.6327,0.6075,0.6075,7200
1994-05-18,0.6075,0.6212,0.6075,0.6212,4800
1994-05-19,1.2425,1.2425,1.2425,1.2425,0
1994-05-20,1.2425,1.2425,1.2425,1.2425,0
1994-05-23,0.6398,0.6398,0.6212,0.6212,19200
1994-05-24,0.6261,0.6261,0.6261,0.6261,1200
1994-05-25,0.6075,0.6398,0.6075,0.6398,27600
1994-05-26,0.6261,0.6398,0.6261,0.6398,4800
1994-05-27,1.2796,1.2796,1.2796,1.2796,0
1994-05-31,0.6398,0.6491,0.6398,0.6398,9600
1994-06-01,0.6120,0.6120,0.6120,0.6120,7200
1994-06-02,0.6305,0.6305,0.6305,0.6305,2400
1994-06-03,0.6491,0.6491,0.6120,0.6491,30000
1994-06-06,0.6212,0.6376,0.6212,0.6376,14400
1994-06-07,0.6120,0.6120,0.6120,0.6120,4800
1994-06-08,0.6446,0.6446,0.6168,0.6446,28800
1994-06-09,0.6446,0.6446,0.6446,0.6446,2400
1994-06-10,0.6491,0.6491,0.6491,0.6491,1200
1994-06-13,1.2981,1.2981,1.2981,1.2981,0
1994-06-14,1.2981,1.2981,1.2981,1.2981,0
1994-06-15,1.2981,1.2981,1.2610,1.2888,14400
1994-06-16,1.2888,1.2888,1.2888,1.2888,0
1994-06-17,0.6212,0.6212,0.6212,0.6212,1200
1994-06-20,0.6212,0.6261,0.6212,0.6261,34800
1994-06-21,0.6353,0.6353,0.6353,0.6353,2400
1994-06-22,1.2610,1.2610,1.2610,1.2610,1200
1994-06-23,1.2610,1.2610,1.2610,1.2610,0
1994-06-24,1.2610,1.2610,1.2610,1.2610,0
1994-06-27,1.2610,1.2610,1.2610,1.2610,0
1994-06-28,1.2610,1.2610,1.2610,1.2610,0
1994-06-29,1.2610,1.2610,1.2610,1.2610,0
1994-06-30,1.2610,1.2610,1.2610,1.2610,0
1994-07-01,1.2610,1.2610,1.2610,1.2610,0
