"MacroTrends Data Download"
"RNGR - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2017-08-11,14.0000,14.5000,13.5000,14.2200,2093191
2017-08-14,14.2000,14.2000,13.9600,14.0000,65975
2017-08-15,13.9000,14.0500,13.7500,14.0000,135528
2017-08-16,14.0000,14.1000,13.9000,14.0100,64711
2017-08-17,14.1000,14.1000,13.7500,13.7500,18385
2017-08-18,14.0000,14.8800,13.9500,14.1500,159393
2017-08-21,14.5000,14.5000,13.8800,13.9900,109101
2017-08-22,13.9500,14.2900,13.8000,14.0500,68562
2017-08-23,14.0000,14.1300,13.8397,14.0000,130350
2017-08-24,14.0200,14.0650,13.9645,14.0000,42510
2017-08-25,13.9900,14.0000,13.9600,14.0000,38896
2017-08-28,13.9100,14.1500,13.8400,14.0500,35382
2017-08-29,13.9000,14.1500,13.8400,13.9800,38692
2017-08-30,13.9919,14.2500,13.9900,14.2000,38028
2017-08-31,14.1100,14.2500,13.8500,14.2000,167828
2017-09-01,14.2000,15.1700,14.0600,14.9200,58571
2017-09-05,14.7700,14.7700,14.1500,14.5700,78151
2017-09-06,14.6300,14.6500,14.3300,14.5300,82827
2017-09-07,14.5250,14.5500,14.0000,14.3700,126248
2017-09-08,14.3400,14.7000,14.0000,14.5500,106079
2017-09-11,14.4500,14.5500,13.8400,13.9300,81212
2017-09-12,14.0000,14.3000,13.9600,14.2000,116335
2017-09-13,14.1500,14.5400,13.9200,14.3600,150100
2017-09-14,14.4000,15.7000,14.2556,15.5000,80482
2017-09-15,15.6900,15.6900,14.4400,14.5000,662775
2017-09-18,14.5800,14.6150,14.0200,14.0800,62356
2017-09-19,14.0800,14.3400,14.0500,14.1600,21766
2017-09-20,14.1300,14.2800,13.8500,14.2500,65626
2017-09-21,14.2500,14.3500,14.2000,14.3500,19396
2017-09-22,14.4000,14.5500,14.2800,14.5100,13757
2017-09-25,14.5100,14.9100,14.5100,14.8700,31492
2017-09-26,14.9800,15.0700,14.5200,14.6000,44744
2017-09-27,14.6800,14.8050,14.4200,14.5200,20327
2017-09-28,14.4800,14.6900,14.2400,14.6600,14738
2017-09-29,14.6000,14.7600,14.5950,14.7000,44773
2017-10-02,14.7000,14.7000,14.5823,14.6000,17008
2017-10-03,14.5470,14.6700,14.4500,14.5200,12234
2017-10-04,14.5000,14.5500,14.4400,14.5000,26433
2017-10-05,14.4700,14.6700,14.4700,14.5900,15824
2017-10-06,14.5700,14.6000,14.4100,14.5800,4738
2017-10-09,14.6100,14.9850,14.2800,14.7500,23786
2017-10-10,14.8500,15.0500,14.8497,14.8800,53730
2017-10-11,14.9100,14.9100,14.6200,14.7700,21979
2017-10-12,14.7000,14.8550,14.7000,14.8000,5772
2017-10-13,14.8000,14.8800,14.4800,14.5800,11198
2017-10-16,14.5700,14.5900,14.4800,14.5800,6403
2017-10-17,14.4800,14.5750,13.7500,13.9200,39764
2017-10-18,13.9200,13.9600,12.9900,13.1600,90527
2017-10-19,13.0500,13.2100,12.9990,13.1800,25751
2017-10-20,13.2800,13.3800,13.1500,13.1600,7824
2017-10-23,13.2500,13.2700,12.6100,12.7500,38054
2017-10-24,12.8300,12.9000,12.2400,12.3500,19629
2017-10-25,12.3500,12.4700,11.3920,11.7800,40509
2017-10-26,11.6500,11.6500,11.1400,11.3900,64882
2017-10-27,11.4000,11.7500,10.8000,11.0000,70372
2017-10-30,10.8700,12.0800,10.8700,11.9200,51800
2017-10-31,11.9100,12.1700,11.5400,11.6000,13247
2017-11-01,11.5000,12.4200,11.5000,12.2400,42662
