"MacroTrends Data Download"
"SM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1992-12-21,2.4610,2.4610,2.3540,2.3540,136000
1992-12-22,2.4610,2.4610,2.3540,2.3540,378000
1992-12-23,2.3540,2.4075,2.3540,2.3540,110000
1992-12-24,2.3540,2.4610,2.3540,2.4075,61200
1992-12-28,2.3540,2.4610,2.3540,2.3797,21200
1992-12-29,2.4610,2.4610,2.3797,2.3797,21600
1992-12-30,2.3797,2.3797,2.3797,2.3797,14000
1992-12-31,2.4610,2.4610,2.4075,2.4610,4400
1993-01-04,2.4610,2.6215,2.3797,2.6215,156800
1993-01-05,2.6215,2.6215,2.5145,2.5680,260400
1993-01-06,2.6215,2.6215,2.5145,2.5680,80000
1993-01-07,2.5145,2.5680,2.4610,2.4610,61600
1993-01-08,2.4610,2.4610,2.4075,2.4075,49200
1993-01-11,2.5145,2.5145,2.4075,2.4075,6000
1993-01-12,2.4610,2.5145,2.4075,2.4610,52400
1993-01-13,2.4610,2.4610,2.4075,2.4353,27600
1993-01-14,2.4075,2.4075,2.4075,2.4075,16400
1993-01-15,2.4610,2.4610,2.4075,2.4075,58400
1993-01-18,2.4610,2.4610,2.4075,2.4353,18800
1993-01-19,2.4610,2.4867,2.4075,2.4610,106400
1993-01-20,2.5145,2.5145,2.4610,2.4610,115200
1993-01-21,2.5145,2.5145,2.4867,2.5145,65200
1993-01-22,2.4610,2.5145,2.4610,2.4610,449200
1993-01-25,2.5145,2.5680,2.5145,2.5145,354400
1993-01-26,2.5680,2.5680,2.5145,2.5680,74400
