"MacroTrends Data Download"
"TK - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1995-07-20,5.3667,5.4251,5.2781,5.4251,1701600
1995-07-21,5.4251,5.4834,5.3667,5.3667,307000
1995-07-24,5.3947,5.4251,5.3667,5.3947,188800
1995-07-25,5.4251,5.4251,5.3667,5.3947,102200
1995-07-26,5.3947,5.3947,5.3667,5.3667,133000
1995-07-27,5.3667,5.4834,5.3667,5.4251,113200
1995-07-28,5.3947,5.5417,5.3947,5.4834,155200
1995-07-31,5.4834,5.5417,5.4251,5.5417,133200
1995-08-01,5.5114,5.6001,5.4834,5.6001,99400
1995-08-02,5.6001,5.6887,5.6001,5.6584,43200
1995-08-03,5.6584,5.6887,5.6001,5.6281,48600
1995-08-04,5.6281,5.6281,5.5721,5.5721,33800
1995-08-07,5.5417,5.5417,5.5114,5.5417,125000
1995-08-08,5.6001,5.6001,5.5417,5.5417,134200
1995-08-09,5.5721,5.6001,5.5417,5.5417,17400
1995-08-10,5.5417,5.6584,5.5417,5.6584,33000
1995-08-11,5.6584,5.8054,5.6584,5.8054,43200
1995-08-14,5.8614,5.9781,5.6887,5.6887,116800
1995-08-15,5.8054,5.8334,5.7167,5.7167,132200
1995-08-16,5.7447,5.7447,5.6001,5.6001,211400
1995-08-17,5.6281,5.7447,5.6281,5.6584,71400
1995-08-18,5.6281,5.7167,5.6281,5.7167,106200
1995-08-21,5.7167,5.7167,5.6001,5.6001,45400
1995-08-22,5.6584,5.6584,5.5417,5.5417,35400
1995-08-23,5.4251,5.4834,5.4251,5.4554,115200
1995-08-24,5.4554,5.4834,5.4554,5.4834,100200
1995-08-25,5.5114,5.5417,5.5114,5.5417,43000
1995-08-28,5.6001,5.6001,5.5721,5.5721,28400
1995-08-29,5.6001,5.6001,5.4554,5.4554,89200
1995-08-30,5.4834,5.4834,5.4251,5.4554,181000
1995-08-31,5.4834,5.5417,5.4554,5.5417,100000
1995-09-01,5.6001,5.6281,5.6001,5.6001,10200
1995-09-05,5.6001,5.6281,5.5721,5.6001,40200
1995-09-06,5.6281,5.6584,5.6281,5.6584,28000
1995-09-07,5.6887,5.8054,5.6887,5.7447,121400
1995-09-08,5.7447,5.7751,5.7167,5.7167,22400
1995-09-11,5.7447,5.7447,5.6887,5.6887,6400
1995-09-12,5.7167,5.7751,5.7167,5.7751,15400
1995-09-13,5.7447,5.7447,5.6887,5.7167,20600
1995-09-14,5.7447,5.7751,5.7447,5.7751,39200
1995-09-15,5.8054,5.8334,5.7751,5.7751,21400
1995-09-18,5.8334,5.8334,5.7751,5.7751,33400
1995-09-19,5.8054,5.8334,5.7751,5.8054,20000
1995-09-20,5.8054,5.8054,5.7751,5.7751,1600
1995-09-21,5.7751,5.7751,5.7447,5.7751,65600
1995-09-22,5.7447,5.7447,5.6887,5.7167,52200
1995-09-25,5.6887,5.6887,5.6281,5.6584,41000
1995-09-26,5.6584,5.6584,5.6001,5.6281,17600
1995-09-27,5.6001,5.6281,5.6001,5.6281,103000
1995-09-28,5.6001,5.6281,5.6001,5.6001,82600
1995-09-29,5.6001,5.6001,5.6001,5.6001,34200
1995-10-02,5.6281,5.6281,5.6001,5.6001,1200
1995-10-03,5.6584,5.6584,5.6584,5.6584,8200
1995-10-04,5.6584,5.6584,5.6584,5.6584,3600
