"MacroTrends Data Download"
"TNP - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2002-03-05,15.5051,15.6612,14.7250,14.7250,988920
2002-03-06,14.7738,14.8225,14.6275,14.6275,331480
2002-03-07,14.6470,14.8713,14.6470,14.8615,45960
2002-03-08,14.7250,14.7738,14.6275,14.6372,234320
2002-03-11,14.6762,14.7250,14.6275,14.6762,66440
2002-03-12,14.6275,14.6762,14.6275,14.6372,65360
2002-03-13,14.6372,14.6665,14.6275,14.6275,119160
2002-03-14,14.6275,14.6762,14.6275,14.6665,74000
2002-03-15,14.6567,14.7250,14.6275,14.7055,72800
2002-03-18,14.6762,14.6762,14.6275,14.6275,118440
2002-03-19,14.6275,14.6567,14.3837,14.4812,85040
2002-03-20,14.4324,14.4812,14.3349,14.3349,9120
2002-03-21,14.3349,14.3349,14.2082,14.3349,14080
2002-03-22,14.3349,14.6762,14.3349,14.5787,17320
2002-03-25,14.6275,14.6665,14.5300,14.5397,15320
2002-03-26,14.5300,14.7250,14.5300,14.7250,10720
2002-03-27,14.7738,15.0175,14.6275,14.7055,26120
2002-03-28,14.6762,14.8713,14.6762,14.8518,20200
2002-04-01,14.8518,14.8713,14.7250,14.7738,10640
2002-04-02,14.8225,14.8225,14.6275,14.6275,9080
2002-04-03,14.6275,14.7055,14.6275,14.6275,3120
2002-04-04,14.5300,14.6470,14.5300,14.5787,6280
2002-04-05,14.4812,14.6275,14.4324,14.6275,6840
2002-04-08,14.6275,14.6470,14.5982,14.6470,21640
2002-04-09,14.6762,14.7250,14.6275,14.6762,18240
2002-04-10,14.7152,14.7250,14.6762,14.7250,16520
2002-04-11,14.6762,14.8225,14.6762,14.7738,15360
2002-04-12,14.8030,15.2126,14.8030,15.0175,49600
2002-04-15,15.0663,15.0761,14.8713,14.8713,11200
2002-04-16,14.9688,15.0175,14.8713,14.8713,3840
2002-04-17,14.9200,15.0175,14.6762,14.7250,7480
2002-04-18,14.6762,14.9200,14.6762,14.9200,5760
2002-04-19,14.8225,14.9688,14.8225,14.9688,2000
2002-04-22,14.9688,15.0370,14.8810,15.0370,1200
2002-04-23,14.9688,14.9688,14.7738,14.8225,4280
2002-04-24,14.7738,14.8713,14.5787,14.8713,5480
2002-04-25,14.8713,14.9103,14.7250,14.8225,3200
2002-04-26,14.7738,14.7738,14.6860,14.7250,2360
2002-04-29,14.6762,14.7250,14.6470,14.6762,1680
2002-04-30,14.7152,14.8225,14.6275,14.8225,36280
2002-05-01,14.7347,14.8225,14.7250,14.8225,880
2002-05-02,14.7250,14.8420,14.7250,14.7738,3120
2002-05-03,14.7738,15.3588,14.7738,15.3588,39040
2002-05-06,15.3101,15.3101,15.0175,15.0175,4000
2002-05-07,15.0175,15.3101,14.9688,15.3101,29320
2002-05-08,15.3491,15.3588,15.3296,15.3296,4320
2002-05-09,15.3296,15.3588,15.3101,15.3101,2840
2002-05-10,15.3296,15.4076,15.3198,15.4076,16920
2002-05-13,15.4076,15.4271,15.3198,15.3198,7040
2002-05-14,15.4564,15.5539,15.4076,15.5051,24960
2002-05-15,15.5539,15.5539,15.4564,15.4564,5960
2002-05-16,15.3686,15.4466,15.3686,15.4466,2160
2002-05-17,15.4466,15.4564,15.4076,15.4564,960
2002-05-20,15.4564,15.4564,15.4564,15.4564,240
2002-05-21,15.5051,15.5441,15.4076,15.5441,9400
