"MacroTrends Data Download"
"VLO - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1982-01-04,2.1095,2.1315,2.0770,2.1209,321100
1982-01-05,2.0770,2.1209,2.0216,2.0875,442400
1982-01-06,1.9891,2.0550,1.9117,1.9671,565800
1982-01-07,1.9337,1.9671,1.8898,1.9232,508900
1982-01-08,1.9337,1.9557,1.9117,1.9337,340400
1982-01-11,1.8678,1.9557,1.7799,1.8133,521100
1982-01-12,1.8239,1.8573,1.7913,1.8573,473400
1982-01-13,1.8133,1.8678,1.7579,1.7799,313300
1982-01-14,1.8133,1.8678,1.7579,1.8353,260800
1982-01-15,1.8678,1.8898,1.8458,1.8898,185900
1982-01-18,1.8678,1.8898,1.8458,1.8792,208700
1982-01-19,1.7799,1.8678,1.6920,1.7254,1352100
1982-01-20,1.7474,1.7799,1.7140,1.7799,477400
1982-01-21,1.7799,1.7913,1.7579,1.7694,393400
1982-01-22,1.7694,1.7913,1.7474,1.7694,238000
1982-01-25,1.7694,1.7913,1.7474,1.7579,223600
1982-01-26,1.7360,1.7799,1.6920,1.7140,329500
1982-01-27,1.7474,1.7799,1.7140,1.7799,160100
1982-01-28,1.8239,1.8458,1.7913,1.8239,301900
1982-01-29,1.8678,1.8898,1.8458,1.8458,326000
1982-02-01,1.8019,1.8239,1.7799,1.7913,123800
1982-02-02,1.7799,1.7913,1.7579,1.7579,227900
1982-02-03,1.7474,1.7799,1.7140,1.7360,197300
1982-02-04,1.7474,1.7579,1.7254,1.7474,176300
1982-02-05,1.7360,1.7579,1.7140,1.7254,123800
1982-02-08,1.6920,1.7254,1.6481,1.6481,328600
1982-02-09,1.6481,1.6700,1.6147,1.6366,207800
1982-02-10,1.6041,1.6595,1.5382,1.5602,397700
