"MacroTrends Data Download"
"WFRD - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-06-02,13.9500,16.9800,12.4100,12.8100,663845
2021-06-03,13.6500,14.5572,13.1510,14.0500,631558
2021-06-04,14.2000,15.5000,13.9100,14.8100,766988
2021-06-07,15.1200,16.4799,15.1000,16.4000,1003185
2021-06-08,16.3000,16.5000,15.6000,15.6000,425436
2021-06-09,16.1000,16.7900,14.7400,14.7500,563984
2021-06-10,15.1300,15.7000,14.8700,15.2600,395552
2021-06-11,15.3000,15.7400,15.2400,15.7400,418634
2021-06-14,15.7400,17.8300,15.7400,17.5000,883505
2021-06-15,17.5100,19.0900,16.8647,18.9900,702889
2021-06-16,18.9000,20.0194,18.1000,18.7200,856064
2021-06-17,18.8000,19.3499,17.5800,18.2900,774720
2021-06-18,18.5000,18.7500,17.1250,17.8900,863552
2021-06-21,18.0700,18.7800,18.0366,18.7500,660321
2021-06-22,18.7500,18.9613,17.4900,18.4000,627890
2021-06-23,18.6700,18.9999,18.6100,18.7200,258347
2021-06-24,18.6900,19.2500,18.6250,18.9600,677635
2021-06-25,19.5400,19.8400,18.8606,19.0000,517396
2021-06-28,19.2900,19.5000,18.3200,18.3800,181299
2021-06-29,18.5400,18.9900,18.0000,18.0700,286490
2021-06-30,18.0700,18.8150,18.0100,18.2000,250334
2021-07-01,18.5300,19.0350,18.5245,18.9900,302343
2021-07-02,18.8000,19.0000,18.5500,18.6800,219797
2021-07-06,18.8800,20.0000,18.2100,18.3400,260109
2021-07-07,18.1900,18.4350,17.4000,17.9000,168347
2021-07-08,17.5100,17.9925,16.8000,17.8600,137310
2021-07-09,18.1000,18.2900,17.8300,18.1900,138110
2021-07-12,17.9800,18.5000,17.9500,18.2400,107883
2021-07-13,18.2300,18.4600,17.9000,18.2700,74483
2021-07-14,18.4900,18.4900,17.6400,17.7300,159013
2021-07-15,17.2800,18.2300,16.4700,16.8200,306779
2021-07-16,16.9300,17.0000,16.0900,16.2900,135933
2021-07-19,15.5500,15.5500,14.9600,15.2300,227394
2021-07-20,15.2500,15.9799,15.0000,15.6300,119285
2021-07-21,15.8300,16.7369,15.8300,16.3100,95136
2021-07-22,16.3800,16.7600,15.9900,16.2600,57615
2021-07-23,16.3300,16.6600,16.1100,16.4400,77797
2021-07-26,16.5000,17.4000,16.3900,17.3000,92006
2021-07-27,17.2800,17.5000,16.2900,16.2900,102303
2021-07-28,16.6300,17.2000,16.3200,16.8100,133934
2021-07-29,17.3700,18.8400,17.3700,17.7900,295013
2021-07-30,17.9900,18.2700,17.1400,17.4400,80880
2021-08-02,18.9000,18.9000,16.9500,17.0000,214525
2021-08-03,17.0000,17.2342,16.3500,17.2000,157085
2021-08-04,16.8300,16.9500,16.1400,16.1600,174615
2021-08-05,16.2600,16.6281,15.6500,15.6900,401575
2021-08-06,15.8000,16.0800,15.5400,15.6800,73136
2021-08-09,15.4000,15.4100,15.0800,15.3700,85766
2021-08-10,15.4500,15.9400,15.2200,15.6700,170835
2021-08-11,15.5900,15.7400,15.2700,15.3300,111490
2021-08-12,15.2500,15.3400,14.6200,15.0000,282318
2021-08-13,14.9000,15.7700,14.7700,15.0600,143478
2021-08-16,14.7500,15.2800,14.6400,14.6400,94284
2021-08-17,14.6200,15.2500,14.0800,14.4800,134165
2021-08-18,14.8300,14.8800,13.8250,14.5400,150195
2021-08-19,14.5100,14.8200,13.8600,14.6000,123823
2021-08-20,14.5800,14.7400,14.0926,14.5300,40484
2021-08-23,14.9400,15.6300,14.9400,15.0800,80049
2021-08-24,15.1400,15.3100,15.1400,15.2800,77018
2021-08-25,15.2200,15.3450,15.0431,15.2400,27059
2021-08-26,15.0500,15.3650,15.0500,15.2700,35545
2021-08-27,15.2000,15.9500,15.2000,15.7900,172250
2021-08-30,15.9100,16.1900,15.8000,15.9300,141238
2021-08-31,15.9100,16.0416,15.6950,15.7600,170574
2021-09-01,15.8200,16.0700,15.3200,15.5100,120270
2021-09-02,15.6000,15.7600,15.4100,15.5400,328539
2021-09-03,15.5100,15.9700,15.3500,15.4000,71175
2021-09-07,15.3600,17.3400,15.3600,16.1000,577095
2021-09-08,16.1600,17.0700,15.7100,16.1300,446476
2021-09-09,16.0800,17.0900,16.0800,16.8100,371992
2021-09-10,17.3600,17.3600,16.8200,17.0000,447805
2021-09-13,17.1200,17.4900,16.7700,16.8700,456438
2021-09-14,17.1000,17.6800,16.8100,17.0000,590742
2021-09-15,17.1500,18.0000,17.1500,17.6200,442536
2021-09-16,17.6300,18.5400,17.5400,18.0400,755030
2021-09-17,18.0600,18.5400,16.8800,16.9800,2713309
2021-09-20,16.6600,16.9500,16.0000,16.0900,506290
2021-09-21,16.3100,16.5000,16.0600,16.3300,309814
2021-09-22,16.5300,17.7100,16.5300,17.0000,308936
2021-09-23,17.1500,17.9380,17.0000,17.4500,288188
2021-09-24,17.5200,18.7700,17.5200,18.0000,440551
2021-09-27,18.2800,19.6225,18.2800,19.2500,797523
2021-09-28,19.3300,20.7300,19.0800,20.2200,622794
2021-09-29,20.2900,20.6000,19.5800,19.7200,241515
2021-09-30,19.7400,20.0900,19.2293,19.6700,489314
2021-10-01,19.8500,20.6800,19.7750,20.6200,315556
2021-10-04,20.8300,21.1500,20.2800,20.4200,253838
2021-10-05,20.7700,20.8800,19.9700,20.0900,325369
2021-10-06,19.7800,20.0100,19.4000,19.5600,172605
2021-10-07,19.6000,20.0000,19.3000,19.8700,155230
2021-10-08,19.8200,20.3100,19.8100,20.1400,155109
2021-10-11,20.4600,21.0650,20.2101,20.3800,153533
2021-10-12,21.8000,24.6900,21.8000,23.5800,819108
2021-10-13,23.5000,24.2000,22.8600,24.0600,298697
2021-10-14,24.5000,25.8500,24.1637,25.8500,216820
2021-10-15,26.3000,27.5900,26.3000,26.7300,323678
2021-10-18,26.7400,27.0600,26.0401,26.2200,185143
2021-10-19,26.4200,28.8800,26.0000,28.0000,272364
2021-10-20,27.9500,28.2000,27.2300,27.7300,240303
2021-10-21,27.5700,27.9400,26.7200,27.0100,293345
2021-10-22,27.2200,28.7000,27.1400,28.7000,190442
2021-10-25,28.7700,29.3500,28.2100,28.9000,408440
2021-10-26,29.1000,29.2800,28.1325,28.6000,121509
2021-10-27,28.3700,28.7300,26.8650,27.2600,215110
