"MacroTrends Data Download"
"AMBC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-05-01,18.6100,21.4800,18.0000,20.0000,922600
2013-05-02,21.0000,21.0000,20.0100,20.2000,707700
2013-05-03,20.1901,20.6500,20.1901,20.4000,597000
2013-05-06,20.0500,21.7500,19.0100,21.4400,1854900
2013-05-07,21.5000,22.5000,21.5000,22.3800,2932500
2013-05-08,22.3600,24.7500,22.3600,24.4500,3468000
2013-05-09,24.7500,25.7800,23.0100,24.2500,2308600
2013-05-10,24.0400,24.7800,23.2690,23.8900,820600
2013-05-13,23.5700,23.9400,22.8000,23.0400,791700
2013-05-14,22.8200,23.2000,22.3200,22.8400,672300
2013-05-15,22.8000,23.0000,22.4000,22.7500,1212800
2013-05-16,23.5000,23.8500,22.9300,23.6700,2347300
2013-05-17,24.5000,26.1500,24.2750,26.0300,2242400
2013-05-20,26.5100,27.2500,26.2300,27.1600,1452200
2013-05-21,27.0200,27.2000,26.2100,26.7700,537500
2013-05-22,26.8000,26.9000,25.5100,25.9300,431900
2013-05-23,25.0600,25.6400,24.6500,25.3400,1036800
2013-05-24,25.6500,25.6500,24.5000,24.7500,599700
2013-05-28,24.8700,25.2450,24.8000,25.0400,312400
2013-05-29,24.4400,25.0900,24.4400,24.9400,327600
2013-05-30,24.5600,25.3800,24.5600,25.2500,633600
2013-05-31,25.0500,25.3200,24.7000,25.2000,161400
2013-06-03,24.8600,25.8100,24.5000,25.5800,1577200
2013-06-04,25.1800,25.7100,25.0700,25.5700,1018000
2013-06-05,25.2100,25.9800,25.0700,25.4500,753300
2013-06-06,25.2600,25.9700,25.1300,25.6900,879300
2013-06-07,25.3800,25.8800,25.3800,25.7500,191300
2013-06-10,25.7100,26.3100,25.4300,26.0700,576500
2013-06-11,26.3400,26.3400,25.2600,25.4900,474000
2013-06-12,24.7700,26.0000,24.7700,24.9600,425500
2013-06-13,25.0800,25.7900,24.7900,25.1000,536900
2013-06-14,24.9200,24.9400,24.3230,24.4400,253600
2013-06-17,24.8800,25.1950,24.7420,24.8400,564800
2013-06-18,24.7200,25.0000,24.6200,24.8400,579300
2013-06-19,24.6400,25.0000,24.6400,24.9500,580700
2013-06-20,24.5300,24.8400,24.1600,24.3900,1047800
2013-06-21,24.3400,24.5700,23.4601,23.6300,2935200
2013-06-24,23.2200,23.6000,21.2100,22.6200,2261200
2013-06-25,22.6700,22.9900,22.5700,22.8600,539000
2013-06-26,23.2700,23.3200,22.6800,22.7000,525100
2013-06-27,23.0000,23.5600,22.6800,23.4000,479600
2013-06-28,23.3500,24.0200,23.3000,23.8300,6909000
2013-07-01,23.6300,24.2500,23.5300,23.8800,369000
2013-07-02,23.7900,23.8700,22.4100,23.2400,347900
2013-07-03,23.0700,23.2780,22.4700,22.9100,362000
2013-07-05,23.6600,23.6600,22.2300,22.4000,309700
2013-07-08,22.5300,23.6000,22.4800,23.5400,320600
2013-07-09,23.3800,23.5800,23.0100,23.2600,311800
2013-07-10,23.1800,23.4500,22.9099,23.0900,299400
2013-07-11,23.3200,23.3500,23.0050,23.3100,472000
2013-07-12,23.3400,24.0000,23.2800,23.8900,361700
2013-07-15,24.0000,24.0000,23.5600,23.9900,328800
2013-07-16,23.9500,24.6400,23.9500,24.6000,453200
2013-07-17,24.7200,25.4200,24.4300,24.9600,762600
2013-07-18,25.0000,25.5400,25.0000,25.3300,434000
2013-07-19,25.1500,25.2500,24.6500,24.9800,332100
2013-07-22,24.6800,25.2500,24.6800,24.9800,314900
2013-07-23,25.1300,25.3900,24.8000,24.9000,340900
2013-07-24,24.9200,25.2100,24.8900,24.9700,328600
2013-07-25,25.0000,25.2100,24.8100,24.9900,199000
2013-07-26,24.7500,25.3000,24.7500,25.0200,163200
2013-07-29,24.8300,25.3000,24.4400,24.4900,142500
2013-07-30,24.6500,25.0100,24.1400,24.3800,158700
2013-07-31,24.3700,25.3400,24.1400,25.0400,637200
2013-08-01,25.2000,25.6500,25.2000,25.4300,471600
2013-08-02,25.2700,25.7000,24.8100,24.8500,320000
2013-08-05,24.8000,25.1700,24.7000,24.9300,240800
2013-08-06,24.9500,24.9500,24.2700,24.6500,263700
2013-08-07,24.6000,25.2500,24.2200,25.1500,273800
2013-08-08,25.3400,25.3600,24.7800,25.0000,165300
2013-08-09,24.8800,25.2100,24.5200,24.7200,167700
2013-08-12,24.6200,24.6800,23.9900,24.2400,322900
2013-08-13,24.1800,24.3900,24.0500,24.2000,185400
2013-08-14,24.1300,25.1300,24.1300,24.5400,302100
2013-08-15,24.6200,24.6200,23.7600,23.8600,272400
2013-08-16,23.7000,23.9700,23.6000,23.6100,217400
2013-08-19,23.6000,23.8500,23.3200,23.4100,151000
2013-08-20,23.5000,23.8600,23.0200,23.4000,184000
2013-08-21,23.2500,23.7500,22.6650,23.0600,240800
2013-08-22,23.1900,23.7400,23.0100,23.4100,105000
2013-08-23,23.4000,24.0000,22.9100,22.9900,142700
2013-08-26,23.1600,23.7700,23.1200,23.1400,83800
2013-08-27,22.7400,23.3300,22.7300,22.8300,215100
2013-08-28,22.8300,22.9000,22.5900,22.8200,96400
2013-08-29,22.7900,23.4000,22.3611,22.4700,177000
2013-08-30,22.4000,22.5800,22.0600,22.1600,165000
2013-09-03,22.4000,23.1400,22.2850,22.3600,165600
2013-09-04,22.2900,22.2900,21.7800,21.9000,1006500
2013-09-05,21.8600,21.8800,21.3700,21.3900,484700
2013-09-06,21.5000,21.7620,21.2500,21.5400,332100
2013-09-09,21.5500,21.5800,20.8100,20.8900,1238600
2013-09-10,21.0000,21.0200,19.6000,19.8200,1845900
2013-09-11,19.6700,19.9300,17.6400,18.8200,3021600
2013-09-12,18.9000,19.4700,18.9000,19.3700,1638000
2013-09-13,19.4700,20.1600,19.3700,20.0200,1142700
2013-09-16,20.2400,20.2550,19.9110,20.0100,503300
2013-09-17,19.9900,20.0700,19.8000,20.0400,343800
2013-09-18,19.9800,20.2000,19.7200,20.0800,633500
2013-09-19,20.0700,20.3900,19.5800,19.7100,537000
2013-09-20,19.7300,19.9100,19.5600,19.8100,752800
2013-09-23,19.8000,19.9400,19.5000,19.5600,425600
2013-09-24,19.6400,19.9000,19.3100,19.5600,407400
2013-09-25,19.6100,20.0000,19.4000,19.5900,311400
2013-09-26,19.5800,19.9600,19.3500,19.4900,276000
2013-09-27,19.3600,19.4500,18.8500,18.9400,638100
2013-09-30,18.8000,18.8000,18.1000,18.1400,540200
2013-10-01,18.0900,18.2700,17.4800,17.5400,624600
2013-10-02,17.4600,17.8575,17.3300,17.7600,295100
2013-10-03,17.7000,17.7400,16.9800,17.1800,508800
2013-10-04,17.1300,17.6900,17.1300,17.4800,551700
2013-10-07,17.3700,17.7500,17.1100,17.5600,343500
2013-10-08,17.5600,17.6900,16.6500,16.7200,1273400
2013-10-09,16.7700,16.8100,15.0300,15.5400,3142500
2013-10-10,15.7500,16.7290,15.5000,16.7200,1182500
2013-10-11,16.7500,17.9200,16.4600,17.9100,1172700
2013-10-14,17.8200,17.9000,17.4000,17.7200,775500
2013-10-15,17.7200,17.8300,17.1200,17.5000,472700
2013-10-16,17.5700,18.4500,17.4100,18.3600,514200
2013-10-17,18.3100,18.4900,17.9500,18.2100,375100
2013-10-18,18.3700,18.8700,18.2900,18.8000,419600
2013-10-21,18.7700,18.7850,18.3200,18.3800,252800
2013-10-22,18.3800,19.2300,18.3500,19.2100,541900
2013-10-23,19.1800,19.4300,18.8200,19.4300,644500
2013-10-24,19.3100,20.9400,19.3100,20.6000,2116400
2013-10-25,20.7900,20.8800,20.1701,20.6700,239400
2013-10-28,20.6500,21.0800,20.5000,20.7500,341500
2013-10-29,20.7400,21.0300,20.2350,20.7500,351400
2013-10-30,20.8600,20.8600,20.3900,20.5100,255700
2013-10-31,20.4600,20.5400,20.0900,20.1900,165200
2013-11-01,20.1500,20.9300,19.8500,20.8000,409700
2013-11-04,20.8700,20.9300,20.4700,20.8100,359900
2013-11-05,20.6900,20.8800,20.3900,20.5800,335500
2013-11-06,20.7000,20.7200,20.3800,20.4500,151000
2013-11-07,20.4900,20.6600,19.9500,19.9700,237100
2013-11-08,20.0600,21.0100,20.0600,20.7500,440200
2013-11-11,20.7200,20.9200,20.4200,20.8700,267900
2013-11-12,20.8600,21.1000,20.2500,20.6500,463600
2013-11-13,20.5800,21.1500,20.2700,21.0000,695700
2013-11-14,21.5900,22.3000,21.2500,21.6400,1576900
2013-11-15,21.7300,22.8400,21.4400,22.5300,1112200
2013-11-18,22.6000,22.7900,22.2400,22.2500,634000
2013-11-19,22.1900,23.3000,21.7000,23.2200,1051900
2013-11-20,23.2900,23.6500,22.5700,22.8500,465000
2013-11-21,22.9900,23.6000,22.9300,23.1200,619700
2013-11-22,23.2000,23.4100,22.8900,23.2100,414000
2013-11-25,23.4200,24.0700,23.4200,23.4900,401700
2013-11-26,23.4900,23.7600,23.3200,23.4200,369500
2013-11-27,23.5100,23.9900,23.4300,23.5800,370100
2013-11-29,23.7400,24.0500,23.5200,23.6500,147400
2013-12-02,23.7500,24.0100,23.4100,23.6500,440300
2013-12-03,23.6800,23.8100,22.8900,23.1000,545000
2013-12-04,22.9600,24.0000,22.9000,23.8800,825400
2013-12-05,23.8500,23.9200,23.1300,23.1700,358900
2013-12-06,23.4400,23.7800,23.3000,23.4200,357200
2013-12-09,23.4300,23.6100,23.0400,23.1800,280800
2013-12-10,23.0800,23.2500,22.5200,22.5200,601100
2013-12-11,22.5000,22.5200,21.5400,21.8400,1006700
2013-12-12,21.7400,22.1300,21.3100,21.3900,1328300
2013-12-13,21.4300,21.5100,20.3800,20.4400,1399400
2013-12-16,20.5000,20.7300,20.3300,20.6100,392800
2013-12-17,20.6300,21.1600,20.4000,20.8300,605900
2013-12-18,20.8300,20.9400,20.2500,20.6800,412900
2013-12-19,20.6300,21.3000,20.5200,20.8900,649500
2013-12-20,20.9900,21.0300,20.4000,20.6300,606300
2013-12-23,22.4600,23.5000,21.3200,23.1500,1488800
2013-12-24,23.1500,24.0900,23.1500,23.9800,629300
2013-12-26,24.0400,25.1600,23.9000,24.9100,823300
2013-12-27,24.7300,25.1200,24.3900,24.6900,525900
2013-12-30,24.7500,24.8400,24.1300,24.1800,502100
2013-12-31,24.2600,24.7200,24.1800,24.5600,351600
2014-01-02,24.5700,24.6700,24.1200,24.3500,415700
2014-01-03,24.3700,24.9600,24.1200,24.2000,699400
2014-01-06,24.5100,24.6400,23.6800,23.9700,644100
2014-01-07,24.0500,24.3700,23.5500,23.7600,942700
2014-01-08,23.7100,24.0200,23.6300,23.9600,537300
2014-01-09,24.1100,24.1100,23.6400,23.7700,460000
2014-01-10,23.7800,23.9725,23.5000,23.8600,497900
2014-01-13,23.8400,23.8700,23.2600,23.4400,404000
2014-01-14,23.5000,23.9900,23.3100,23.8700,488900
2014-01-15,23.9900,24.4200,22.9100,23.2600,1006000
2014-01-16,23.4000,24.1400,23.2100,24.0500,724900
2014-01-17,24.1600,24.6000,23.9800,24.2600,806600
2014-01-21,24.5800,24.7800,24.2000,24.7100,722200
2014-01-22,24.8300,24.9400,24.4800,24.7100,519400
2014-01-23,24.5000,24.8620,24.1600,24.3700,388200
2014-01-24,24.2900,24.3000,23.3300,24.0100,989700
2014-01-27,24.1800,24.2590,23.5000,24.0500,1084900
2014-01-28,24.2600,24.5000,23.9300,24.2200,674200
2014-01-29,23.9000,24.5500,23.6800,23.7200,588900
2014-01-30,23.8500,23.9800,23.5100,23.5900,360000
2014-01-31,23.4100,23.8880,23.0300,23.4400,394300
2014-02-03,23.3300,23.9000,22.5500,22.6300,1577300
2014-02-04,22.7500,23.0400,22.2200,22.3900,825900
2014-02-05,22.2200,23.5400,22.0000,23.3500,794800
2014-02-06,23.3500,23.5700,22.5700,22.9900,593400
2014-02-07,22.9500,23.0300,22.3400,23.0100,655900
2014-02-10,22.9100,23.5200,22.9100,23.4200,425100
2014-02-11,23.5100,24.2800,23.5100,24.0400,556000
2014-02-12,24.1300,24.9300,24.0000,24.7500,658100
2014-02-13,24.4900,25.2000,24.3000,25.1800,729600
2014-02-14,25.1300,25.5400,25.1200,25.5200,451900
2014-02-18,25.5900,26.0800,25.5000,25.9600,738100
2014-02-19,25.8500,26.2800,25.6510,26.0600,493800
2014-02-20,26.0300,26.1900,25.7200,26.0100,480400
2014-02-21,26.1400,26.5800,25.9500,26.2900,809700
2014-02-24,26.3200,27.5200,26.1700,27.3800,917500
2014-02-25,27.3800,28.5500,27.3800,28.4800,1547200
2014-02-26,28.5900,31.7300,28.5100,31.1200,3241800
2014-02-27,30.9400,33.1000,30.7000,32.8400,2201500
2014-02-28,32.9900,34.7900,32.7000,34.5600,2187700
2014-03-03,34.8000,34.8000,32.7700,33.1000,1402900
2014-03-04,32.2400,35.6100,32.0100,34.4900,3649100
2014-03-05,34.5100,34.9900,34.1400,34.6800,1157600
2014-03-06,34.4900,34.8100,34.0480,34.4800,593500
2014-03-07,34.6500,34.6700,34.1500,34.4700,450200
2014-03-10,34.5000,34.8300,33.8400,33.9900,613400
2014-03-11,33.3600,33.8300,30.4700,31.3800,2550000
2014-03-12,31.1000,32.3300,29.7200,32.2500,1294900
2014-03-13,32.4500,32.5500,31.3500,31.9400,655200
2014-03-14,31.8000,32.3400,31.4500,31.9400,603000
2014-03-17,32.0500,32.6625,32.0500,32.2400,645900
2014-03-18,32.2300,32.9700,31.8700,32.7500,479700
2014-03-19,32.7100,32.9700,32.2800,32.8200,410900
2014-03-20,32.6700,32.9000,32.3100,32.3500,379900
2014-03-21,32.5700,32.7200,32.2000,32.4900,904200
2014-03-24,32.5800,33.0000,31.8300,32.8600,344100
2014-03-25,33.0300,33.5000,32.5000,32.7400,388900
2014-03-26,33.0300,33.0300,31.3101,31.8300,687800
2014-03-27,31.7600,33.0000,30.6000,31.0200,846800
2014-03-28,29.5300,31.0400,29.5000,30.2000,1606200
2014-03-31,30.4700,31.4700,30.3900,31.0300,664600
2014-04-01,31.0300,31.2500,30.5200,31.0000,1024800
2014-04-02,30.9700,31.0500,30.5100,30.7800,414700
