"MacroTrends Data Download"
"BNS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-09-13,3.8917,3.8917,3.8917,3.8917,0
1999-09-14,3.8917,3.8917,3.8917,3.8917,0
1999-09-15,3.8917,3.8917,3.8917,3.8917,0
1999-09-16,3.8917,3.8917,3.8917,3.8917,0
1999-09-17,3.8917,3.8917,3.8917,3.8917,0
1999-09-20,3.8917,3.8917,3.8917,3.8917,0
1999-09-21,3.8917,3.8917,3.8917,3.8917,0
1999-09-22,3.8917,3.8917,3.8917,3.8917,0
1999-09-23,3.8917,3.8917,3.8917,3.8917,0
1999-09-24,3.7250,3.7250,3.7250,3.7250,815
1999-09-27,3.7250,3.7250,3.7250,3.7250,0
1999-09-28,3.7250,3.7250,3.7250,3.7250,0
1999-09-29,3.7250,3.7250,3.7250,3.7250,0
1999-09-30,3.7250,3.7250,3.7250,3.7250,0
1999-10-01,3.7250,3.7250,3.7250,3.7250,0
1999-10-04,3.7250,3.7250,3.7250,3.7250,0
1999-10-05,3.7250,3.7250,3.7250,3.7250,0
1999-10-06,3.7250,3.7250,3.7250,3.7250,0
1999-10-07,4.0294,4.0294,4.0294,4.0294,3667
1999-10-08,4.0294,4.0294,4.0294,4.0294,3667
1999-10-11,4.0294,4.0294,4.0294,4.0294,0
1999-10-12,4.0294,4.0294,4.0294,4.0294,0
1999-10-13,4.0149,4.0149,4.0149,4.0149,0
1999-10-14,4.0149,4.0149,4.0149,4.0149,0
1999-10-15,3.8192,3.8192,3.8192,3.8192,11204
1999-10-18,3.8192,3.8192,3.8192,3.8192,11204
1999-10-19,3.8192,3.8192,3.8192,3.8192,11204
1999-10-20,3.8192,3.8192,3.8192,3.8192,11204
1999-10-21,3.8192,3.8192,3.8192,3.8192,0
1999-10-22,3.9641,3.9641,3.9641,3.9641,2037
1999-10-25,3.9641,3.9641,3.9641,3.9641,2037
1999-10-26,4.0004,4.0004,4.0004,4.0004,1019
1999-10-27,4.0004,4.0004,4.0004,4.0004,1019
1999-10-28,4.0004,4.0004,4.0004,4.0004,1019
1999-10-29,4.0004,4.0004,4.0004,4.0004,1019
1999-11-01,4.0004,4.0004,4.0004,4.0004,1019
1999-11-02,4.0004,4.0004,4.0004,4.0004,1019
1999-11-03,4.1018,4.1018,4.1018,4.1018,204
1999-11-04,4.0584,4.0584,4.0584,4.0584,2037
1999-11-05,4.0729,4.0873,4.0729,4.0873,815
1999-11-08,4.0729,4.0729,4.0729,4.0729,815
1999-11-09,3.9641,3.9641,3.9641,3.9641,611
1999-11-10,3.9641,3.9641,3.9641,3.9641,204
1999-11-11,3.9352,3.9352,3.9352,3.9352,3056
1999-11-12,3.9352,3.9352,3.9352,3.9352,3056
1999-11-15,3.9352,3.9352,3.9352,3.9352,3056
1999-11-16,4.1018,4.1018,4.1018,4.1018,41761
1999-11-17,4.0873,4.0873,4.0873,4.0873,3056
1999-11-18,4.0873,4.0873,4.0873,4.0873,3056
1999-11-19,4.0873,4.0873,4.0873,4.0873,3056
1999-11-22,4.0873,4.0873,4.0873,4.0873,3056
