"MacroTrends Data Download"
"CADE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1985-10-16,0.2477,0.2477,0.2477,0.2477,0
1985-10-17,0.2477,0.2477,0.2477,0.2477,0
1985-10-18,0.2477,0.2586,0.2477,0.2477,1600
1985-10-21,0.2477,0.2477,0.2477,0.2477,0
1985-10-22,0.2477,0.2477,0.2477,0.2477,0
1985-10-23,0.2477,0.2477,0.2477,0.2477,0
1985-10-24,0.2477,0.2477,0.2477,0.2477,0
1985-10-25,0.2586,0.2640,0.2586,0.2586,10800
1985-10-28,0.2586,0.2586,0.2586,0.2586,0
1985-10-29,0.2613,0.2668,0.2613,0.2613,5200
1985-10-30,0.2668,0.2744,0.2668,0.2668,18000
1985-10-31,0.2668,0.2668,0.2668,0.2668,0
1985-11-01,0.2668,0.2774,0.2668,0.2668,12800
1985-11-04,0.2668,0.2668,0.2668,0.2668,0
1985-11-05,0.2695,0.2774,0.2695,0.2695,1600
1985-11-06,0.2695,0.2774,0.2695,0.2695,1600
1985-11-07,0.2774,0.2829,0.2774,0.2774,60400
1985-11-08,0.2774,0.2853,0.2774,0.2774,8800
1985-11-11,0.2774,0.2853,0.2774,0.2774,3600
1985-11-12,0.2853,0.2933,0.2853,0.2853,38400
1985-11-13,0.2853,0.2933,0.2853,0.2853,5200
1985-11-14,0.2881,0.2960,0.2881,0.2881,22000
1985-11-15,0.2881,0.2960,0.2881,0.2881,1600
1985-11-18,0.2933,0.3042,0.2933,0.2933,25600
1985-11-19,0.2933,0.3042,0.2933,0.2933,10800
1985-11-20,0.2987,0.3042,0.2987,0.2987,10800
1985-11-21,0.3042,0.3151,0.3042,0.3042,27200
1985-11-22,0.3042,0.3151,0.3042,0.3042,3600
1985-11-25,0.3069,0.3151,0.3069,0.3069,10800
1985-11-26,0.3069,0.3151,0.3069,0.3069,1600
1985-11-27,0.3069,0.3151,0.3069,0.3069,12800
1985-11-29,0.3096,0.3151,0.3096,0.3096,16400
1985-12-02,0.3096,0.3178,0.3096,0.3096,12800
1985-12-03,0.3096,0.3096,0.3096,0.3096,0
1985-12-04,0.3096,0.3178,0.3096,0.3096,1600
1985-12-05,0.3123,0.3205,0.3123,0.3123,20000
1985-12-06,0.3123,0.3205,0.3123,0.3123,7200
1985-12-09,0.3123,0.3205,0.3123,0.3123,5200
1985-12-10,0.3123,0.3123,0.3123,0.3123,0
1985-12-11,0.3123,0.3123,0.3123,0.3123,0
1985-12-12,0.3123,0.3205,0.3123,0.3123,3600
1985-12-13,0.3151,0.3205,0.3151,0.3151,3600
1985-12-16,0.3151,0.3205,0.3151,0.3151,7200
1985-12-17,0.3151,0.3205,0.3151,0.3151,7200
1985-12-18,0.3151,0.3205,0.3151,0.3151,10800
1985-12-19,0.6301,0.6465,0.6138,0.6138,400
1985-12-20,0.6138,0.6465,0.6138,0.6138,8000
1985-12-23,0.6247,0.6465,0.6247,0.6247,20000
1985-12-24,0.6574,0.6782,0.6574,0.6574,31200
1985-12-26,0.7104,0.7322,0.7104,0.7104,34800
1985-12-27,0.7485,0.7649,0.7485,0.7485,138800
1985-12-30,0.7540,0.7758,0.7540,0.7540,32000
1985-12-31,0.7322,0.7322,0.7104,0.7104,44000
1986-01-02,0.7104,0.7322,0.7104,0.7104,18000
1986-01-03,0.7104,0.7322,0.7104,0.7104,1600
1986-01-06,0.7104,0.7322,0.7104,0.7104,10000
1986-01-07,0.7104,0.7322,0.7104,0.7104,1600
1986-01-08,0.7104,0.7322,0.7104,0.7104,31200
1986-01-09,0.7104,0.7322,0.7000,0.7000,12800
1986-01-10,0.7000,0.7322,0.7000,0.7000,1600
1986-01-13,0.6995,0.6995,0.6995,0.6995,0
1986-01-14,0.7000,0.7322,0.7000,0.7000,2400
1986-01-15,0.7000,0.7322,0.7000,0.7000,5200
1986-01-16,0.7000,0.7322,0.7000,0.7000,6400
1986-01-17,0.7000,0.7322,0.7000,0.7000,800
1986-01-20,0.7000,0.7322,0.7000,0.7000,18000
1986-01-21,0.7000,0.7322,0.7000,0.7000,1600
1986-01-22,0.7000,0.7322,0.7000,0.7000,16400
1986-01-23,0.7000,0.7322,0.7000,0.7000,27200
1986-01-24,0.7000,0.7322,0.7000,0.7000,5200
1986-01-27,0.6995,0.6995,0.6995,0.6995,0
1986-01-28,0.7000,0.7322,0.7000,0.7000,6400
1986-01-29,0.7000,0.7322,0.7000,0.7000,1600
1986-01-30,0.7104,0.7322,0.7104,0.7104,22800
1986-01-31,0.7213,0.7540,0.7213,0.7213,17200
1986-02-03,0.7649,0.7971,0.7649,0.7649,44000
1986-02-04,0.7649,0.7867,0.7649,0.7649,30000
1986-02-05,0.7649,0.7867,0.7649,0.7649,15600
1986-02-06,0.7649,0.7971,0.7649,0.7649,4400
1986-02-07,0.7649,0.8080,0.7649,0.7649,16400
1986-02-10,0.7649,0.8080,0.7649,0.7649,8000
1986-02-11,0.7649,0.7971,0.7649,0.7649,8000
1986-02-12,0.7758,0.8080,0.7758,0.7758,8000
1986-02-13,0.7971,0.8189,0.7971,0.7971,48400
1986-02-14,0.7971,0.8189,0.7971,0.7971,19200
1986-02-18,0.7971,0.8189,0.7971,0.7971,20000
1986-02-19,0.7971,0.8189,0.7971,0.7971,30000
1986-02-20,0.7971,0.8189,0.7867,0.7867,3600
1986-02-21,0.7867,0.8189,0.7867,0.7867,10000
1986-02-24,0.7867,0.8189,0.7867,0.7867,23600
1986-02-25,0.7867,0.7867,0.7867,0.7867,0
