"MacroTrends Data Download"
"CBZ - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1995-04-27,1.6250,1.6250,1.3750,1.5000,114200
1995-04-28,1.3750,1.4050,1.3450,1.4050,401200
1995-05-01,1.5000,1.5000,1.5000,1.5000,2000
1995-05-02,1.3750,1.4400,1.2500,1.4400,86200
1995-05-03,1.2500,1.5000,1.2500,1.3450,29200
1995-05-04,1.2500,1.4400,1.2500,1.3100,86600
1995-05-05,1.5000,1.6250,1.3100,1.6250,426000
1995-05-08,1.6250,1.6250,1.4400,1.4400,77200
1995-05-09,1.4400,1.5600,1.4400,1.4400,16800
1995-05-10,1.4400,1.5000,1.4400,1.5000,24800
1995-05-11,1.5000,1.5600,1.4700,1.5000,66000
1995-05-12,1.4700,1.5000,1.4700,1.4700,23200
1995-05-15,1.5600,1.5600,1.4700,1.4700,16200
1995-05-16,1.4700,1.4700,1.4700,1.4700,5600
1995-05-17,1.4700,1.5300,1.4700,1.4700,121400
1995-05-18,1.4400,1.5000,1.4400,1.4400,176400
1995-05-19,1.4400,1.4700,1.3100,1.4400,472200
1995-05-22,1.3100,1.7200,1.3100,1.6250,368200
1995-05-23,1.5600,1.6900,1.5000,1.5000,677600
1995-05-24,1.5000,1.5600,1.3100,1.3750,359800
1995-05-25,1.3750,1.4050,1.3750,1.3750,329000
1995-05-26,1.3750,1.4700,1.3750,1.4050,97000
1995-05-30,1.3750,1.4400,1.3750,1.4400,349200
1995-05-31,1.4400,1.6250,1.3750,1.5600,308400
1995-06-01,1.5000,1.6250,1.4400,1.4400,59800
1995-06-02,1.4400,1.5600,1.4400,1.5600,21200
1995-06-05,1.4400,1.5600,1.4400,1.5000,50000
1995-06-06,1.3750,1.5600,1.3750,1.4400,45600
1995-06-07,1.5600,1.5600,1.4400,1.4400,18200
1995-06-08,1.4400,1.5000,1.4400,1.4400,10200
1995-06-09,1.4400,1.5600,1.4400,1.5000,58400
1995-06-12,1.5000,1.5600,1.5000,1.5000,45200
1995-06-13,1.5000,1.5600,1.4400,1.5300,109000
1995-06-14,1.5000,1.6250,1.5000,1.5000,12800
1995-06-15,1.5000,1.7500,1.5000,1.5450,177800
1995-06-16,1.5600,1.6900,1.5600,1.6250,99200
1995-06-19,1.7500,1.7500,1.6250,1.7500,126400
1995-06-20,1.6250,1.7500,1.6250,1.7200,138000
1995-06-21,1.7200,1.9350,1.6550,1.9350,40800
1995-06-22,1.9350,2.2500,1.8150,2.0600,156600
1995-06-23,2.1250,2.1250,1.8750,2.0600,47200
1995-06-26,2.0000,2.0600,1.9350,1.9350,38000
1995-06-27,2.0600,2.0600,1.9050,1.9350,76600
1995-06-28,1.8750,1.9350,1.8750,1.9350,19800
1995-06-29,1.9350,1.9350,1.8150,1.8150,13800
1995-06-30,1.9350,1.9350,1.8150,1.8150,79400
1995-07-03,1.9350,1.9350,1.9350,1.9350,600
1995-07-05,1.8150,1.9350,1.8150,1.9050,20400
1995-07-06,1.8150,1.9350,1.8150,1.9350,7600
1995-07-07,1.8150,1.8750,1.8150,1.8750,9000
1995-07-10,1.8750,1.9350,1.8750,1.9350,85400
1995-07-11,1.8750,1.9350,1.8750,1.8750,21000
1995-07-12,1.8750,1.8750,1.8750,1.8750,4400
1995-07-13,1.9350,1.9350,1.8750,1.8750,7200
1995-07-14,1.8150,1.9350,1.8150,1.8450,18200
1995-07-17,1.8150,1.9350,1.8150,1.8150,32800
1995-07-18,1.8750,1.9350,1.8750,1.9350,17800
1995-07-19,1.8150,2.0600,1.8150,2.0600,50600
1995-07-20,2.1250,2.1250,1.8750,2.0000,54000
1995-07-21,1.9350,3.2500,1.9350,3.1900,442000
1995-07-24,3.3750,4.0000,2.7500,3.2500,590400
1995-07-25,3.3150,3.3750,3.1250,3.1900,361200
1995-07-26,3.3150,3.3150,3.1900,3.3150,160800
1995-07-27,3.3150,3.3150,2.7500,3.0000,176000
1995-07-28,2.8750,3.1250,2.8100,2.9400,110600
1995-07-31,3.0000,3.1250,2.8750,3.1250,28800
1995-08-01,2.8750,3.1250,2.8750,3.0600,57600
1995-08-02,3.1250,3.1250,2.8750,3.0000,90800
1995-08-03,2.9400,3.0000,2.7500,2.8100,72600
1995-08-04,2.7500,2.7500,2.6250,2.6250,50400
1995-08-07,2.7500,2.7500,2.5650,2.6850,16200
1995-08-08,2.5650,2.6850,2.3100,2.4050,71600
1995-08-09,2.3100,2.5000,2.1250,2.5000,99600
1995-08-10,2.2500,2.9550,2.2500,2.8100,113200
1995-08-11,2.6250,3.0000,2.6250,2.8100,42200
1995-08-14,2.7500,2.9400,2.6850,2.6850,5400
1995-08-15,2.6850,2.7500,2.4400,2.4400,46600
1995-08-16,2.5000,2.5000,2.1900,2.2500,47000
1995-08-17,2.2500,2.3750,2.1900,2.1900,108600
1995-08-18,2.1900,2.3750,2.1900,2.3750,113800
1995-08-21,2.2500,2.3750,2.1900,2.3750,30200
1995-08-22,2.5000,2.8100,2.3750,2.7500,385200
1995-08-23,2.6850,2.8750,2.6250,2.6250,94400
1995-08-24,2.6250,2.8750,2.6250,2.8750,7400
1995-08-25,2.8750,2.8750,2.7500,2.8100,7200
1995-08-28,2.6250,2.6850,2.6250,2.6850,2200
1995-08-29,2.6250,2.8750,2.6250,2.6250,24600
1995-08-30,2.6250,2.8750,2.5650,2.5650,23600
1995-08-31,2.5650,2.8100,2.5650,2.5650,4200
1995-09-01,2.7500,2.7500,2.6250,2.6850,5200
1995-09-05,2.5000,2.7500,2.5000,2.5000,9600
1995-09-06,2.4400,2.4400,2.4400,2.4400,200
1995-09-07,2.4400,2.6250,2.4400,2.6250,7800
1995-09-08,2.7500,2.7500,2.4400,2.5650,19600
1995-09-11,2.4400,2.7500,2.4400,2.5000,6200
1995-09-12,2.4400,2.6250,2.4400,2.4700,33000
1995-09-13,2.7500,2.7500,2.5000,2.5000,26200
1995-09-14,2.5000,2.6850,2.5000,2.5000,15400
1995-09-15,2.5000,2.5950,2.3750,2.3750,30600
1995-09-18,2.3750,2.5000,2.2500,2.2500,8800
1995-09-19,2.2500,2.5650,2.2500,2.4050,60400
1995-09-20,2.5000,2.5000,2.3750,2.3750,22200
1995-09-21,2.5000,2.5000,2.3750,2.4400,40400
1995-09-22,2.4400,2.4400,2.3750,2.3750,47200
1995-09-25,2.2500,2.3750,2.2500,2.3750,5200
1995-09-26,2.1900,2.4400,2.1900,2.4400,10000
1995-09-27,2.3750,2.4400,2.2500,2.4400,24800
1995-09-28,2.2500,2.3750,2.2500,2.3750,14200
1995-09-29,2.1900,2.3100,2.1900,2.2500,26200
1995-10-02,2.1250,2.2500,2.1250,2.1250,6000
1995-10-03,2.2500,2.2500,2.1250,2.2200,22000
1995-10-04,2.1250,2.2500,2.1250,2.1900,7600
1995-10-05,2.2500,2.2500,2.1250,2.2500,5400
1995-10-06,2.1250,2.3100,2.1250,2.1250,20800
1995-10-09,2.2500,2.2500,2.2500,2.2500,400
1995-10-10,2.3100,2.3100,2.1250,2.1250,4200
1995-10-11,2.1250,2.2500,2.1250,2.2500,20600
1995-10-12,2.1900,2.2500,2.1900,2.2500,8000
1995-10-13,2.0600,2.3100,2.0600,2.0600,15600
1995-10-16,2.0600,2.3100,2.0600,2.0600,4000
1995-10-17,2.0600,2.0600,2.0600,2.0600,15800
1995-10-18,2.0600,2.0600,2.0600,2.0600,200
1995-10-19,2.0600,2.1250,2.0300,2.0600,21200
1995-10-20,2.0600,2.0600,2.0600,2.0600,0
1995-10-23,2.0000,2.0000,2.0000,2.0000,10800
1995-10-24,2.0000,2.1550,1.9350,2.1550,23200
1995-10-25,1.8750,2.0600,1.8750,2.0600,41600
1995-10-26,2.0000,2.0600,2.0000,2.0600,13800
1995-10-27,2.0600,2.0600,1.8750,1.8750,20200
1995-10-30,1.8750,1.8750,1.8750,1.8750,1000
1995-10-31,1.8750,1.9350,1.8750,1.9350,15800
1995-11-01,1.8750,1.8750,1.8750,1.8750,20400
1995-11-02,1.8750,1.9350,1.8750,1.8750,3800
1995-11-03,1.8750,2.1250,1.8750,1.9350,27000
1995-11-06,1.8750,2.0000,1.8750,2.0000,2800
1995-11-07,1.8750,1.8750,1.8750,1.8750,600
1995-11-08,1.8750,1.8750,1.8750,1.8750,3000
1995-11-09,1.8750,2.1250,1.8150,1.8150,48800
1995-11-10,1.8150,1.8150,1.8150,1.8150,400
1995-11-13,1.8150,2.0000,1.8150,2.0000,11400
1995-11-14,1.8150,1.8150,1.8150,1.8150,200
1995-11-15,1.8150,1.8150,1.8150,1.8150,1600
1995-11-16,1.8150,1.8150,1.8150,1.8150,200
1995-11-17,1.8150,2.0000,1.8150,1.8150,12400
1995-11-20,1.8150,1.9350,1.8150,1.8150,13800
1995-11-21,1.8150,1.8750,1.8150,1.8150,16600
1995-11-22,1.8150,1.8150,1.6900,1.6900,7800
1995-11-24,1.6900,1.6900,1.6900,1.6900,200
1995-11-27,1.7500,1.9050,1.7500,1.9050,13200
1995-11-28,1.6900,1.9050,1.6900,1.9050,34800
1995-11-29,1.6900,2.0000,1.6900,2.0000,1800
1995-11-30,2.0000,2.0000,1.7500,1.7500,21600
1995-12-01,1.7500,1.9050,1.7500,1.7500,6000
1995-12-04,1.7500,1.9050,1.7500,1.7500,61600
1995-12-05,1.7500,1.7500,1.7500,1.7500,3600
1995-12-06,1.7500,1.7500,1.7500,1.7500,2000
1995-12-07,1.7500,1.8750,1.7500,1.7500,48600
1995-12-08,1.7500,1.7500,1.6900,1.6900,37200
1995-12-11,1.6250,1.6250,1.6250,1.6250,1200
1995-12-12,1.6250,1.8150,1.6250,1.8150,4600
1995-12-13,1.6250,1.6900,1.6250,1.6900,9600
