"MacroTrends Data Download"
"CET - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1992-03-17,1.8809,1.8809,1.8568,1.8568,2100
1992-03-18,1.8568,1.8568,1.8568,1.8568,2600
1992-03-19,1.8568,1.8568,1.8568,1.8568,3900
1992-03-20,1.8568,1.8568,1.8335,1.8335,500
1992-03-23,1.8568,1.8809,1.8568,1.8568,2800
1992-03-24,1.8568,1.8568,1.8335,1.8568,2100
1992-03-25,1.8335,1.8809,1.8335,1.8568,2500
1992-03-26,1.8809,1.8809,1.8568,1.8809,5000
1992-03-27,1.8790,1.8790,1.8790,1.8790,0
1992-03-30,1.8568,1.8809,1.8568,1.8568,1700
1992-03-31,1.8335,1.8809,1.8335,1.8809,2800
1992-04-01,1.8568,1.8809,1.8568,1.8809,1000
1992-04-02,1.8568,1.8568,1.8568,1.8568,4200
1992-04-03,1.8568,1.8568,1.8568,1.8568,1400
1992-04-06,1.8335,1.8568,1.8335,1.8568,2500
1992-04-07,1.8568,1.8568,1.8335,1.8568,3400
1992-04-08,1.8335,1.8335,1.8335,1.8335,600
1992-04-09,1.8335,1.8568,1.8335,1.8568,5100
1992-04-10,1.8568,1.8568,1.8568,1.8568,200
1992-04-13,1.8335,1.8335,1.8335,1.8335,100
1992-04-14,1.8335,1.8568,1.8335,1.8568,2100
1992-04-15,1.8809,1.8809,1.8809,1.8809,100
1992-04-16,1.8568,1.8568,1.8335,1.8568,2200
1992-04-20,1.8568,1.8568,1.8335,1.8335,3600
1992-04-21,1.8335,1.8335,1.8103,1.8103,3300
1992-04-22,1.8335,1.8335,1.8335,1.8335,1000
1992-04-23,1.8335,1.8568,1.8335,1.8568,700
1992-04-24,1.8335,1.8335,1.8335,1.8335,700
1992-04-27,1.8103,1.8103,1.7871,1.8103,6000
1992-04-28,1.8103,1.8103,1.7871,1.8103,4700
1992-04-29,1.8103,1.8103,1.8103,1.8103,600
1992-04-30,1.8103,1.8103,1.8103,1.8103,2400
1992-05-01,1.8335,1.8335,1.8335,1.8335,1600
1992-05-04,1.8335,1.8335,1.8103,1.8335,4200
1992-05-05,1.8568,1.8809,1.8568,1.8809,6800
1992-05-06,1.9032,1.9032,1.9032,1.9032,1900
1992-05-07,1.9032,1.9032,1.8809,1.8809,2000
1992-05-08,1.8809,1.8809,1.8809,1.8809,2800
1992-05-11,1.8809,1.9032,1.8809,1.9032,3200
1992-05-12,1.8809,1.8809,1.8809,1.8809,900
1992-05-13,1.8809,1.9032,1.8809,1.9032,1400
1992-05-14,1.8809,1.8809,1.8809,1.8809,5400
1992-05-15,1.8568,1.8809,1.8568,1.8809,4800
1992-05-18,1.8568,1.8809,1.8568,1.8809,2400
1992-05-19,1.8809,1.8809,1.8809,1.8809,100
1992-05-20,1.8568,1.8568,1.8568,1.8568,8400
1992-05-21,1.8335,1.8335,1.8335,1.8335,8200
1992-05-22,1.8345,1.8345,1.8345,1.8345,0
1992-05-26,1.8335,1.8335,1.8335,1.8335,1300
1992-05-27,1.8568,1.8809,1.8568,1.8809,600
1992-05-28,1.8568,1.8568,1.8568,1.8568,400
1992-05-29,1.8568,1.8568,1.8335,1.8335,3300
1992-06-01,1.8498,1.8498,1.8498,1.8498,1700
1992-06-02,1.8498,1.8498,1.8498,1.8498,900
1992-06-03,1.8498,1.8498,1.8498,1.8498,1700
1992-06-04,1.8498,1.8498,1.8498,1.8498,100
1992-06-05,1.8498,1.8498,1.8498,1.8498,1800
1992-06-08,1.8732,1.8732,1.8498,1.8498,7900
1992-06-09,1.8498,1.8498,1.8498,1.8498,1300
1992-06-10,1.8498,1.8732,1.8498,1.8732,600
1992-06-11,1.8498,1.8975,1.8498,1.8975,800
1992-06-12,1.8957,1.8957,1.8957,1.8957,0
1992-06-15,1.8732,1.8732,1.8732,1.8732,800
1992-06-16,1.8732,1.8975,1.8732,1.8975,1800
1992-06-17,1.8732,1.8732,1.8498,1.8498,9300
1992-06-18,1.8264,1.8498,1.8029,1.8498,2900
1992-06-19,1.8507,1.8507,1.8507,1.8507,0
1992-06-22,1.8507,1.8507,1.8507,1.8507,0
1992-06-23,1.8264,1.8264,1.8029,1.8029,2300
1992-06-24,1.8020,1.8020,1.8020,1.8020,0
1992-06-25,1.8264,1.8264,1.8264,1.8264,200
1992-06-26,1.8264,1.8264,1.8264,1.8264,1900
1992-06-29,1.8264,1.8498,1.8264,1.8498,2200
1992-06-30,1.8732,1.8732,1.8732,1.8732,800
1992-07-01,1.8498,1.8498,1.8498,1.8498,400
1992-07-02,1.8498,1.8498,1.8498,1.8498,400
1992-07-06,1.8732,1.8732,1.8732,1.8732,1500
1992-07-07,1.8732,1.8732,1.8498,1.8498,8000
1992-07-08,1.8732,1.8732,1.8498,1.8498,800
1992-07-09,1.8498,1.8732,1.8498,1.8732,6700
1992-07-10,1.8732,1.8732,1.8732,1.8732,1700
1992-07-13,1.8732,1.8732,1.8732,1.8732,0
1992-07-14,1.8732,1.8975,1.8732,1.8975,14100
1992-07-15,1.8732,1.8975,1.8732,1.8975,1300
1992-07-16,1.8732,1.8975,1.8732,1.8975,400
1992-07-17,1.8975,1.8975,1.8975,1.8975,200
1992-07-20,1.8732,1.8732,1.8498,1.8498,2100
1992-07-21,1.8732,1.8975,1.8732,1.8975,2400
1992-07-22,1.8732,1.8732,1.8498,1.8498,1400
1992-07-23,1.8732,1.8732,1.8732,1.8732,5100
1992-07-24,1.8732,1.9200,1.8732,1.9200,6200
1992-07-27,1.8975,1.8975,1.8975,1.8975,500
1992-07-28,1.8975,1.9200,1.8975,1.9200,200
1992-07-29,1.9444,1.9444,1.9444,1.9444,10500
1992-07-30,1.9444,1.9668,1.9444,1.9668,11800
1992-07-31,1.9444,2.0380,1.9444,1.9668,10400
1992-08-03,1.9668,2.0380,1.9668,2.0380,8100
1992-08-04,1.9912,1.9912,1.9668,1.9912,4500
1992-08-05,1.9912,1.9912,1.9668,1.9668,700
