"MacroTrends Data Download"
"CINF - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1990-03-26,3.1143,3.1143,3.0832,3.0832,19098
1990-03-27,3.1143,3.1143,3.0624,3.0624,93501
1990-03-28,3.0936,3.0936,3.0624,3.0624,59796
1990-03-29,3.0832,3.1559,3.0832,3.1351,339597
1990-03-30,3.1247,3.1766,3.1247,3.1766,236997
1990-04-02,3.1766,3.1766,3.1455,3.1455,52101
1990-04-03,3.1455,3.2181,3.1455,3.2181,338598
1990-04-04,3.1974,3.1974,3.1974,3.1974,61803
1990-04-05,3.2078,3.2078,3.1662,3.1974,82602
1990-04-06,3.1766,3.1870,3.1143,3.1143,271197
1990-04-09,3.1039,3.1247,3.0936,3.1143,84897
1990-04-10,3.1039,3.1143,3.0936,3.1143,19098
1990-04-11,3.0936,3.1143,3.0936,3.1039,17100
1990-04-12,3.0936,3.1143,3.0936,3.0936,69696
1990-04-16,3.1143,3.1143,3.0936,3.0936,75996
1990-04-17,3.1143,3.1143,3.0936,3.1039,109998
1990-04-18,3.1247,3.1351,3.1143,3.1143,245700
1990-04-19,3.1143,3.1247,3.1039,3.1143,269802
1990-04-20,3.1247,3.1247,3.1039,3.1039,103401
1990-04-23,3.1039,3.1143,3.0417,3.0728,627597
1990-04-24,3.0417,3.0520,3.0313,3.0417,119997
1990-04-25,3.0313,3.0520,3.0209,3.0209,234702
1990-04-26,3.0209,3.0520,2.9586,2.9794,944802
1990-04-27,2.9794,3.0001,2.9794,2.9794,261801
1990-04-30,2.9794,2.9794,2.9171,2.9586,280701
1990-05-01,2.9482,2.9586,2.9482,2.9586,369297
1990-05-02,2.9744,3.0001,2.9690,2.9952,346203
1990-05-03,3.0001,3.0209,2.9898,3.0105,324396
1990-05-04,3.0159,3.0624,3.0105,3.0313,487503
1990-05-07,3.0417,3.0728,3.0417,3.0728,93501
1990-05-08,3.0728,3.1247,3.0728,3.1039,654696
1990-05-09,3.0832,3.0832,3.0520,3.0624,178902
1990-05-10,3.0728,3.0728,3.0313,3.0520,201996
1990-05-11,3.0313,3.0624,3.0313,3.0471,341901
