"MacroTrends Data Download"
"COLB - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1992-06-16,3.6448,3.6448,3.4971,3.4971,26801
1992-06-17,3.6448,3.6448,3.4971,3.6448,20100
1992-06-18,3.4971,3.6448,3.4971,3.4971,36000
1992-06-19,3.6448,3.6448,3.4971,3.4971,15200
1992-06-22,3.5956,3.5956,3.5956,3.5956,1400
1992-06-23,3.4971,3.4971,3.4478,3.4478,32801
1992-06-24,3.4478,3.4478,3.4478,3.4478,300
1992-06-25,3.4478,3.5463,3.3986,3.4971,14700
1992-06-26,3.3493,3.5463,3.3493,3.3493,2400
1992-06-29,3.3493,3.3493,3.3493,3.3493,0
1992-06-30,3.5463,3.5463,3.3986,3.5463,1200
1992-07-01,3.5463,3.5463,3.3493,3.3493,7001
1992-07-02,3.5463,3.5463,3.4478,3.4478,701
1992-07-06,3.3493,3.3493,3.3493,3.3493,300
1992-07-07,3.4478,3.4478,3.4478,3.4478,300
1992-07-08,3.5463,3.5463,3.3493,3.3493,5201
1992-07-09,3.5463,3.5463,3.4971,3.4971,900
1992-07-10,3.4951,3.4951,3.4951,3.4951,0
1992-07-13,3.5463,3.5463,3.5463,3.5463,600
1992-07-14,3.5463,3.5463,3.5463,3.5463,0
1992-07-15,3.5463,3.5463,3.5463,3.5463,0
1992-07-16,3.3493,3.3986,3.3493,3.3986,9800
1992-07-17,3.4478,3.4478,3.3493,3.3493,1800
1992-07-20,3.3493,3.3493,3.3493,3.3493,300
1992-07-21,3.4971,3.4971,3.4971,3.4971,1700
1992-07-22,3.3493,3.3493,3.3493,3.3493,1700
