"MacroTrends Data Download"
"CPF - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1990-03-26,48.0574,48.0574,46.9526,48.0574,1200
1990-03-27,48.0574,49.7145,48.0574,49.7145,600
1990-03-28,47.5050,47.5050,47.5050,47.5050,100
1990-03-29,47.5050,47.5050,47.5050,47.5050,0
1990-03-30,47.5050,47.5050,47.5050,47.5050,0
1990-04-02,49.7145,49.7145,49.7145,49.7145,200
1990-04-03,48.0574,48.0574,48.0574,48.0574,300
1990-04-04,48.0574,48.0574,48.0574,48.0574,0
1990-04-05,48.0574,48.6098,47.5050,47.5050,2900
1990-04-06,47.5050,48.0574,47.5050,47.5050,1300
1990-04-09,46.9526,46.9526,46.9526,46.9526,900
1990-04-10,48.0574,48.0574,46.9526,46.9526,0
1990-04-11,48.6098,48.6098,46.9526,46.9526,400
1990-04-12,46.9526,46.9526,46.9526,46.9526,0
1990-04-16,46.4002,47.5050,45.2955,47.5050,3300
1990-04-17,45.2955,47.5050,45.2955,47.5050,200
1990-04-18,45.5827,45.8478,45.5827,45.8478,800
1990-04-19,46.9526,46.9526,46.9526,46.9526,200
1990-04-20,45.2955,46.9526,45.2955,46.9526,300
1990-04-23,46.9526,46.9526,46.9526,46.9526,0
1990-04-24,45.2955,45.2955,45.2955,45.2955,400
1990-04-25,46.9526,46.9526,46.1351,46.9526,800
1990-04-26,46.9526,46.9526,46.9526,46.9526,0
1990-04-27,47.5050,47.5050,45.8478,47.5050,2200
1990-04-30,47.5050,47.5050,47.5050,47.5050,0
1990-05-01,48.6098,48.6098,47.5050,47.5050,700
1990-05-02,47.5050,47.5050,47.5050,47.5050,0
1990-05-03,49.1621,49.1621,47.5050,47.5050,0
1990-05-04,47.5050,47.5050,47.5050,47.5050,100
1990-05-07,49.1621,49.1621,49.1621,49.1621,100
1990-05-08,49.1621,49.1621,47.5050,47.5050,0
1990-05-09,49.1621,49.1621,47.5050,47.5050,800
1990-05-10,46.9526,46.9526,46.9526,46.9526,100
1990-05-11,46.9526,49.1621,46.9526,49.1621,600
1990-05-14,47.5050,49.1621,47.5050,47.7922,500
1990-05-15,47.5050,47.5050,47.5050,47.5050,0
1990-05-16,46.9526,49.1621,46.9526,48.6098,200
1990-05-17,46.9526,47.5050,46.9526,47.2399,300
1990-05-18,46.9526,49.1621,46.9526,46.9526,1400
1990-05-21,46.9526,47.5050,46.9526,47.5050,400
1990-05-22,46.9526,46.9526,46.9526,46.9526,100
1990-05-23,46.9526,47.5050,46.9526,47.5050,2700
1990-05-24,46.9526,47.2399,46.9526,47.2399,1300
1990-05-25,46.9526,46.9526,46.9526,46.9526,800
1990-05-29,46.4002,46.9526,46.4002,46.6875,2000
1990-05-30,46.4002,48.0574,46.4002,46.6875,1500
1990-05-31,46.4002,46.6875,46.4002,46.6875,1000
1990-06-01,48.0574,48.0574,46.4002,46.6875,1000
1990-06-04,47.5050,47.5050,46.4002,47.5050,2000
1990-06-05,46.4002,47.5050,46.4002,47.2399,2400
1990-06-06,47.2399,47.2399,47.2399,47.2399,200
1990-06-07,47.2399,47.2399,47.2399,47.2399,0
1990-06-08,46.9526,48.0574,46.9526,48.0574,600
1990-06-11,48.0574,48.0574,48.0574,48.0574,0
1990-06-12,48.0574,48.0574,48.0574,48.0574,0
1990-06-13,46.4002,46.9526,46.4002,46.9526,1300
1990-06-14,46.4002,46.4002,46.4002,46.4002,0
1990-06-15,46.4002,46.4002,46.4002,46.4002,100
1990-06-18,46.4002,46.9526,46.4002,46.9526,400
1990-06-19,48.0574,48.6098,46.9526,48.6098,700
1990-06-20,46.9526,46.9526,46.9526,46.9526,200
1990-06-21,46.9526,46.9526,46.9526,46.9526,0
1990-06-22,46.9526,48.6098,46.9526,46.9526,400
1990-06-25,47.2514,48.9191,47.2514,48.9191,1900
1990-06-26,48.9191,48.9191,48.9191,48.9191,0
1990-06-27,47.2514,48.3632,47.2514,48.3632,1200
1990-06-28,48.9191,48.9191,47.2514,48.9191,300
1990-06-29,48.9191,48.9191,48.9191,48.9191,0
1990-07-02,48.9191,50.5868,48.9191,50.3200,1800
1990-07-03,49.4750,49.4750,49.4750,49.4750,0
1990-07-05,50.5868,50.5868,49.4750,49.4750,0
1990-07-06,50.0309,50.0309,50.0309,50.0309,0
1990-07-09,51.1427,51.1427,49.4750,49.4750,300
1990-07-10,49.4750,51.1427,49.4750,51.1427,1700
1990-07-11,51.1427,51.1427,51.1427,51.1427,1500
1990-07-12,50.5868,50.8759,50.5868,50.8759,300
1990-07-13,50.8759,50.8759,50.8759,50.8759,0
1990-07-16,50.5868,50.5868,50.5868,50.5868,0
1990-07-17,50.5868,50.5868,50.5868,50.5868,0
1990-07-18,50.5868,50.5868,50.5868,50.5868,100
1990-07-19,50.5868,51.1427,50.5868,51.1427,1500
1990-07-20,51.1427,51.1427,51.1427,51.1427,0
1990-07-23,50.5868,51.6986,50.5868,50.5868,700
1990-07-24,50.5868,51.6986,48.9191,50.5868,2900
1990-07-25,48.9191,48.9191,48.9191,48.9191,0
1990-07-26,50.5868,50.5868,50.5868,50.5868,0
1990-07-27,50.5868,50.5868,50.5868,50.5868,0
1990-07-30,50.5868,50.5868,50.5868,50.5868,0
