"MacroTrends Data Download"
"CZNC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1996-05-30,5.1252,5.1252,5.1252,5.1252,0
1996-05-31,5.1252,5.1252,5.1252,5.1252,0
1996-06-03,5.1252,5.1252,5.1252,5.1252,0
1996-06-04,4.8436,4.8436,4.8436,4.8436,401
1996-06-05,4.8436,4.8436,4.8436,4.8436,0
1996-06-06,4.8436,4.8436,4.8436,4.8436,0
1996-06-07,4.8436,4.8436,4.8436,4.8436,0
1996-06-10,5.0125,5.0125,5.0125,5.0125,600
1996-06-11,4.8436,4.8436,4.8436,4.8436,101
1996-06-12,4.8436,4.8436,4.8436,4.8436,0
1996-06-13,4.8436,4.8436,4.8436,4.8436,0
1996-06-14,4.8436,4.8436,4.8436,4.8436,0
1996-06-17,4.8436,4.8436,4.8436,4.8436,300
1996-06-18,4.8436,4.8436,4.8436,4.8436,0
1996-06-19,4.8436,4.8436,4.8436,4.8436,0
1996-06-20,4.8436,4.8436,4.8436,4.8436,0
1996-06-21,4.8436,4.8436,4.8436,4.8436,401
1996-06-24,4.8436,4.8436,4.8436,4.8436,0
1996-06-25,4.8436,4.8436,4.8436,4.8436,1301
1996-06-26,4.8436,4.8436,4.8436,4.8436,0
1996-06-27,4.8776,4.8776,4.8776,4.8776,0
1996-06-28,4.8776,4.8776,4.8776,4.8776,401
1996-07-01,4.8776,5.1044,4.8776,4.8776,1800
1996-07-02,4.8776,4.8776,4.8776,4.8776,0
1996-07-03,4.9910,4.9910,4.9910,4.9910,701
1996-07-05,4.9910,4.9910,4.9910,4.9910,0
1996-07-08,5.0477,5.0477,5.0477,5.0477,600
1996-07-09,5.0477,5.0477,5.0477,5.0477,0
1996-07-10,5.0477,5.0477,5.0477,5.0477,0
1996-07-11,5.0477,5.0477,5.0477,5.0477,0
1996-07-12,5.0477,5.0477,5.0477,5.0477,0
1996-07-15,5.0477,5.0477,5.0477,5.0477,0
1996-07-16,4.8776,4.8776,4.8776,4.8776,300
1996-07-17,4.8776,4.8776,4.8776,4.8776,0
1996-07-18,4.8776,4.8776,4.8776,4.8776,0
1996-07-19,4.8776,4.8776,4.8776,4.8776,0
1996-07-22,4.8776,4.8776,4.8776,4.8776,0
