"MacroTrends Data Download"
"DAVE - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-04-26,9.8000,9.8000,9.8000,9.8000,100
2021-04-27,9.8000,10.0000,9.8000,10.0000,1450
2021-04-28,9.8500,9.8500,9.7500,9.7600,2211
2021-04-29,9.7600,9.9900,9.7600,9.8600,4897
2021-04-30,9.8600,9.8600,9.8400,9.8600,1932
2021-05-03,9.9400,9.9400,9.8900,9.8900,6914
2021-05-04,9.8900,9.8900,9.8900,9.8900,80
2021-05-05,9.7900,9.7900,9.7900,9.7900,969
2021-05-06,9.7900,9.7900,9.7900,9.7900,62
2021-05-07,9.7624,9.7624,9.7624,9.7624,202
2021-05-10,9.7678,9.7678,9.7678,9.7678,165
2021-05-11,9.7678,9.7678,9.7678,9.7678,0
2021-05-12,9.7678,9.7678,9.7678,9.7678,0
2021-05-13,9.7678,9.7678,9.7678,9.7678,0
2021-05-14,9.7500,9.7500,9.7200,9.7500,12147
2021-05-17,9.7500,9.7500,9.7500,9.7500,130
2021-05-18,9.7500,9.7500,9.7500,9.7500,0
2021-05-19,9.9000,9.9000,9.6600,9.7400,18366
2021-05-20,9.7400,9.7400,9.7400,9.7400,1
2021-05-21,9.7400,9.7400,9.7400,9.7400,0
2021-05-24,9.7400,9.7400,9.7400,9.7400,0
2021-05-25,9.7400,9.7400,9.7400,9.7400,0
2021-05-26,9.8881,9.9000,9.8881,9.9000,800
2021-05-27,9.9000,9.9000,9.9000,9.9000,0
2021-05-28,9.9000,9.9000,9.9000,9.9000,4
2021-06-01,9.9000,9.9000,9.9000,9.9000,0
2021-06-02,9.9000,9.9000,9.9000,9.9000,0
2021-06-03,9.8499,9.8500,9.7300,9.7300,2300
2021-06-04,9.7300,9.8900,9.7300,9.8900,2480
2021-06-07,9.9000,9.9500,9.8400,9.8800,2759452
2021-06-08,10.0000,10.0000,9.8700,9.9100,551010
2021-06-09,9.9500,9.9900,9.8900,9.9000,635224
2021-06-10,9.9800,10.0000,9.8800,9.9200,179886
2021-06-11,9.9000,9.9700,9.9000,9.9400,12669
2021-06-14,9.9900,10.0000,9.8700,9.9000,174124
2021-06-15,9.9600,9.9600,9.9100,9.9500,80496
2021-06-16,9.9500,9.9500,9.9100,9.9300,23637
2021-06-17,9.9200,9.9500,9.8800,9.8900,95637
2021-06-18,9.8900,9.9494,9.8700,9.9000,36751
2021-06-21,9.8800,9.9400,9.8800,9.9000,9291
2021-06-22,9.9000,9.9499,9.8500,9.8900,146137
2021-06-23,9.9000,9.9000,9.8900,9.9000,16098
2021-06-24,9.9000,9.9500,9.8900,9.9000,39768
2021-06-25,9.9500,9.9500,9.8900,9.9100,29874
2021-06-28,9.9500,9.9500,9.8900,9.9000,86178
2021-06-29,9.9600,9.9600,9.8800,9.9000,183973
2021-06-30,9.9200,9.9200,9.8700,9.8900,107081
2021-07-01,9.9000,9.9000,9.8800,9.8900,13785
2021-07-02,9.9000,9.9100,9.8701,9.9000,41624
2021-07-06,9.9400,9.9400,9.8800,9.8900,128354
2021-07-07,9.8700,9.9000,9.8700,9.8900,74110
2021-07-08,9.8700,9.8943,9.8700,9.8900,37867
2021-07-09,9.9400,9.9400,9.8800,9.8900,21772
2021-07-12,9.9000,9.9000,9.8800,9.9000,32879
2021-07-13,9.9400,9.9400,9.8800,9.8900,3034
2021-07-14,9.9000,9.9001,9.8800,9.8801,93870
2021-07-15,9.9200,9.9200,9.8800,9.8800,82386
2021-07-16,9.8900,9.9000,9.8700,9.8999,6663
2021-07-19,9.8800,9.9000,9.8700,9.9000,20838
2021-07-20,9.9400,9.9400,9.8700,9.8850,9126
2021-07-21,9.9000,9.9000,9.8600,9.8900,138941
2021-07-22,9.9400,9.9400,9.8700,9.8700,75771
2021-07-23,9.8900,9.9299,9.8800,9.9000,482888
2021-07-26,9.9300,9.9300,9.8800,9.8800,13318
2021-07-27,9.9000,9.9000,9.8700,9.8800,101557
2021-07-28,9.8700,9.8900,9.8200,9.8500,345033
2021-07-29,9.8300,9.8700,9.8300,9.8550,49596
2021-07-30,9.8600,9.8700,9.8400,9.8600,101874
2021-08-02,9.9000,9.9000,9.8500,9.8500,60817
2021-08-03,9.8300,9.8897,9.8300,9.8800,9653
2021-08-04,9.9400,9.9400,9.8600,9.8800,20887
2021-08-05,9.8600,9.8900,9.8500,9.8700,34876
2021-08-06,9.8500,9.9000,9.8500,9.8500,6437
2021-08-09,9.8500,9.9000,9.8500,9.8500,5061
2021-08-10,9.9400,9.9400,9.8500,9.9000,11187
2021-08-11,9.9400,9.9400,9.9000,9.9200,64531
2021-08-12,9.9000,9.9200,9.8715,9.9000,28854
2021-08-13,9.9000,9.9200,9.8500,9.9100,5849
2021-08-16,9.8900,9.9100,9.8500,9.9100,101431
2021-08-17,9.9000,9.9100,9.8500,9.8800,29137
2021-08-18,9.8600,9.9072,9.8600,9.8800,77099
2021-08-19,9.9200,9.9200,9.8900,9.8900,49297
2021-08-20,9.9000,9.9100,9.9000,9.9000,7072
2021-08-23,9.8500,9.9100,9.8500,9.8800,61873
2021-08-24,9.9000,9.9000,9.8501,9.8927,127398
2021-08-25,9.9000,9.9000,9.8550,9.8731,25910
2021-08-26,9.8900,9.8900,9.8700,9.8700,250449
2021-08-27,9.8600,9.8800,9.8600,9.8750,1850
2021-08-30,9.8700,9.8800,9.8600,9.8700,58095
2021-08-31,9.9000,9.9000,9.8600,9.8900,60887
2021-09-01,9.9000,9.9000,9.8600,9.8900,201485
2021-09-02,9.8850,9.9000,9.8600,9.8900,54028
2021-09-03,9.8600,9.9200,9.8600,9.9200,6066
2021-09-07,9.9500,9.9900,9.9000,9.9200,25994
2021-09-08,9.9100,9.9800,9.8700,9.9736,74443
2021-09-09,9.9693,10.1000,9.8700,9.9600,68571
2021-09-10,9.9200,10.0150,9.9200,10.0100,496526
2021-09-13,9.9900,10.0100,9.9200,10.0000,62536
2021-09-14,9.9200,10.0000,9.9200,10.0000,405662
2021-09-15,9.9800,10.0000,9.9300,9.9500,42668
2021-09-16,9.9300,9.9700,9.9300,9.9700,564825
2021-09-17,9.9500,9.9617,9.9500,9.9600,1162
2021-09-20,9.9100,9.9500,9.9000,9.9200,5035
2021-09-21,9.9250,9.9400,9.9000,9.9300,27062
2021-09-22,9.9001,9.9500,9.9001,9.9300,3519
2021-09-23,9.9500,9.9900,9.9000,9.9600,3509
2021-09-24,9.9300,9.9600,9.9300,9.9600,3823
2021-09-27,9.9200,9.9800,9.9100,9.9100,17240
2021-09-28,9.9000,9.9250,9.9000,9.9250,1690
2021-09-29,9.9000,9.9300,9.9000,9.9300,25638
2021-09-30,9.9000,9.9815,9.9000,9.9100,17947
2021-10-01,9.9000,9.9500,9.9000,9.9100,11330
2021-10-04,9.9900,9.9900,9.9200,9.9200,5017
2021-10-05,9.9000,9.9442,9.9000,9.9300,1792
2021-10-06,9.9000,9.9500,9.8950,9.9100,472501
2021-10-07,9.9900,10.0000,9.9000,10.0000,226083
2021-10-08,10.0000,10.0000,9.9101,9.9101,668
2021-10-11,9.9400,9.9900,9.9000,9.9400,11326
2021-10-12,9.9000,9.9500,9.9000,9.9300,32594
2021-10-13,9.9100,9.9600,9.9100,9.9300,23679
2021-10-14,9.9800,9.9800,9.9300,9.9300,2990
2021-10-15,9.9100,9.9600,9.9100,9.9400,11898
2021-10-18,9.9747,9.9747,9.9400,9.9400,26218
2021-10-19,9.9100,9.9500,9.9100,9.9500,554
2021-10-20,9.9100,9.9455,9.9100,9.9300,844
2021-10-21,9.9790,9.9790,9.9400,9.9400,1314
2021-10-22,9.9200,9.9402,9.9200,9.9400,11624
2021-10-25,9.9200,9.9868,9.9200,9.9400,4654
2021-10-26,9.9200,9.9900,9.9200,9.9500,55011
2021-10-27,9.9400,9.9543,9.9400,9.9543,746
2021-10-28,9.9200,9.9800,9.8700,9.9800,64332
2021-10-29,9.9300,10.0000,9.9300,9.9500,4945
2021-11-01,10.0000,10.0600,9.9800,10.0100,509522
2021-11-02,10.0000,10.0000,9.9554,9.9900,84889
2021-11-03,10.0000,10.0000,9.9758,10.0000,265333
2021-11-04,10.0400,10.0400,9.9500,9.9500,46416
2021-11-05,10.0200,10.0200,9.9710,9.9800,106837
2021-11-08,9.9800,10.0100,9.9601,10.0000,249340
2021-11-09,10.0400,10.0400,9.9600,9.9600,32770
2021-11-10,9.9700,9.9902,9.9700,9.9812,42789
2021-11-11,9.9900,10.0000,9.9900,9.9900,1512
2021-11-12,9.9900,9.9900,9.9500,9.9700,60610
2021-11-15,10.0200,10.0250,9.9801,10.0000,42755
2021-11-16,9.9900,10.0000,9.9500,9.9600,19756
2021-11-17,9.9900,10.0100,9.9500,9.9500,72886
2021-11-18,9.9300,9.9900,9.9300,9.9500,38123
2021-11-19,9.9700,10.0100,9.9700,10.0100,3892
2021-11-22,10.0000,10.0050,9.9700,9.9701,16270
2021-11-23,9.9700,10.0000,9.9700,10.0000,7545
2021-11-24,9.9400,10.0000,9.9300,10.0000,1917
2021-11-26,9.9200,9.9500,9.9200,9.9301,1472
2021-11-29,9.9400,9.9500,9.9000,9.9425,878791
2021-11-30,9.9600,10.0000,9.9200,10.0000,45182
2021-12-01,9.9700,9.9900,9.9400,9.9500,45241
2021-12-02,9.9800,9.9800,9.9400,9.9700,62585
2021-12-03,9.9800,9.9800,9.9200,9.9350,20234
2021-12-06,9.9200,9.9600,9.9200,9.9400,21157
2021-12-07,9.9700,9.9700,9.9100,9.9250,80815
2021-12-08,9.9500,9.9700,9.9200,9.9700,175108
2021-12-09,9.9200,9.9700,9.9200,9.9700,17628
2021-12-10,9.9700,9.9700,9.9300,9.9500,2395
2021-12-13,9.9900,9.9900,9.9500,9.9700,125634
2021-12-14,9.9800,10.0000,9.9500,9.9600,123005
2021-12-15,9.9600,9.9750,9.9600,9.9700,43783
2021-12-16,9.9600,9.9720,9.9600,9.9600,158662
2021-12-17,9.9600,9.9700,9.9500,9.9500,101201
2021-12-20,9.9600,9.9800,9.9600,9.9600,234157
2021-12-21,9.9600,9.9782,9.9600,9.9600,503420
2021-12-22,9.9600,9.9700,9.9500,9.9500,815011
2021-12-23,9.9600,9.9700,9.9500,9.9600,409607
2021-12-27,9.9700,9.9800,9.9600,9.9700,88403
2021-12-28,9.9700,9.9700,9.9600,9.9600,641800
2021-12-29,9.9600,9.9800,9.9600,9.9700,516238
2021-12-30,9.9700,9.9700,9.6600,9.7400,38426
2021-12-31,9.7100,10.3700,9.6200,10.2500,203865
2022-01-03,10.0800,10.0800,8.1900,8.3300,177710
2022-01-04,8.6100,8.7200,7.8800,8.0200,140232
2022-01-05,7.9900,9.0078,7.9900,8.2100,180818
2022-01-06,8.2700,9.2000,7.0950,8.5300,357865
2022-01-07,8.9100,9.0899,5.4000,5.8200,1750063
2022-01-10,5.8300,5.8300,4.6200,5.0800,777379
2022-01-11,5.1100,5.1100,4.7600,4.9400,429945
2022-01-12,5.0500,5.2800,4.6200,5.2000,756033
2022-01-13,5.1220,7.4899,5.1000,6.3000,13341250
2022-01-14,5.9600,6.1900,5.7300,6.0900,709266
2022-01-18,5.9300,6.3399,5.7600,6.1800,371212
2022-01-19,6.3300,6.9499,6.2001,6.7600,554643
2022-01-20,6.8000,7.4500,6.1200,7.2400,386931
2022-01-21,7.1200,9.8699,6.7300,9.4300,2892165
2022-01-24,9.3600,11.9300,8.0000,8.8200,3849553
2022-01-25,8.7100,9.6000,8.5001,9.0800,630472
2022-01-26,9.6200,9.7169,8.9900,9.6100,576630
2022-01-27,9.5700,9.6000,9.1500,9.2100,253568
2022-01-28,9.0300,13.8621,8.6100,11.3900,3909024
2022-01-31,11.6000,13.5000,11.5600,12.5500,1877232
2022-02-01,12.7500,14.6300,12.4000,14.3000,1991261
2022-02-02,14.7800,15.3459,13.1800,13.9200,1117354
2022-02-03,12.9000,13.2600,10.6200,10.8200,585621
2022-02-04,10.8200,11.7000,10.1900,11.3800,583679
2022-02-07,10.8900,12.4150,10.7700,11.2400,706532
2022-02-08,11.0000,12.0800,10.6910,11.6100,406403
2022-02-09,11.6700,11.6700,10.4000,10.4900,599526
2022-02-10,10.4300,11.5000,10.0900,10.2100,463170
2022-02-11,10.2900,10.7000,9.1900,9.3200,637855
2022-02-14,8.3800,8.8000,5.7700,5.8800,2883149
2022-02-15,5.8600,6.1800,5.7000,5.7300,1741185
2022-02-16,5.7400,5.7998,5.3500,5.6900,823520
2022-02-17,5.7300,5.7300,5.1001,5.2400,470973
2022-02-18,5.3000,5.3299,4.5400,5.2300,713636
2022-02-22,5.1100,5.2400,4.8300,4.8300,358154
2022-02-23,4.9800,5.1500,4.6620,4.8400,442531
2022-02-24,4.4500,4.8400,4.4500,4.6300,656662
2022-02-25,4.6700,4.9100,4.4600,4.8000,803567
2022-02-28,4.6800,4.7900,4.3300,4.3700,754447
2022-03-01,4.3700,4.4800,4.2000,4.3000,340082
2022-03-02,4.3100,4.3400,4.0800,4.1200,325620
2022-03-03,4.2100,4.7500,4.1300,4.5500,772407
