"MacroTrends Data Download"
"EARN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-05-01,6.0342,6.1771,6.0342,6.1040,5613900
2013-05-02,6.1009,6.2057,6.0818,6.1898,986100
2013-05-03,6.1930,6.2342,6.1167,6.2184,156600
2013-05-06,6.1930,6.1993,6.1040,6.1834,93500
2013-05-07,6.1612,6.1866,6.1294,6.1866,103800
2013-05-08,6.1866,6.2088,6.1358,6.2088,112800
2013-05-09,6.1930,6.2057,6.1072,6.2057,128700
2013-05-10,6.1771,6.1993,6.1294,6.1993,60600
2013-05-13,6.1866,6.1866,6.1425,6.1580,49300
2013-05-14,6.1498,6.1580,6.1294,6.1548,70900
2013-05-15,6.1231,6.1263,6.1072,6.1136,94900
2013-05-16,6.1231,6.1263,6.0850,6.1167,108600
2013-05-17,6.1136,6.1803,6.1136,6.1548,134700
2013-05-20,6.1294,6.1803,6.1294,6.1676,122400
2013-05-21,6.1614,6.2215,6.0850,6.2184,95600
2013-05-22,6.1930,6.1968,6.1263,6.1930,156100
2013-05-23,6.1771,6.3009,6.1136,6.2851,236000
2013-05-24,6.2724,6.3041,6.1644,6.3041,106700
2013-05-28,6.3041,6.3041,6.0532,6.1739,360400
2013-05-29,6.1612,6.1612,5.8214,6.1072,326600
2013-05-30,6.0659,6.2057,6.0342,6.1930,207500
2013-05-31,6.1930,6.1930,5.9805,6.1612,141300
2013-06-03,6.1294,6.1294,5.7575,5.7992,135000
2013-06-04,5.7261,5.8881,5.7261,5.8595,41100
2013-06-05,5.8277,5.8398,5.7515,5.7992,34900
2013-06-06,5.7642,5.8944,5.7553,5.8309,74400
2013-06-07,5.8563,5.8944,5.7674,5.8277,68300
2013-06-10,5.8658,5.9452,5.7992,5.8595,33600
2013-06-11,5.8246,5.8722,5.4784,5.7134,214100
2013-06-12,5.6875,5.6912,5.4593,5.5292,57200
2013-06-13,5.5673,5.7483,5.4689,5.7452,119700
2013-06-14,5.7515,5.8404,5.6658,5.7547,68100
2013-06-17,5.7896,5.8119,5.7007,5.7071,43800
2013-06-18,5.6943,5.7325,5.5959,5.6816,55300
2013-06-19,5.6594,5.6880,5.4022,5.4053,61700
2013-06-20,5.3990,5.4689,5.3386,5.4085,78000
2013-06-21,5.4244,5.4371,5.2847,5.3641,121800
2013-06-24,5.3672,5.4466,5.2402,5.4466,113500
2013-06-25,5.4943,5.4943,5.4053,5.4625,37100
2013-06-26,5.4612,5.6293,5.4580,5.6277,45700
2013-06-27,5.5988,5.6693,5.4455,5.5412,121900
2013-06-28,5.5220,5.7589,5.4772,5.7141,558300
2013-07-01,5.7301,5.7557,5.4740,5.5156,105800
2013-07-02,5.5316,5.5316,5.3011,5.3428,196100
2013-07-03,5.3139,5.4068,5.2851,5.3844,25600
2013-07-05,5.4292,5.4292,4.8466,4.9106,163500
2013-07-08,4.9394,4.9938,4.8562,4.8690,59000
2013-07-09,4.8914,4.9906,4.8818,4.9394,143300
2013-07-10,4.9490,4.9778,4.8018,4.8914,58600
2013-07-11,4.9554,5.0995,4.9394,5.0450,75300
2013-07-12,5.0386,5.1315,4.9522,4.9682,44100
2013-07-15,4.9810,5.0642,4.9618,5.0066,52300
2013-07-16,5.0002,5.0098,4.9362,4.9362,59200
2013-07-17,4.9778,5.0835,4.9490,5.0386,66800
2013-07-18,5.0578,5.0578,4.9586,4.9586,55800
2013-07-19,4.9426,5.0034,4.9298,4.9618,38200
2013-07-22,4.9618,4.9938,4.8594,4.9586,43000
2013-07-23,4.9138,5.0703,4.9138,5.0290,55100
2013-07-24,5.0450,5.0450,4.9042,4.9298,88100
2013-07-25,4.9330,4.9618,4.9138,4.9330,36500
2013-07-26,4.9106,4.9490,4.8978,4.9138,29100
2013-07-29,4.9330,5.0482,4.9170,5.0162,48400
2013-07-30,5.0322,5.0835,5.0130,5.0450,31200
2013-07-31,5.0290,5.0546,4.9330,4.9682,34600
2013-08-01,4.9970,4.9970,4.7249,4.7345,110200
2013-08-02,4.7569,4.9010,4.7249,4.7825,88100
2013-08-05,4.7505,4.8466,4.7505,4.8338,49100
2013-08-06,4.8338,4.8427,4.7681,4.8018,43100
2013-08-07,4.8018,4.8018,4.7252,4.7441,13200
2013-08-08,4.7601,4.8178,4.7313,4.7505,33200
2013-08-09,4.7345,4.8178,4.7345,4.7665,49900
2013-08-12,4.7537,5.0899,4.7441,5.0610,70600
2013-08-13,5.0707,5.2275,5.0707,5.1475,134300
2013-08-14,5.0995,5.0995,4.9938,5.0418,70900
2013-08-15,5.1219,5.1667,4.7857,4.8146,134100
2013-08-16,4.8018,4.9266,4.7835,4.9074,83800
2013-08-19,4.9266,4.9269,4.6737,4.6833,83100
