"MacroTrends Data Download"
"EBTC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2005-02-14,16.1329,16.5942,12.1823,13.4993,21600
2005-02-15,13.9931,14.4870,13.1700,13.1700,2000
2005-02-16,13.8285,13.8285,13.8285,13.8285,1000
2005-02-17,13.4993,14.1574,13.0087,13.1700,4200
2005-02-18,13.1700,13.2095,12.8408,12.8408,1400
2005-02-22,12.7584,12.8408,12.6761,12.6761,600
2005-02-23,12.5115,12.5115,11.8530,12.0176,5000
2005-02-24,12.0176,12.0176,11.3591,11.3756,10400
2005-02-25,11.3591,11.3591,10.9311,10.9311,13000
2005-02-28,10.8653,10.8653,10.6183,10.8587,12800
2005-03-01,10.8323,10.8653,10.4043,10.8317,13400
2005-03-02,10.8323,10.8323,10.1409,10.2068,9600
2005-03-03,10.3385,10.4043,10.1903,10.1903,7600
2005-03-04,10.4125,10.4537,10.1080,10.1080,9600
2005-03-07,10.2232,10.2232,10.2232,10.2232,200
2005-03-08,10.2068,10.3549,10.2068,10.2068,14600
2005-03-09,10.1080,10.1080,10.1080,10.1080,800
2005-03-10,10.2891,10.2891,10.0092,10.0092,10200
2005-03-11,10.0092,10.0092,10.0092,10.0092,0
2005-03-14,10.1672,10.1672,10.1672,10.1672,800
2005-03-15,10.1672,10.4109,10.1672,10.2068,2600
2005-03-16,10.2068,10.2068,10.2068,10.2068,1000
2005-03-17,10.2068,10.2068,9.7129,9.8775,1000
