"MacroTrends Data Download"
"EFC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2010-10-08,5.5114,5.6601,5.3960,5.5755,3743600
2010-10-11,5.5755,5.6037,5.4986,5.5755,346500
2010-10-12,5.5780,5.7165,5.5780,5.7036,271100
2010-10-13,5.7344,5.7652,5.6780,5.7421,237500
2010-10-14,5.7421,5.7652,5.7062,5.7293,71800
2010-10-15,5.7549,5.7626,5.7241,5.7318,87700
2010-10-18,5.7318,5.7421,5.7165,5.7421,38000
2010-10-19,5.7293,5.7357,5.6895,5.6934,39500
2010-10-20,5.7113,5.7805,5.6857,5.6985,37100
2010-10-21,5.7165,5.7165,5.6908,5.7011,27800
2010-10-22,5.7011,5.7011,5.6754,5.6908,14900
2010-10-25,5.6396,5.6421,5.5626,5.6011,86900
2010-10-26,5.5755,5.6344,5.5703,5.6267,60800
2010-10-27,5.6011,5.6267,5.6011,5.6165,25000
2010-10-28,5.6370,5.6370,5.6190,5.6267,12500
2010-10-29,5.6319,5.6652,5.6139,5.6472,20800
2010-11-01,5.6665,5.6703,5.6601,5.6677,33300
2010-11-02,5.6934,5.6934,5.6370,5.6370,4300
2010-11-03,5.6396,5.6396,5.6139,5.6242,20200
2010-11-04,5.6780,5.6869,5.6626,5.6780,12400
2010-11-05,5.6754,5.6754,5.6601,5.6626,11400
2010-11-08,5.6626,5.7139,5.6216,5.6216,46800
2010-11-09,5.6202,5.6202,5.6062,5.6062,4700
2010-11-10,5.4986,5.6062,5.4986,5.5755,19400
2010-11-11,5.5755,5.7011,5.5755,5.6139,27300
2010-11-12,5.6139,5.6780,5.6139,5.6139,36900
2010-11-15,5.6524,5.6549,5.6062,5.6319,14800
2010-11-16,5.6293,5.7011,5.6190,5.6652,15100
2010-11-17,5.7036,5.7036,5.6396,5.6626,17500
2010-11-18,5.7677,5.7677,5.6447,5.6524,22400
2010-11-19,5.6293,5.7626,5.6293,5.7293,44300
2010-11-22,5.7011,5.7395,5.6652,5.7293,44400
2010-11-23,5.6908,5.7421,5.6908,5.7421,27100
2010-11-24,5.7677,5.7934,5.7677,5.7831,35300
2010-11-26,5.7934,5.8062,5.7805,5.7908,26000
2010-11-29,5.9751,5.9751,5.8423,5.9087,93600
2010-11-30,5.9751,5.9897,5.8954,5.9220,33500
2010-12-01,5.9485,5.9751,5.8423,5.9220,40700
2010-12-02,5.9751,5.9816,5.8768,5.9193,83300
2010-12-03,5.9061,5.9671,5.9061,5.9193,32700
2010-12-06,5.9326,6.0145,5.8450,5.9485,46000
2010-12-07,5.9751,5.9937,5.8078,5.8423,24900
2010-12-08,5.8556,5.9220,5.8423,5.8423,23300
2010-12-09,5.8689,5.9087,5.8423,5.8822,17400
2010-12-10,5.8715,5.9300,5.8715,5.9087,8400
2010-12-13,5.9114,5.9114,5.8742,5.9061,9900
2010-12-14,5.9087,5.9087,5.8583,5.8954,21900
2010-12-15,5.9167,5.9326,5.8875,5.8901,17400
2010-12-16,5.8715,6.0229,5.7786,5.9061,33000
2010-12-17,5.8981,5.9246,5.8290,5.8290,36500
2010-12-20,5.8609,5.8954,5.8609,5.8954,3100
2010-12-21,5.9539,5.9724,5.8968,5.9061,5300
2010-12-22,5.9034,5.9087,5.8795,5.9061,20500
2010-12-23,5.9406,5.9406,5.8875,5.8954,22300
2010-12-27,5.8954,5.9220,5.8954,5.9220,15900
2010-12-28,5.9485,5.9485,5.8901,5.9087,86100
2010-12-29,5.9167,5.9406,5.9167,5.9167,39800
2010-12-30,5.9167,5.9300,5.9087,5.9087,19200
2010-12-31,5.9087,5.9167,5.8981,5.9061,12200
2011-01-03,5.9831,5.9934,5.8423,5.8928,18300
2011-01-04,5.8875,5.9087,5.8450,5.8917,21000
2011-01-05,5.9087,5.9087,5.8742,5.8822,10800
2011-01-06,5.8954,5.8954,5.8609,5.8822,6500
2011-01-07,5.8954,5.9167,5.8768,5.9167,14000
2011-01-10,5.9167,5.9193,5.8556,5.9061,70000
2011-01-11,5.9618,5.9618,5.8662,5.9007,59900
2011-01-12,5.9353,5.9353,5.8901,5.8901,80700
