"MacroTrends Data Download"
"ELVT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2017-04-06,7.0000,8.0900,7.0000,7.7600,3695288
2017-04-07,7.6000,7.6576,7.3600,7.4000,360605
2017-04-10,7.4300,7.7600,7.3200,7.6800,148053
2017-04-11,7.7600,7.9100,7.6301,7.7300,228225
2017-04-12,7.7500,7.8100,7.6668,7.7000,62977
2017-04-13,7.7500,7.7500,7.4000,7.5900,71838
2017-04-17,7.8500,8.1300,7.5780,8.0800,99411
2017-04-18,8.2000,8.5000,8.0400,8.0500,133782
2017-04-19,8.8000,8.8000,8.0890,8.1600,128436
2017-04-20,8.2000,8.4330,8.1740,8.2900,119815
2017-04-21,8.2500,8.4000,8.1100,8.1100,105543
2017-04-24,8.3000,8.5000,8.1465,8.2400,100361
2017-04-25,8.4300,8.8600,8.1430,8.6700,144468
2017-04-26,8.7100,8.7714,8.4500,8.4500,64130
2017-04-27,8.3300,8.5000,8.1400,8.1400,93667
2017-04-28,8.1300,8.3900,8.1100,8.2500,105300
2017-05-01,8.3400,8.4500,7.9400,8.0000,142587
2017-05-02,8.0000,8.0099,7.5900,7.6400,168718
2017-05-03,7.6800,7.9313,7.5000,7.6500,154231
2017-05-04,7.7400,8.0000,7.6487,7.8300,103390
2017-05-05,7.8300,8.0800,7.6300,7.9800,193177
2017-05-08,8.0500,8.1872,7.8000,7.9300,171079
2017-05-09,8.0700,8.1900,7.6900,8.0500,90253
2017-05-10,8.0500,8.2400,7.9800,7.9900,50598
2017-05-11,8.0000,8.1800,7.9072,8.0800,33774
2017-05-12,8.0700,8.0800,7.9800,7.9900,181340
2017-05-15,7.9800,8.0900,7.8500,7.8500,268118
2017-05-16,7.8900,8.0150,7.8500,7.8800,140979
2017-05-17,7.8400,7.9050,7.7800,7.8100,128721
2017-05-18,7.7800,7.7830,7.5100,7.5400,159680
2017-05-19,7.5400,7.8300,7.4800,7.4800,155015
2017-05-22,7.5000,7.7950,7.4800,7.6400,107313
2017-05-23,7.6100,7.6100,7.4900,7.4900,136813
2017-05-24,7.7100,7.8657,7.5000,7.5900,136783
2017-05-25,7.6200,7.6900,7.2500,7.3000,192428
2017-05-26,7.3400,7.4700,7.1900,7.1900,171158
2017-05-30,7.2000,7.3500,6.8000,7.1400,141568
2017-05-31,7.1200,7.2000,6.9100,7.0000,134613
2017-06-01,6.9000,7.4200,6.9000,7.1900,175639
2017-06-02,7.2400,7.2900,7.0700,7.1000,141980
2017-06-05,7.0300,7.2000,7.0000,7.1000,69049
2017-06-06,7.0700,7.4000,7.0600,7.3100,79618
2017-06-07,7.2600,7.4800,7.1600,7.3300,73771
2017-06-08,7.3500,7.6500,7.3200,7.4400,90138
2017-06-09,7.4300,7.5800,7.3950,7.5000,107527
2017-06-12,7.4700,7.8500,7.4400,7.7500,476795
2017-06-13,7.7300,8.3761,7.6600,8.1700,204876
2017-06-14,8.1000,8.5100,8.1000,8.4600,169617
2017-06-15,8.4500,8.9800,8.3200,8.7000,204338
2017-06-16,8.7300,8.9504,8.3800,8.3800,354759
2017-06-19,8.4100,8.5600,8.0400,8.1900,160884
2017-06-20,8.1900,8.3600,7.9500,8.0900,242439
2017-06-21,8.1600,8.6200,7.9700,8.2900,134666
2017-06-22,8.2700,8.3400,7.6300,7.8400,175040
2017-06-23,7.8900,8.5600,7.5800,8.0400,1648094
2017-06-26,8.1300,8.4700,8.0700,8.2500,176387
