"MacroTrends Data Download"
"EQBK - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2015-11-11,23.9303,24.1968,23.2395,23.5751,805467
2015-11-12,23.5849,24.6013,23.4862,23.8316,127698
2015-11-13,23.4468,23.9303,23.2395,23.6737,29550
2015-11-16,23.2198,24.2065,22.8152,23.8908,77020
2015-11-17,23.8908,24.2165,23.8316,24.1277,111760
2015-11-18,24.1770,24.3250,23.7823,23.8514,143250
2015-11-19,23.8612,24.2658,23.7823,23.7922,114801
2015-11-20,23.8218,24.0685,23.5159,23.7823,127619
2015-11-23,23.6935,24.2214,23.6935,23.7724,89963
2015-11-24,24.0389,24.1129,23.6836,23.8020,68152
2015-11-25,23.8711,23.9698,23.7033,23.8612,81647
2015-11-27,23.8810,24.5707,23.5553,23.7724,58365
2015-11-30,23.5553,24.1770,23.4221,23.8711,98686
2015-12-01,24.1770,24.1770,23.6836,23.9204,35318
2015-12-02,23.6935,23.8687,23.6935,23.8316,3779
2015-12-03,23.8810,23.9303,23.5849,23.6836,44534
2015-12-04,23.6343,23.8711,23.4369,23.6836,18103
2015-12-07,23.8810,23.8810,23.6836,23.6836,11592
2015-12-08,19.7363,23.6836,15.7891,23.5356,41610
2015-12-09,23.6836,23.6836,23.3728,23.5455,31803
2015-12-10,23.6836,23.6836,23.0915,23.2001,32132
2015-12-11,23.2099,23.6244,22.2134,22.6968,41185
2015-12-14,22.6968,23.3382,22.5982,22.7461,74904
2015-12-15,22.7165,23.6047,22.7165,23.3481,73785
2015-12-16,23.0422,23.4369,23.0422,23.4172,39217
2015-12-17,23.6639,23.7231,23.0238,23.4862,62573
2015-12-18,23.5652,23.5652,22.7955,23.4369,317518
2015-12-21,23.4862,23.5849,22.9830,23.3185,16442
2015-12-22,23.2889,23.5849,23.0422,23.5553,45650
2015-12-23,23.5751,24.3645,23.3876,24.0389,131051
2015-12-24,23.7922,24.1869,23.3876,23.3876,16980
2015-12-28,23.5849,23.6935,22.9435,23.0520,20677
2015-12-29,23.1803,23.2889,22.7955,22.9928,37840
2015-12-30,22.9040,23.1557,22.9040,22.9928,5249
2015-12-31,22.9534,23.2395,22.9534,23.0817,13154
2016-01-04,22.3711,23.1606,19.7363,22.9238,44492
2016-01-05,22.9238,23.4961,22.7856,23.2099,52271
2016-01-06,21.6113,23.7823,21.5916,23.6145,60818
2016-01-07,23.3086,23.5849,22.9460,23.5849,33954
2016-01-08,23.6441,23.6835,19.4601,23.5257,28938
2016-01-11,23.3876,23.6836,23.1162,23.6244,60216
2016-01-12,23.6343,23.6441,23.2691,23.6145,25957
2016-01-13,23.6343,23.6343,23.0718,23.5652,22969
2016-01-14,23.4566,23.5159,22.9830,23.1606,21534
2016-01-15,22.6573,23.1211,21.7198,23.0422,24171
2016-01-19,23.0718,23.1211,21.8333,22.4205,52484
2016-01-20,22.0948,23.0422,21.7101,22.6573,14496
2016-01-21,22.8547,23.1409,22.4797,22.4896,12348
2016-01-22,22.6968,22.6968,22.2675,22.6869,4779
2016-01-25,22.0948,22.6376,21.6014,21.7988,23008
2016-01-26,21.8383,22.1836,21.1278,21.5718,17963
2016-01-27,21.9073,21.9271,20.5258,20.5258,18764
2016-01-28,20.1508,21.5126,20.1508,20.9304,7403
2016-01-29,21.6310,21.7100,20.7133,21.7100,15421
2016-02-01,21.5620,21.6705,21.0192,21.5916,5326
2016-02-02,21.2264,21.6901,20.9797,21.4633,11506
2016-02-03,21.6113,22.4402,21.5126,21.6113,34724
2016-02-04,21.9369,22.2626,21.7198,21.8087,7026
2016-02-05,21.8481,21.8481,21.7198,21.7297,5115
2016-02-08,22.1343,22.1343,21.5126,21.8185,8904
2016-02-09,22.0948,22.1738,21.7198,21.7198,26163
2016-02-10,21.7791,22.2771,20.7725,20.7824,17436
2016-02-11,20.7232,20.8218,19.7463,20.6047,43390
2016-02-12,20.7232,20.8712,20.2297,20.4962,15749
2016-02-16,20.4765,20.7429,20.0324,20.5653,6077
2016-02-17,20.2396,20.5258,20.2297,20.3778,12228
2016-02-18,20.7824,20.7824,20.0028,20.3186,16653
2016-02-19,19.8548,20.6343,19.8548,20.4666,21875
2016-02-22,20.7232,20.7232,20.4765,20.6245,20092
2016-02-23,20.4172,20.7232,20.2347,20.6343,14942
2016-02-24,20.4666,20.7232,20.4370,20.5751,11998
2016-02-25,20.6245,20.7232,20.5455,20.7133,17153
2016-02-26,20.7232,20.7232,20.6147,20.6343,9279
2016-02-29,20.6245,20.7232,20.6146,20.6146,9535
2016-03-01,20.7232,20.7232,20.5751,20.6442,12179
2016-03-02,20.6146,20.6146,20.5357,20.6146,2561
2016-03-03,20.4567,20.6245,20.3383,20.6245,12052
2016-03-04,20.5949,20.5949,20.2791,20.5061,2809
2016-03-07,20.7232,20.7330,20.3284,20.7330,16631
2016-03-08,20.7232,20.7725,20.5357,20.6837,20551
2016-03-09,20.7232,21.2067,20.7232,20.9008,15636
2016-03-10,20.9501,21.1179,20.3580,20.6936,14833
2016-03-11,20.5455,21.1968,20.5455,21.1179,19188
2016-03-14,21.1179,21.2067,20.7330,21.1870,29877
2016-03-15,20.7922,21.1179,20.7922,20.9501,17468
2016-03-16,21.0192,21.2067,20.7232,20.7725,13402
2016-03-17,20.6541,20.9205,20.4765,20.5554,18381
2016-03-18,20.6343,21.2067,20.5850,21.0389,125494
2016-03-21,20.7429,20.9304,20.4370,20.8218,11557
2016-03-22,20.8268,20.9501,20.6344,20.9107,10102
2016-03-23,20.9699,21.0685,20.7330,20.8810,9285
2016-03-24,20.8218,20.8712,20.7133,20.7429,4072
2016-03-28,20.8120,21.1179,20.7232,21.0291,6111
2016-03-29,20.9107,20.9107,20.3778,20.4666,27652
2016-03-30,20.7232,20.7232,20.6738,20.7133,6439
2016-03-31,20.7232,20.8120,20.6837,20.7232,5343
2016-04-01,20.7034,20.7429,20.6738,20.7429,7310
2016-04-04,20.7232,20.8070,20.6245,20.7232,15938
2016-04-05,20.7232,20.7922,20.5258,20.7330,12790
2016-04-06,20.7232,20.7528,20.6443,20.7330,6326
2016-04-07,20.6738,20.6738,20.3778,20.3975,10337
2016-04-08,20.4567,20.8317,20.4567,20.7725,22299
2016-04-11,20.5998,20.9008,20.5505,20.8218,15156
2016-04-12,20.4962,20.8514,20.4962,20.6837,4114
2016-04-13,20.4371,20.6639,20.4371,20.6442,4637
2016-04-14,20.6936,20.7034,20.4468,20.5455,11227
2016-04-15,20.5554,20.6936,20.4567,20.6936,6524
2016-04-18,20.6639,20.7232,20.5751,20.6738,7212
2016-04-19,20.6541,20.7232,20.5159,20.5653,4916
2016-04-20,20.5159,20.7232,20.2890,20.7034,20798
2016-04-21,20.7034,20.7034,20.5554,20.6245,8566
2016-04-22,20.7232,21.5521,20.4074,20.7725,43764
2016-04-25,20.6442,20.9501,20.4962,20.8218,9750
2016-04-26,20.8514,20.8909,20.5751,20.7429,24164
2016-04-27,20.7034,20.9699,20.7034,20.9304,12174
2016-04-28,20.5851,20.8613,20.5851,20.7330,5191
2016-04-29,20.6245,20.7232,20.5258,20.6936,3838
2016-05-02,20.7232,20.7232,20.6936,20.7232,7179
2016-05-03,20.6541,20.8613,20.5949,20.7429,7140
2016-05-04,20.7232,20.7922,20.6442,20.7034,6643
2016-05-05,20.7232,20.9107,20.6442,20.6442,6865
2016-05-06,20.5455,21.3449,20.4468,21.3449,17085
2016-05-09,21.1376,21.1672,20.7725,21.0981,13036
2016-05-10,21.0291,21.7100,20.9205,21.2166,14974
2016-05-11,21.3745,21.4534,20.7232,20.9205,10635
2016-05-12,21.1080,21.2955,20.8810,21.2166,9088
2016-05-13,21.1179,21.1179,20.7232,20.7725,21093
2016-05-16,20.8909,20.9205,20.7232,20.7528,5152
2016-05-17,20.8712,21.5916,20.7528,21.0883,231930
2016-05-18,21.0488,21.4337,20.8810,21.2363,36015
2016-05-19,21.2166,21.4139,21.1080,21.3054,34106
2016-05-20,21.3942,22.3810,21.3942,21.7100,17773
2016-05-23,21.7593,22.0850,21.4633,21.5521,169729
2016-05-24,21.6409,22.4797,21.4139,22.4501,66746
2016-05-25,22.3218,23.3284,21.8580,23.1211,34105
2016-05-26,23.1211,23.4122,22.3909,22.8942,12340
2016-05-27,22.9632,23.4862,21.5127,23.3481,21643
