"MacroTrends Data Download"
"ESSA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2007-04-04,8.6386,8.7105,8.2066,8.4802,2892500
2007-04-05,8.5234,8.6674,8.4586,8.6458,1338100
2007-04-09,8.6386,8.7897,8.5666,8.7465,394400
2007-04-10,8.7753,8.7825,8.6386,8.7465,248700
2007-04-11,8.7465,8.7465,8.6386,8.6817,301500
2007-04-12,8.6386,8.6530,8.5666,8.6386,270000
2007-04-13,8.6386,8.6674,8.6162,8.6458,242100
2007-04-16,8.6386,8.6674,8.5954,8.6265,419600
2007-04-17,8.6242,8.6602,8.5954,8.6314,339400
2007-04-18,8.6386,8.6386,8.6098,8.6314,108900
2007-04-19,8.6242,8.6386,8.6026,8.6314,155000
2007-04-20,8.6314,8.6314,8.6026,8.6314,268600
2007-04-23,8.6242,8.6314,8.5666,8.5666,293300
2007-04-24,8.5666,8.5666,8.2786,8.5090,286700
2007-04-25,8.4586,8.4586,8.3506,8.3650,81200
2007-04-26,8.3506,8.3794,8.2858,8.3146,185600
2007-04-27,8.3506,8.3506,8.2786,8.3002,139900
2007-04-30,8.2354,8.3506,8.2354,8.2498,157100
2007-05-01,8.2498,8.2714,8.2138,8.2426,42800
2007-05-02,8.2498,8.2714,8.2426,8.2426,50100
2007-05-03,8.2426,8.2714,8.2354,8.2498,74000
2007-05-04,8.2498,8.3074,8.2498,8.2642,53200
2007-05-07,8.2714,8.2844,8.2498,8.2786,94100
2007-05-08,8.2714,8.3074,8.2498,8.2930,41400
2007-05-09,8.2570,8.2930,8.2570,8.2786,61800
2007-05-10,8.2570,8.3866,8.2426,8.3145,123100
2007-05-11,8.2786,8.4226,8.2354,8.3866,41900
2007-05-14,8.3866,8.3938,8.2282,8.2498,79000
2007-05-15,8.2786,8.3146,8.2570,8.2570,11500
