"MacroTrends Data Download"
"FINW - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2021-11-19,12.5000,13.8900,11.9000,12.7300,1561721
2021-11-22,12.7300,14.6000,12.7300,13.5000,263692
2021-11-23,13.4000,13.5000,12.7900,12.9500,182928
2021-11-24,12.9500,13.3500,12.8600,13.2500,95356
2021-11-26,13.1300,13.2500,12.7399,12.7800,22318
2021-11-29,13.1300,13.2500,12.6000,12.6000,34095
2021-11-30,12.5200,13.1950,12.5200,12.9000,21948
2021-12-01,13.0114,13.2500,12.9001,13.0000,44951
2021-12-02,13.2000,13.2500,12.9000,12.9000,66104
2021-12-03,13.3000,13.3000,13.0000,13.0900,18584
2021-12-06,13.2000,13.3000,12.9000,13.0600,68598
2021-12-07,13.0800,14.0000,13.0400,13.1500,29326
2021-12-08,13.0600,13.4999,13.0600,13.2500,27452
2021-12-09,13.2500,13.3300,13.1000,13.3100,9982
2021-12-10,13.1600,13.3000,13.1200,13.1600,7407
2021-12-13,13.2500,13.9283,13.1500,13.2300,39362
2021-12-14,13.2500,13.6534,12.5600,13.0000,22858
2021-12-15,13.4506,13.5200,13.0000,13.5200,64312
2021-12-16,13.3000,13.7200,13.2607,13.5000,39869
2021-12-17,13.5000,13.6800,13.1968,13.4000,112817
2021-12-20,13.4000,13.6800,12.5000,13.2400,655779
2021-12-21,13.3500,13.6000,13.3000,13.4300,33615
2021-12-22,13.5500,13.5500,13.2000,13.4301,15083
2021-12-23,13.5000,13.5000,13.2700,13.4200,51944
2021-12-27,13.4600,13.5000,13.2220,13.4900,33491
2021-12-28,13.3500,13.7500,13.2500,13.4999,24825
2021-12-29,13.7372,13.8000,13.3600,13.5000,27696
2021-12-30,13.5300,13.7800,13.3000,13.4800,18546
2021-12-31,13.3600,13.8000,13.1293,13.7900,29276
2022-01-03,13.7100,14.0000,13.6449,13.8350,23888
2022-01-04,13.9999,15.5400,13.6800,15.3900,59724
2022-01-05,15.4000,16.1500,15.2000,15.5500,124997
2022-01-06,15.5500,15.9000,15.4250,15.6500,19081
2022-01-07,15.6400,15.6400,15.0000,15.3050,26241
2022-01-10,15.2000,15.7100,14.7000,15.4600,14771
2022-01-11,14.9900,15.7000,14.4000,15.6400,25012
2022-01-12,15.5700,16.0000,15.4200,15.7900,17832
2022-01-13,16.1800,17.7500,16.0000,16.9600,78322
2022-01-14,16.3400,17.5000,16.3400,17.0500,31296
2022-01-18,17.0000,18.1800,17.0000,17.1500,37413
2022-01-19,17.2500,17.4000,16.3500,16.8500,39777
2022-01-20,17.0200,17.6699,17.0000,17.0100,33898
2022-01-21,17.0000,17.3300,16.7000,17.0000,24754
2022-01-24,16.8800,17.3300,16.0998,17.3300,43379
2022-01-25,17.2500,17.3300,16.8300,16.9000,19589
2022-01-26,17.7300,17.7531,17.0100,17.0100,31504
2022-01-27,17.1800,17.1931,16.5700,16.6450,19591
2022-01-28,16.7900,17.7700,16.4900,17.4300,33073
2022-01-31,17.3100,17.9000,16.9793,17.5800,57739
2022-02-01,17.5001,19.8550,17.5000,19.4000,91664
2022-02-02,19.9000,19.9157,18.1606,19.0000,46985
2022-02-03,18.2400,19.6200,17.7950,18.9500,30497
2022-02-04,18.8900,19.0000,18.0100,18.6200,42422
2022-02-07,19.4800,19.6300,18.5400,18.9800,42971
2022-02-08,18.9800,19.2500,18.7300,18.8800,46590
2022-02-09,19.1734,19.4300,18.5200,18.9900,99487
2022-02-10,19.4200,19.6300,18.8000,19.5300,102389
2022-02-11,19.4900,20.6000,19.4000,19.5900,92527
2022-02-14,19.5900,19.9000,19.1600,19.7500,32279
2022-02-15,19.8400,20.3999,19.6700,20.0400,39526
2022-02-16,20.2100,20.3300,19.8400,20.2400,42415
2022-02-17,20.0600,20.4300,19.7801,20.3000,31066
2022-02-18,20.3300,20.3300,19.7100,19.8500,36494
2022-02-22,19.8000,19.8000,18.4550,19.2400,51526
2022-02-23,19.2200,19.7000,18.0350,18.6600,84110
2022-02-24,17.7700,19.1400,17.5000,18.8300,90057
2022-02-25,19.0600,21.4300,18.4050,21.1500,99417
2022-02-28,20.8300,21.3500,20.1150,21.1200,46525
2022-03-01,20.8600,21.3400,20.0501,20.3700,48510
2022-03-02,21.0100,21.8600,20.6200,21.2000,74823
2022-03-03,21.4100,21.4600,19.8200,20.2000,39005
2022-03-04,20.0500,20.6490,19.7700,20.1500,48327
2022-03-07,20.1400,20.2900,18.8920,19.1200,97952
2022-03-08,20.1800,20.4800,19.0300,19.0300,39055
2022-03-09,19.4000,19.7600,19.2000,19.3100,35793
2022-03-10,19.3300,19.4800,18.6500,19.1600,44227
2022-03-11,19.2704,19.4800,18.6800,18.7000,25292
2022-03-14,18.9500,19.0908,16.6500,17.2500,119058
2022-03-15,17.3200,17.9418,17.1100,17.4500,43589
2022-03-16,17.4700,18.3025,16.7000,17.6700,73969
2022-03-17,17.4600,17.8000,17.1400,17.8000,75595
2022-03-18,17.5300,18.5000,16.6500,16.9000,226031
2022-03-21,17.4000,17.8300,16.8400,17.5200,87539
2022-03-22,17.4300,17.7000,17.3100,17.7000,82235
2022-03-23,17.6500,17.6530,17.3200,17.4600,19513
2022-03-24,17.4877,18.6500,17.2500,18.3200,67759
2022-03-25,18.5000,18.5000,17.6950,18.0200,24196
2022-03-28,17.7300,18.0000,17.2461,17.9200,39844
