"MacroTrends Data Download"
"FNF - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2005-10-14,10.1846,10.1846,10.1846,10.1846,500
2005-10-17,9.7929,9.7929,9.0878,9.0878,264000
2005-10-18,9.1270,9.1270,8.3044,8.5786,1372600
2005-10-19,8.4219,8.9115,8.1281,8.7744,1415900
2005-10-20,8.6765,8.8919,8.4454,8.6177,708000
2005-10-21,8.3631,8.7744,8.3631,8.6138,382300
2005-10-24,8.6138,8.7862,8.5590,8.7705,767700
2005-10-25,8.3240,8.7823,8.3240,8.6608,1313400
2005-10-26,8.6373,9.0095,8.1085,8.3240,1272100
2005-10-27,8.3044,8.3475,7.8421,7.9518,457200
2005-10-28,8.0302,8.5864,7.6385,8.3044,837300
2005-10-31,8.1673,9.1074,8.1673,8.5198,925000
2005-11-01,8.5198,8.8684,8.5198,8.6765,672100
2005-11-02,8.5198,9.1426,8.5198,8.9429,471900
2005-11-03,9.0095,9.0369,8.7548,9.0095,324400
2005-11-04,9.0095,9.0095,8.6961,8.8606,116200
2005-11-07,8.7940,8.9037,8.6177,8.8567,416500
2005-11-08,8.6961,8.7157,8.5786,8.6138,691100
2005-11-09,8.5590,8.6177,8.3044,8.4376,677800
2005-11-10,8.4336,8.6060,8.3631,8.5864,464900
2005-11-11,8.5472,8.5825,8.4297,8.5198,200600
2005-11-14,8.4806,8.6177,8.4806,8.5394,210700
2005-11-15,8.5002,8.5041,8.2143,8.3827,434500
2005-11-16,8.3240,8.4219,8.1869,8.2260,189900
2005-11-17,8.2260,8.3710,8.1751,8.2339,613500
2005-11-18,8.2456,8.5355,8.2456,8.5198,538000
2005-11-21,8.5590,8.6726,8.5198,8.6138,1475000
2005-11-22,8.6177,8.8254,8.5511,8.7353,439700
2005-11-23,8.7157,8.8528,8.6491,8.7118,357400
2005-11-25,8.6569,8.6922,8.5472,8.5864,98600
2005-11-28,8.6060,8.7157,8.4924,8.6373,617000
2005-11-29,8.6542,9.0304,8.6542,8.9037,426000
2005-11-30,8.8443,9.0700,8.8324,9.0304,518700
2005-12-01,8.9789,9.2404,8.9789,9.2007,362400
2005-12-02,9.1809,9.1889,9.0067,9.1889,318600
2005-12-05,9.1889,9.1968,9.1097,9.1572,237400
2005-12-06,9.1572,9.2047,9.1097,9.1413,283100
2005-12-07,9.1295,9.1849,9.1097,9.1453,404900
2005-12-08,9.0898,9.2047,9.0898,9.2047,189200
2005-12-09,9.1889,9.3077,9.1057,9.2324,457000
2005-12-12,9.2087,9.2720,9.1136,9.1572,125900
2005-12-13,9.0700,9.0700,8.8403,8.9591,365200
2005-12-14,8.9710,9.1849,8.8918,9.1691,272000
2005-12-15,9.2285,9.5651,8.9710,9.3275,750000
2005-12-16,9.3315,9.7038,9.3315,9.5691,1554500
2005-12-19,9.5691,9.6721,9.5533,9.6245,1895000
2005-12-20,9.6166,9.6166,9.3711,9.4859,549300
2005-12-21,9.4067,9.4701,9.2998,9.4424,136400
2005-12-22,9.4265,9.4463,9.2522,9.3275,253000
2005-12-23,9.3077,9.4661,9.2998,9.4661,139400
2005-12-27,9.5057,9.7236,9.5057,9.5849,256000
2005-12-28,9.5849,9.5849,9.2879,9.4542,244300
2005-12-29,9.4265,9.5374,9.3869,9.5255,400600
2005-12-30,9.5057,9.6602,9.4820,9.6443,261800
2006-01-03,9.6443,9.6958,9.4463,9.6245,156500
2006-01-04,9.6047,9.6642,9.5612,9.6523,368200
2006-01-05,9.6642,9.7038,9.4225,9.4225,268500
2006-01-06,9.4225,9.6245,9.1809,9.4225,384400
2006-01-09,9.3235,9.4463,9.2483,9.3552,371500
2006-01-10,9.3077,9.6562,9.3037,9.6008,377000
2006-01-11,9.5849,9.7830,9.5849,9.7711,368300
2006-01-12,9.7711,9.9691,9.7711,9.9018,171500
2006-01-13,9.9018,9.9137,9.7513,9.8424,198700
2006-01-17,9.9216,10.0008,9.7830,9.8067,121600
2006-01-18,9.7751,9.9612,9.7751,9.9612,323600
2006-01-19,9.9810,10.1474,9.9810,10.1394,259100
2006-01-20,10.0602,10.1909,9.9018,9.9612,353500
2006-01-23,9.8820,10.0325,9.7434,9.7671,286900
2006-01-24,9.7830,9.8622,9.6681,9.6919,266800
2006-01-25,9.6919,9.7156,9.6245,9.6523,171800
2006-01-26,9.6523,9.6562,9.5929,9.5929,215400
2006-01-27,9.5651,9.7038,9.5374,9.6998,215800
2006-01-30,9.6998,9.6998,9.6047,9.6840,246100
2006-01-31,9.6562,9.6800,9.6047,9.6562,216800
