"MacroTrends Data Download"
"FNLC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-07-14,3.0005,3.0005,3.0005,3.0005,0
1999-07-15,2.6104,2.6179,2.5479,2.6179,15000
1999-07-16,2.6254,2.6254,2.6104,2.6254,3000
1999-07-19,2.6254,2.6254,2.6254,2.6254,0
1999-07-20,2.6254,2.6254,2.6254,2.6254,0
1999-07-21,2.5629,2.5629,2.5004,2.5629,12600
1999-07-22,2.5629,2.5629,2.5629,2.5629,0
1999-07-23,2.5629,2.5629,2.5629,2.5629,0
1999-07-26,2.5792,2.5792,2.5792,2.5792,1200
1999-07-27,2.5779,2.5779,2.5779,2.5779,0
1999-07-28,2.5792,2.5792,2.5629,2.5629,7800
1999-07-29,2.5479,2.5629,2.5479,2.5629,3900
1999-07-30,2.5629,2.5629,2.5629,2.5629,0
1999-08-02,2.5629,2.5792,2.5629,2.5629,41400
1999-08-03,2.5629,2.5942,2.5629,2.5942,7500
1999-08-04,2.5942,2.5942,2.5942,2.5942,0
1999-08-05,2.6104,2.6104,2.6104,2.6104,1500
1999-08-06,2.5629,2.5629,2.5629,2.5629,5700
1999-08-09,2.5317,2.5317,2.5004,2.5004,1500
1999-08-10,2.4379,2.4379,2.4379,2.4379,600
1999-08-11,2.5079,2.5079,2.5079,2.5079,600
1999-08-12,2.5079,2.5079,2.5079,2.5079,0
1999-08-13,2.4229,2.4229,2.4229,2.4229,900
1999-08-16,2.4379,2.4379,2.4379,2.4379,3000
1999-08-17,2.4379,2.4379,2.4379,2.4379,6000
1999-08-18,2.4066,2.4379,2.4066,2.4379,5100
1999-08-19,2.4379,2.4379,2.4379,2.4379,2700
1999-08-20,2.4066,2.4066,2.4066,2.4066,1500
1999-08-23,2.4066,2.4066,2.4066,2.4066,1800
1999-08-24,2.3916,2.4692,2.3441,2.4692,6300
1999-08-25,2.4692,2.4692,2.4692,2.4692,0
1999-08-26,2.3441,2.4379,2.3441,2.3754,11700
1999-08-27,2.3754,2.4692,2.3754,2.4692,9600
1999-08-30,2.4692,2.4692,2.4692,2.4692,0
1999-08-31,2.3754,2.5004,2.3754,2.5004,2700
1999-09-01,2.5004,2.5004,2.5004,2.5004,0
1999-09-02,2.5004,2.5004,2.5004,2.5004,0
1999-09-03,2.3754,2.3754,2.3754,2.3754,300
1999-09-07,2.4854,2.4854,2.4854,2.4854,600
1999-09-08,2.4854,2.4854,2.4854,2.4854,0
1999-09-09,2.3754,2.3754,2.3754,2.3754,1500
1999-09-10,2.3754,2.3754,2.3754,2.3754,0
1999-09-13,2.3754,2.3754,2.3754,2.3754,900
1999-09-14,2.3754,2.3754,2.3754,2.3754,600
1999-09-15,2.3754,2.3754,2.3754,2.3754,0
1999-09-16,2.3754,2.3754,2.3441,2.3441,600
1999-09-17,2.3441,2.3441,2.3291,2.3291,6600
1999-09-20,2.3279,2.3279,2.3279,2.3279,0
1999-09-21,2.3291,2.3291,2.3291,2.3291,600
1999-09-22,2.3129,2.3129,2.3129,2.3129,1200
1999-09-23,2.3129,2.3129,2.3129,2.3129,0
1999-09-24,2.3129,2.3129,2.3129,2.3129,0
1999-09-27,2.3129,2.3129,2.3129,2.3129,900
1999-09-28,2.3604,2.3604,2.3604,2.3604,600
1999-09-29,2.3604,2.3604,2.3604,2.3604,0
1999-09-30,2.2974,2.2974,2.2660,2.2660,3000
1999-10-01,2.2660,2.2660,2.2660,2.2660,0
1999-10-04,2.2660,2.2660,2.2660,2.2660,0
1999-10-05,2.2660,2.2660,2.2660,2.2660,0
1999-10-06,2.2660,2.2660,2.2660,2.2660,0
1999-10-07,2.2660,2.2660,2.2660,2.2660,0
1999-10-08,2.2660,2.2660,2.2660,2.2660,0
1999-10-11,2.2660,2.2660,2.2660,2.2660,0
1999-10-12,2.2660,2.2660,2.2660,2.2660,0
1999-10-13,2.2660,2.2660,2.2660,2.2660,0
1999-10-14,2.2660,2.2660,2.2660,2.2660,0
1999-10-15,2.2660,2.2660,2.2660,2.2660,0
1999-10-18,2.2660,2.2660,2.2660,2.2660,0
1999-10-19,2.1716,2.2194,2.1716,2.2194,37500
1999-10-20,2.2181,2.2181,2.2181,2.2181,0
1999-10-21,2.2181,2.2181,2.2181,2.2181,0
1999-10-22,2.2181,2.2181,2.2181,2.2181,0
1999-10-25,2.2345,2.2345,2.2345,2.2345,2100
1999-10-26,2.2345,2.2345,2.2345,2.2345,0
1999-10-27,2.2345,2.2345,2.2345,2.2345,0
1999-10-28,2.2345,2.2345,2.2345,2.2345,12000
1999-10-29,2.2660,2.3289,2.2660,2.3289,10200
1999-11-01,2.2660,2.2660,2.2660,2.2660,3900
1999-11-02,2.3289,2.3289,2.2974,2.2974,14400
1999-11-03,2.3604,2.3604,2.2974,2.2974,900
1999-11-04,2.2974,2.2974,2.2974,2.2974,0
1999-11-05,2.3289,2.3289,2.3289,2.3289,1500
1999-11-08,2.3289,2.3289,2.3289,2.3289,600
1999-11-09,2.3289,2.3289,2.3289,2.3289,600
1999-11-10,2.3289,2.3289,2.3289,2.3289,76800
1999-11-11,2.3289,2.3289,2.3289,2.3289,0
1999-11-12,2.3289,2.3289,2.3289,2.3289,0
1999-11-15,2.3289,2.3289,2.2660,2.2660,10500
1999-11-16,2.2660,2.2660,2.2660,2.2660,0
1999-11-17,2.2660,2.2660,2.2660,2.2660,0
1999-11-18,2.2660,2.2660,2.2660,2.2660,0
1999-11-19,2.2345,2.2345,2.2345,2.2345,1500
1999-11-22,2.2030,2.2030,2.2030,2.2030,2400
1999-11-23,2.2030,2.2030,2.2030,2.2030,0
1999-11-24,2.2030,2.2030,2.2030,2.2030,3000
1999-11-26,2.2030,2.2030,2.2030,2.2030,0
1999-11-29,2.2030,2.2030,2.1716,2.1716,8100
1999-11-30,2.1716,2.1716,2.1716,2.1716,0
1999-12-01,2.1716,2.1716,2.1716,2.1716,0
1999-12-02,2.1716,2.1716,2.1716,2.1716,0
1999-12-03,2.1716,2.1716,2.1716,2.1716,0
1999-12-06,2.2030,2.2030,2.2030,2.2030,7800
1999-12-07,2.2030,2.2345,2.2030,2.2030,2400
1999-12-08,2.2030,2.2030,2.2030,2.2030,600
1999-12-09,2.2030,2.2030,2.2030,2.2030,0
1999-12-10,2.1955,2.1955,2.1955,2.1955,600
1999-12-13,2.1716,2.1716,2.1162,2.1162,2400
1999-12-14,2.1162,2.1162,2.1162,2.1162,0
1999-12-15,2.1086,2.1086,2.0457,2.0457,9000
1999-12-16,2.1401,2.1401,2.0457,2.1401,11700
1999-12-17,2.0935,2.1401,2.0935,2.1401,3300
1999-12-20,2.1086,2.1086,2.1086,2.1086,13200
1999-12-21,2.1086,2.1086,2.1086,2.1086,0
1999-12-22,2.1086,2.1086,2.1086,2.1086,0
1999-12-23,2.1086,2.1086,2.1086,2.1086,0
1999-12-27,2.0771,2.1086,2.0771,2.1086,24900
1999-12-28,2.0457,2.0457,2.0457,2.0457,3300
1999-12-29,2.1267,2.1267,2.0708,2.0708,3000
1999-12-30,2.0632,2.1267,2.0632,2.1267,1200
1999-12-31,2.1267,2.1267,2.0632,2.0632,1500
2000-01-03,2.0632,2.1267,2.0632,2.0886,18300
2000-01-04,2.0886,2.0886,2.0886,2.0886,0
2000-01-05,2.0632,2.0632,2.0315,2.0315,6600
2000-01-06,1.9997,1.9997,1.9997,1.9997,1800
2000-01-07,1.9997,1.9997,1.9997,1.9997,0
2000-01-10,1.9997,1.9997,1.9997,1.9997,4500
2000-01-11,1.9997,1.9997,1.9997,1.9997,0
2000-01-12,2.0315,2.0315,2.0315,2.0315,3000
2000-01-13,2.0315,2.0315,2.0315,2.0315,0
2000-01-14,2.0315,2.0315,2.0315,2.0315,0
2000-01-18,2.0315,2.0315,2.0315,2.0315,0
2000-01-19,2.0315,2.0315,2.0315,2.0315,18000
2000-01-20,2.0632,2.0632,2.0632,2.0632,300
2000-01-21,2.1267,2.1267,2.0315,2.0315,7200
2000-01-24,2.0315,2.0315,1.9997,1.9997,32100
2000-01-25,1.9997,1.9997,1.9997,1.9997,0
2000-01-26,1.9997,1.9997,1.9997,1.9997,1800
2000-01-27,1.9997,1.9997,1.9997,1.9997,5700
2000-01-28,1.9045,1.9997,1.9045,1.9997,5100
2000-01-31,1.9680,1.9680,1.9680,1.9680,2400
2000-02-01,1.9680,2.0315,1.9363,1.9680,10500
2000-02-02,1.9680,1.9680,1.9680,1.9680,6000
2000-02-03,1.9680,1.9680,1.9680,1.9680,0
2000-02-04,1.9680,1.9680,1.9680,1.9680,0
2000-02-07,1.9680,1.9680,1.9680,1.9680,0
2000-02-08,1.9680,1.9680,1.9566,1.9566,1200
2000-02-09,1.9566,1.9566,1.9566,1.9566,0
