"MacroTrends Data Download"
"GCBC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-06-30,1.1975,1.1975,1.1975,1.1975,8800
1999-07-01,1.1975,1.1975,1.1975,1.1975,0
1999-07-02,1.1975,1.1975,1.1975,1.1975,0
1999-07-06,1.1820,1.1975,1.1820,1.1975,4400
1999-07-07,1.1328,1.1328,1.1328,1.1328,5200
1999-07-08,1.1328,1.1328,1.1328,1.1328,0
1999-07-09,1.2299,1.2299,1.2299,1.2299,8000
1999-07-12,1.1405,1.2299,1.1405,1.2299,19200
1999-07-13,1.2221,1.2221,1.2221,1.2221,4400
1999-07-14,1.2299,1.2299,1.2299,1.2299,800
1999-07-15,1.2299,1.2299,1.2299,1.2299,0
1999-07-16,1.1975,1.1975,1.1975,1.1975,3600
1999-07-19,1.2299,1.2299,1.2299,1.2299,4400
1999-07-20,1.2299,1.2299,1.2299,1.2299,0
1999-07-21,1.2299,1.2299,1.2299,1.2299,8800
1999-07-22,1.1159,1.1159,1.1159,1.1159,0
1999-07-23,1.1159,1.1159,1.1159,1.1159,0
1999-07-26,1.1651,1.1651,1.0680,1.1328,32000
1999-07-27,1.1328,1.1328,1.1328,1.1328,2000
1999-07-28,1.1328,1.1328,1.1328,1.1328,0
1999-07-29,1.1328,1.1328,1.1328,1.1328,0
1999-07-30,1.1328,1.1328,1.1328,1.1328,0
1999-08-02,1.1651,1.1651,1.1651,1.1651,8000
1999-08-03,1.1651,1.1651,1.1651,1.1651,8400
1999-08-04,1.1807,1.1807,1.1807,1.1807,1600
1999-08-05,1.1807,1.1807,1.1807,1.1807,0
1999-08-06,1.1651,1.1807,1.1651,1.1807,4800
1999-08-09,1.1807,1.1807,1.1807,1.1807,0
1999-08-10,1.1807,1.1807,1.1807,1.1807,0
1999-08-11,1.1807,1.1807,1.1807,1.1807,0
1999-08-12,1.1807,1.1807,1.1807,1.1807,0
1999-08-13,1.1807,1.1807,1.1807,1.1807,0
1999-08-16,1.1807,1.1807,1.1807,1.1807,0
1999-08-17,1.1807,1.1807,1.1807,1.1807,0
1999-08-18,1.1496,1.2868,1.1496,1.2868,25200
1999-08-19,1.1651,1.1975,1.1651,1.1651,60000
1999-08-20,1.1651,1.1651,1.1651,1.1651,0
1999-08-23,1.1807,1.2454,1.1807,1.2454,292800
1999-08-24,1.2622,1.3917,1.2622,1.3593,112000
1999-08-25,1.3917,1.3917,1.3270,1.3593,35200
1999-08-26,1.3749,1.3749,1.3438,1.3438,17600
1999-08-27,1.2791,1.3270,1.2791,1.3270,4400
1999-08-30,1.3270,1.3270,1.3270,1.3270,8000
1999-08-31,1.3438,1.3438,1.3438,1.3438,8000
1999-09-01,1.3438,1.3593,1.3101,1.3593,18000
1999-09-02,1.3438,1.3593,1.3101,1.3101,8800
1999-09-03,1.3101,1.3101,1.3101,1.3101,0
1999-09-07,1.2791,1.2791,1.2791,1.2791,4000
1999-09-08,1.2791,1.2946,1.2791,1.2946,78400
1999-09-09,1.3270,1.3270,1.3270,1.3270,400
1999-09-10,1.3270,1.3270,1.3270,1.3270,0
1999-09-13,1.3270,1.3270,1.2791,1.3270,43200
