"MacroTrends Data Download"
"GPN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2001-01-16,3.5494,3.5494,3.5494,3.5494,3200
2001-01-17,3.5494,3.5494,3.5494,3.5494,122800
2001-01-18,3.6251,3.8617,3.6251,3.8617,167200
2001-01-19,3.8996,4.0416,3.8996,4.0416,59600
2001-01-22,4.0226,4.3350,4.0226,4.2971,146800
2001-01-23,4.2593,4.5148,4.2593,4.3729,76000
2001-01-24,4.3350,4.3350,4.2971,4.2971,560000
2001-01-25,4.3539,4.3729,4.3350,4.3729,143200
2001-01-26,4.3350,4.3445,4.3350,4.3350,82000
2001-01-29,4.3823,4.4367,4.3539,4.4249,262000
2001-01-30,4.4249,4.4249,4.3421,4.4012,339200
2001-01-31,4.4249,4.5077,4.4249,4.4367,326000
2001-02-01,4.4959,5.0165,4.4391,4.9455,2556800
2001-02-02,4.9100,4.9691,4.8745,4.9289,795600
2001-02-05,4.9337,5.0756,4.7136,4.7254,644800
2001-02-06,4.7089,4.7373,4.6734,4.6734,1338800
2001-02-07,4.6615,4.7325,4.6497,4.7325,1350400
2001-02-08,4.7325,4.7704,4.6142,4.6142,578800
2001-02-09,4.6142,4.6734,4.6142,4.6734,441600
2001-02-12,4.6734,4.6734,4.5669,4.5669,327200
2001-02-13,4.5669,4.6237,4.5551,4.5551,648800
2001-02-14,4.5551,4.5551,4.5125,4.5148,135600
2001-02-15,4.5196,4.5314,4.3303,4.3303,454400
2001-02-16,4.2829,4.2829,4.1173,4.2758,427200
2001-02-20,4.2758,4.2948,4.2143,4.2806,1000400
2001-02-21,4.2806,4.2806,4.2356,4.2782,443600
2001-02-22,4.2782,4.2924,4.2356,4.2664,623600
2001-02-23,4.2829,4.4249,4.2593,4.3658,1222800
2001-02-26,4.3776,4.5243,4.3776,4.4959,1182400
2001-02-27,4.4959,4.4959,4.4722,4.4722,690000
2001-02-28,4.4722,4.4959,4.4604,4.4959,326000
2001-03-01,4.4722,4.4722,4.4249,4.4249,155200
2001-03-02,4.4367,4.4509,4.4249,4.4391,836800
2001-03-05,4.4367,4.5077,4.4367,4.4983,402800
2001-03-06,4.4983,4.5196,4.4486,4.4486,610000
2001-03-07,4.4486,4.4935,4.4486,4.4935,89600
2001-03-08,4.4912,4.4912,4.4486,4.4486,211600
2001-03-09,4.4486,4.4509,4.4249,4.4438,269600
2001-03-12,4.4438,4.4722,4.4131,4.4249,106400
2001-03-13,4.4604,4.4604,4.3658,4.3658,671600
2001-03-14,4.3658,4.3894,4.2285,4.2356,455600
2001-03-15,4.2119,4.2119,4.0581,4.1244,1160400
2001-03-16,4.1528,4.2119,4.1055,4.1055,402800
2001-03-19,4.0581,4.2001,4.0581,4.0700,1173600
2001-03-20,4.0936,4.1552,4.0226,4.0463,222000
