"MacroTrends Data Download"
"HBT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2019-10-11,14.5688,14.7037,13.9573,13.9753,3755558
2019-10-14,14.0293,14.2631,13.7325,13.9393,419246
2019-10-15,13.9843,14.1457,13.9393,14.0293,317708
2019-10-16,13.9573,14.2271,13.9573,14.2091,144213
2019-10-17,14.2541,14.3350,14.0742,14.2541,140925
2019-10-18,14.2361,14.4699,14.0832,14.2631,176989
2019-10-21,14.3620,14.4133,14.2001,14.2451,71763
2019-10-22,14.2631,14.3890,14.2361,14.3620,107490
2019-10-23,14.3440,14.7487,14.3440,14.5149,60840
2019-10-24,14.4879,14.5239,14.3890,14.3890,20348
2019-10-25,14.3980,14.6228,14.3710,14.4879,29706
2019-10-28,14.5509,14.7487,14.3935,14.6588,29445
2019-10-29,14.6138,14.6948,14.3440,14.5509,353335
2019-10-30,14.4879,14.6678,14.4519,14.4609,25125
2019-10-31,14.4519,14.4879,14.1821,14.4160,77448
2019-11-01,14.3890,14.5419,14.3440,14.3620,173151
2019-11-04,14.5599,14.5599,14.3080,14.4429,58860
2019-11-05,14.1552,14.5688,14.1552,14.5329,121141
2019-11-06,14.5688,14.6138,14.5149,14.6138,108774
2019-11-07,14.6678,15.2928,14.6588,15.1624,307854
2019-11-08,15.0635,15.4052,15.0095,15.3602,68501
2019-11-11,15.2433,15.2883,14.8746,15.2164,189827
2019-11-12,15.0904,15.1984,14.9735,15.1894,75625
2019-11-13,15.1084,15.2883,14.9915,15.2433,145135
2019-11-14,15.1984,15.1984,14.9960,15.1984,130879
2019-11-15,15.2973,15.7604,15.0365,15.5581,209565
2019-11-18,15.5221,15.5581,15.2883,15.5491,108241
2019-11-19,15.4502,15.8189,14.7825,15.6840,53465
2019-11-20,15.6390,15.8549,15.4142,15.5311,76359
2019-11-21,15.5311,15.6750,15.2343,15.5311,45054
2019-11-22,15.5581,15.7020,15.1264,15.6210,25106
2019-11-25,15.5131,15.7559,14.9735,15.6840,53792
2019-11-26,15.5581,15.8818,15.2433,15.8279,69926
2019-11-27,15.8639,16.0617,15.6840,15.9178,27255
2019-11-29,16.0797,16.0797,15.3243,16.0077,17016
2019-12-02,16.0887,16.1606,15.3962,15.7380,81039
2019-12-03,17.1499,17.1499,14.8836,15.1894,157133
2019-12-04,15.2343,15.6750,15.2343,15.5941,102204
2019-12-05,15.7110,15.8279,15.2343,15.5221,68481
2019-12-06,15.3782,15.8099,15.2523,15.7649,103223
2019-12-09,15.7649,15.8998,15.4592,15.6210,141944
2019-12-10,15.6480,15.8729,15.3423,15.7919,162746
2019-12-11,15.8279,15.9448,15.6300,15.9358,119793
2019-12-12,15.9448,16.1247,15.4856,15.7020,88342
2019-12-13,15.7290,15.8863,15.5221,15.6480,142490
2019-12-16,15.7919,16.2775,15.7919,16.0482,247762
2019-12-17,16.1606,16.9790,16.0707,16.2685,227237
2019-12-18,16.3045,16.4844,16.2011,16.3405,224276
2019-12-19,16.3675,16.3675,16.0887,16.1516,266706
2019-12-20,16.1786,16.7722,16.0077,16.1876,1494572
2019-12-23,16.2955,16.3045,16.1426,16.2326,82665
2019-12-24,16.2596,16.3855,16.1606,16.3315,46873
2019-12-26,16.3855,16.5563,16.1426,16.4754,47088
2019-12-27,16.6013,17.0554,16.2416,16.8621,72077
2019-12-30,16.9071,17.0689,16.6597,17.0240,54724
2019-12-31,16.9610,17.1679,16.7452,17.0779,52040
2020-01-02,17.0869,17.2668,16.9250,17.2218,30912
2020-01-03,17.1769,17.3837,16.8441,17.2668,78539
2020-01-06,17.2038,17.4556,17.0869,17.1769,132214
2020-01-07,17.1049,17.2488,16.6283,16.9071,65418
2020-01-08,16.8711,16.9857,16.5608,16.8351,47958
2020-01-09,16.8441,17.1499,16.5743,17.0240,45075
2020-01-10,16.9880,17.1049,16.5383,16.7362,58865
2020-01-13,16.7092,17.1679,16.5024,16.9700,62866
2020-01-14,16.9520,17.1769,16.5024,16.8441,76921
2020-01-15,16.8441,17.0330,16.6481,17.0240,119247
2020-01-16,17.1229,17.2038,16.9071,17.0689,117334
2020-01-17,17.1948,18.2785,17.0644,17.1319,103802
2020-01-21,17.1858,17.1858,16.9610,16.9970,55733
2020-01-22,17.0240,17.0869,16.8081,16.8351,63140
2020-01-23,16.8261,17.0779,16.6872,17.0779,48231
2020-01-24,17.0779,17.0779,16.9340,16.9880,14938
2020-01-27,16.7632,17.2038,16.3632,17.1769,86797
2020-01-28,17.2398,17.2398,16.3045,17.1139,21673
2020-01-29,17.1858,17.2218,16.6320,17.1139,35163
2020-01-30,17.0420,17.1319,16.8171,17.1229,33313
2020-01-31,17.6085,18.6247,16.7490,17.3837,76362
2020-02-03,17.5096,17.5815,17.2578,17.5456,48581
2020-02-04,17.5366,17.5366,17.1319,17.4736,40211
2020-02-05,17.6355,18.4539,17.4826,17.9323,71654
