"MacroTrends Data Download"
"HIFS - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1992-02-25,1.9558,2.0409,1.9558,2.0409,1800
1992-02-26,2.0409,2.0409,2.0409,2.0409,0
1992-02-27,1.9558,1.9558,1.9558,1.9558,701
1992-02-28,1.9558,1.9558,1.9558,1.9558,0
1992-03-02,1.9558,1.9558,1.9558,1.9558,0
1992-03-03,2.1259,2.1259,2.1259,2.1259,401
1992-03-04,2.1259,2.1259,1.9558,1.9558,300
1992-03-05,1.9558,1.9558,1.9558,1.9558,0
1992-03-06,1.9558,1.9558,1.9558,1.9558,0
1992-03-09,1.9558,1.9558,1.9558,1.9558,0
1992-03-10,1.9558,2.1259,1.9558,2.1259,900
1992-03-11,2.1259,2.1259,2.1259,2.1259,0
1992-03-12,2.1259,2.1259,2.1259,2.1259,0
1992-03-13,2.1259,2.1259,2.1259,2.1259,0
1992-03-16,2.1259,2.1259,2.1259,2.1259,0
1992-03-17,2.0409,2.0409,2.0409,2.0409,3000
1992-03-18,2.0834,2.0834,2.0834,2.0834,3000
1992-03-19,2.0817,2.0817,2.0817,2.0817,0
1992-03-20,2.2109,2.2109,2.2109,2.2109,1500
1992-03-23,2.2109,2.2109,2.1259,2.1259,3701
1992-03-24,2.1259,2.1259,2.1259,2.1259,1500
1992-03-25,2.1684,2.1684,2.1259,2.1259,1500
1992-03-26,2.2109,2.2109,2.1259,2.1259,24000
1992-03-27,2.1259,2.1684,2.1259,2.1684,4500
1992-03-30,2.0409,2.0409,1.9558,1.9558,5400
1992-03-31,2.0409,2.1259,1.9983,2.0409,7301
1992-04-01,2.0409,2.0409,2.0409,2.0409,0
1992-04-02,2.0409,2.0409,2.0409,2.0409,0
1992-04-03,2.0409,2.0409,2.0409,2.0409,0
1992-04-06,2.0409,2.0409,2.0409,2.0409,0
1992-04-07,1.9558,1.9558,1.9558,1.9558,6000
1992-04-08,1.9983,2.0409,1.9558,1.9983,9401
1992-04-09,1.7857,1.7857,1.7857,1.7857,701
1992-04-10,1.8708,1.8708,1.8708,1.8708,1500
1992-04-13,2.1259,2.1259,2.1259,2.1259,1500
