"MacroTrends Data Download"
"HT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-01-21,4.2590,4.4365,4.2590,4.3477,6600
1999-01-22,4.3477,4.5252,4.2590,4.4365,2650
1999-01-25,4.5252,4.5252,4.4365,4.4812,2350
1999-01-26,4.4812,4.4812,4.3477,4.3477,2975
1999-01-27,4.2590,4.4365,4.2590,4.4365,150
1999-01-28,4.3477,4.4365,4.3477,4.3477,950
1999-01-29,4.4365,4.4365,4.3477,4.3477,225
1999-02-01,4.4365,4.4365,4.3477,4.3477,5200
1999-02-02,4.4365,4.4365,4.3477,4.3477,1750
1999-02-03,4.4365,4.4365,4.4365,4.4365,300
1999-02-04,4.3477,4.3477,4.3477,4.3477,175
1999-02-05,4.3477,4.4365,4.3477,4.4365,125
1999-02-08,4.3925,4.3925,4.3925,4.3925,100
1999-02-09,4.3477,4.3477,4.3037,4.3477,1225
1999-02-10,4.3477,4.3477,4.2590,4.2590,4625
1999-02-11,4.2590,4.2590,4.2590,4.2590,0
1999-02-12,4.2590,4.2590,4.2590,4.2590,775
1999-02-16,4.3477,4.3477,4.2590,4.3477,1200
1999-02-17,4.3477,4.3477,4.2590,4.2590,425
1999-02-18,4.2590,4.3477,4.2590,4.2590,300
1999-02-19,4.3477,4.3477,4.2590,4.3477,650
1999-02-22,4.2590,4.3477,4.2590,4.2590,1425
1999-02-23,4.3477,4.4365,4.2590,4.2590,3450
1999-02-24,4.2590,4.2590,4.2590,4.2590,0
1999-02-25,4.4365,4.4365,4.3925,4.3925,150
1999-02-26,4.3477,4.3477,4.3037,4.3037,900
1999-03-01,4.3037,4.3925,4.3037,4.3925,375
