"MacroTrends Data Download"
"HTGC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2005-06-09,2.2758,2.3056,2.2374,2.2654,2883700
2005-06-10,2.2724,2.2724,2.1884,2.1989,482000
2005-06-13,2.2199,2.2199,2.1762,2.1902,67700
2005-06-14,2.1884,2.1902,2.1850,2.1867,33000
2005-06-15,2.2024,2.2374,2.1850,2.2287,99400
2005-06-16,2.2444,2.2444,2.2217,2.2269,15300
2005-06-17,2.2287,2.2724,2.2287,2.2636,40400
2005-06-20,2.2916,2.2916,2.2549,2.2636,43600
2005-06-21,2.2636,2.2898,2.2374,2.2549,33900
2005-06-22,2.2636,2.2724,2.2549,2.2636,15200
2005-06-23,2.2636,2.2636,2.2461,2.2461,4400
2005-06-24,2.2461,2.2724,2.2461,2.2549,25900
2005-06-27,2.2461,2.2689,2.2287,2.2689,3100
2005-06-28,2.2706,2.2706,2.2549,2.2636,22400
2005-06-29,2.2636,2.2898,2.2619,2.2654,47800
2005-06-30,2.2654,2.2706,2.1762,2.2549,149100
2005-07-01,2.2461,2.2549,2.2409,2.2461,49100
2005-07-05,2.2724,2.2724,2.2549,2.2549,7800
2005-07-06,2.2549,2.2549,2.2514,2.2549,2300
2005-07-07,2.2461,2.2601,2.2374,2.2514,6100
2005-07-08,2.2549,2.2636,2.2549,2.2636,8300
2005-07-11,2.2636,2.2636,2.2199,2.2199,4600
2005-07-12,2.2549,2.2549,2.2426,2.2461,16900
2005-07-13,2.2461,2.2531,2.2287,2.2374,11000
2005-07-14,2.2374,2.2549,2.2304,2.2374,52600
2005-07-15,2.2374,2.2549,2.2339,2.2374,21400
2005-07-18,2.2374,2.2374,2.2112,2.2112,7100
2005-07-19,2.2374,2.2426,2.2024,2.2321,93600
2005-07-20,2.2234,2.2287,2.1850,2.2287,33900
2005-07-21,2.2304,2.2304,2.2112,2.2112,2000
2005-07-22,2.2374,2.2374,2.2199,2.2199,3700
2005-07-25,2.3021,2.5188,2.2549,2.2968,185200
2005-07-26,2.3685,2.3685,2.2724,2.2898,76600
2005-07-27,2.3161,2.3161,2.2741,2.3073,154000
2005-07-28,2.2986,2.3073,2.2636,2.2706,58700
2005-07-29,2.2811,2.3038,2.2724,2.2724,44900
2005-08-01,2.2724,2.4122,2.2724,2.2898,123000
2005-08-02,2.3161,2.3423,2.2898,2.3073,46600
2005-08-03,2.3073,2.3597,2.2986,2.3230,90600
2005-08-04,2.3510,2.4034,2.3440,2.3597,151400
2005-08-05,2.3947,2.4069,2.3807,2.4034,98300
2005-08-08,2.4122,2.4297,2.3790,2.3965,27300
2005-08-09,2.3947,2.4279,2.3947,2.4122,9600
2005-08-10,2.4122,2.4122,2.3073,2.3475,25600
