"MacroTrends Data Download"
"HUM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1981-12-31,10.4163,10.5252,10.3044,10.3044,67800
1982-01-04,10.5635,10.7107,10.3780,10.6724,106500
1982-01-05,10.5988,10.7814,10.4163,10.4516,240600
1982-01-06,10.4163,10.5252,10.2661,10.3780,238900
1982-01-07,10.3397,10.3780,10.3044,10.3780,162600
1982-01-08,10.4163,10.4869,10.3397,10.4516,210900
1982-01-11,10.4163,10.5252,10.2661,10.2661,218100
1982-01-12,10.2308,10.2661,10.1572,10.1955,198100
1982-01-13,10.1955,10.2308,10.1572,10.1955,465000
1982-01-14,10.0483,10.1189,9.9364,10.0483,288100
1982-01-15,10.0100,10.0483,9.9717,9.9717,408100
1982-01-18,9.9011,9.9717,9.7892,9.8245,623400
1982-01-19,9.7892,9.9364,9.6420,9.6773,420600
1982-01-20,9.5684,9.6773,9.4565,9.6420,345700
1982-01-21,9.6037,9.6420,9.5331,9.5684,339900
1982-01-22,9.5331,9.5684,9.4948,9.4948,257700
1982-01-25,9.5684,9.6420,9.4565,9.4948,269200
1982-01-26,9.3858,9.5331,9.2386,9.2740,187200
1982-01-27,9.3093,9.3476,9.2386,9.3093,236800
1982-01-28,9.7539,10.0836,9.3858,10.0836,448600
1982-01-29,10.4516,10.5635,10.3044,10.4869,432100
1982-02-01,6.8097,6.9187,6.6596,6.6979,315000
1982-02-02,6.6979,6.7361,6.6243,6.7361,206500
1982-02-03,6.8097,6.8804,6.7361,6.8804,153400
1982-02-04,6.6596,6.8097,6.4771,6.6243,201600
1982-02-05,6.8451,6.9569,6.6979,6.9187,310200
1982-02-08,7.0306,7.2867,6.7715,6.9569,374400
1982-02-09,6.9569,7.1395,6.7715,6.8097,225600
1982-02-10,6.9569,7.0659,6.8097,6.9923,233400
1982-02-11,6.9923,7.1012,6.8451,6.9569,239400
1982-02-12,7.1012,7.2131,6.9569,7.1395,180000
1982-02-16,7.0306,7.1012,6.9569,7.0306,340600
1982-02-17,7.1778,7.2514,7.0659,7.1778,212700
1982-02-18,7.3220,7.4339,7.2131,7.3603,199300
1982-02-19,7.4722,7.6547,7.2867,7.5075,434800
1982-02-22,7.4722,7.6930,7.2131,7.2131,430200
1982-02-23,7.1778,7.3220,7.0306,7.2131,280000
1982-02-24,7.2131,7.3603,7.0659,7.3603,235000
1982-02-25,7.4339,7.5811,7.2867,7.3603,208900
1982-02-26,7.2867,7.4722,7.0659,7.2131,200200
1982-03-01,7.3986,7.5075,7.2867,7.3220,157800
1982-03-02,7.3220,7.3220,7.2867,7.2867,69400
1982-03-03,7.2131,7.2867,7.1012,7.1395,171600
1982-03-04,6.9569,7.0659,6.8097,6.9923,269400
1982-03-05,6.8097,6.9569,6.6243,6.8097,148500
1982-03-08,6.6243,6.8804,6.3299,6.3681,444100
1982-03-09,6.5889,6.9187,6.2562,6.7715,366700
1982-03-10,6.7361,6.8097,6.6243,6.6243,103000
1982-03-11,6.5153,6.6243,6.3681,6.4388,471600
1982-03-12,6.3299,6.5507,6.1090,6.1473,321000
1982-03-15,6.1826,6.2562,6.0737,6.2180,185100
1982-03-16,6.3299,6.4388,6.2180,6.2945,317700
1982-03-17,6.1473,6.3299,5.9265,6.0354,852600
1982-03-18,6.1473,6.2180,6.0354,6.2180,355600
1982-03-19,6.4771,6.5507,6.3681,6.4035,191100
