"MacroTrends Data Download"
"IBTX - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2013-04-04,26.0589,26.2200,25.7726,25.7726,100500
2013-04-05,25.9515,25.9515,25.0746,25.5936,70800
2013-04-08,25.7905,25.9515,25.2893,25.3699,90400
2013-04-09,25.4146,25.8979,25.2805,25.8889,32400
2013-04-10,26.1753,26.1753,25.7278,25.8979,17900
2013-04-11,26.7480,26.7480,25.6383,25.9336,18600
2013-04-12,25.7905,26.7301,25.6383,25.7278,34600
2013-04-15,26.3990,26.3990,25.0567,25.2714,67400
2013-04-16,25.3162,25.9426,25.0656,25.1909,17600
2013-04-17,25.1104,25.6383,25.0567,25.2356,19700
2013-04-18,25.5846,25.9694,25.0746,25.9336,21500
2013-04-19,26.2200,26.2200,25.1104,25.2088,120100
2013-04-22,25.2356,25.3161,25.0567,25.0746,98400
2013-04-23,25.1909,25.5488,25.1641,25.3699,30300
2013-04-24,25.8173,25.9246,25.3520,25.7189,46100
2013-04-25,25.8621,25.8844,25.4057,25.6115,27700
2013-04-26,25.6831,26.0768,24.6450,25.2714,67900
2013-04-29,25.2356,25.6741,25.1193,25.5488,16600
2013-04-30,25.3967,25.6294,25.0934,25.5399,7900
2013-05-01,25.4146,25.8889,25.1193,25.2893,13000
2013-05-02,25.1014,25.9068,25.1014,25.6831,21400
2013-05-03,25.5220,27.8397,25.5220,25.8442,23300
2013-05-06,26.0052,26.2236,25.4952,25.7726,12300
2013-05-07,25.9247,25.9515,25.5131,25.8621,29600
2013-05-08,25.6204,25.9068,25.6204,25.8621,2900
2013-05-09,25.7189,25.9515,25.4594,25.8173,5800
2013-05-10,25.9426,26.0410,25.5488,25.9515,12300
2013-05-13,25.8889,25.8889,25.0925,25.7726,11300
2013-05-14,25.7726,25.9515,25.0567,25.9515,21600
2013-05-15,25.9515,26.0410,25.2625,26.0410,57000
2013-05-16,25.8621,25.9515,25.4415,25.7636,6900
2013-05-17,25.5310,26.3184,25.5310,26.3095,27200
2013-05-20,26.3721,26.3990,25.6741,25.9784,8600
2013-05-21,26.0500,26.1932,25.4952,25.9426,34000
2013-05-22,25.8531,26.1842,25.5846,25.7994,15900
2013-05-23,25.5220,25.5220,25.0567,25.2804,21500
2013-05-24,25.3341,26.1752,25.1104,25.2983,7400
2013-05-28,25.5846,25.6204,25.2625,25.4236,16500
2013-05-29,25.4325,26.3990,25.3341,25.5936,26900
2013-05-30,25.5936,25.5936,25.2625,25.4683,8400
2013-05-31,25.3609,25.4683,25.3162,25.4146,11200
2013-06-03,25.4504,25.4952,25.1014,25.3520,64000
2013-06-04,25.3072,25.4415,24.9672,25.2625,113400
2013-06-05,25.3162,25.5623,25.0567,25.4594,55700
2013-06-06,25.5131,25.7368,25.2356,25.4683,4600
2013-06-07,25.8263,25.9784,25.3967,25.8263,3100
2013-06-10,25.9963,26.2200,25.7099,26.1663,14500
2013-06-11,25.9694,26.1753,25.5936,26.0052,15200
2013-06-12,26.1842,26.1842,25.6383,26.0321,9200
2013-06-13,26.0052,26.6675,26.0052,26.1753,21900
2013-06-14,26.0500,26.6675,25.6294,26.3095,11400
2013-06-17,26.4437,27.1149,26.1753,26.7569,23600
2013-06-18,26.7211,28.3230,26.7211,27.4728,60900
2013-06-19,28.1261,28.1261,25.7278,27.5534,13400
2013-06-20,27.3118,28.3319,27.0701,27.8039,25300
2013-06-21,28.0993,28.1798,27.3297,27.5086,47400
2013-06-24,27.5265,27.9203,26.8464,27.2939,17100
2013-06-25,27.3923,27.5176,26.8473,27.1417,14800
2013-06-26,27.2939,27.2939,26.8509,27.0522,6600
2013-06-27,26.9135,27.2939,26.8464,27.2044,14700
2013-06-28,26.8464,27.4478,26.8464,27.2044,410300
2013-07-01,27.2581,27.3520,26.7569,27.1775,45600
2013-07-02,27.1596,27.2939,26.4258,26.4974,21300
2013-07-03,26.4437,27.0433,26.4079,26.7032,3300
2013-07-05,26.9717,26.9717,26.1663,26.5511,109800
2013-07-08,27.1417,27.2670,26.8473,27.0522,17300
2013-07-09,27.0433,28.0187,27.0433,27.8218,11900
2013-07-10,27.8934,28.0635,26.1305,27.7771,8800
2013-07-11,27.9113,28.4125,27.5802,28.2782,18700
2013-07-12,28.3319,28.4662,27.7503,28.3498,9800
2013-07-15,28.2514,28.6004,28.1887,28.3319,20700
2013-07-16,28.4662,29.0924,28.1440,28.8689,25300
2013-07-17,28.8957,28.8957,28.0456,28.2514,4500
2013-07-18,28.4125,29.0657,28.1887,28.6093,15200
2013-07-19,28.5199,29.0210,28.1887,28.7883,14000
2013-07-22,28.6630,29.1373,28.6362,29.0747,21900
2013-07-23,29.0031,29.0210,28.8599,28.8599,20900
2013-07-24,28.9047,29.3163,28.8599,29.0389,105500
2013-07-25,29.0836,29.5132,29.0478,29.4505,14100
2013-07-26,29.2984,29.9427,29.0658,29.6832,8200
2013-07-29,31.0166,31.0166,29.5400,29.6385,5800
2013-07-30,29.7906,31.1955,29.6832,30.3902,11400
2013-07-31,30.2828,31.3119,29.8085,31.1240,32000
2013-08-01,31.2492,32.2157,31.2492,32.0188,36200
2013-08-02,32.0725,33.6207,31.4998,32.8690,16100
2013-08-05,33.0032,33.1106,32.5916,33.0927,20500
2013-08-06,32.9764,33.0032,31.5624,31.7951,27600
