"MacroTrends Data Download"
"ING - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1996-11-18,8.1499,8.2354,8.0643,8.1499,20400
1996-11-19,8.0921,8.2655,8.0343,8.0921,18400
1996-11-20,8.2077,8.2077,8.0343,8.2077,37800
1996-11-21,8.0921,8.1799,7.9765,8.0921,41400
1996-11-22,8.1799,8.2655,8.0643,8.1799,34600
1996-11-25,8.1499,8.2077,8.0343,8.1499,72400
1996-11-26,8.1499,8.1499,7.9765,8.1499,40000
1996-11-27,8.0643,8.0921,7.8609,8.0643,44200
1996-11-29,8.1499,8.2077,8.0643,8.1499,15800
1996-12-02,8.0643,8.1799,7.9487,8.0643,36600
1996-12-03,8.0643,8.1499,7.9487,8.0643,20000
1996-12-04,7.8609,8.0921,7.8609,7.8609,28200
1996-12-05,7.9487,7.9765,7.8609,7.9487,12800
1996-12-06,7.9187,8.0921,7.6875,7.9187,29400
1996-12-09,7.8331,7.8886,7.7730,7.8331,14000
1996-12-10,7.7453,7.8609,7.7453,7.7453,22200
1996-12-11,7.7453,7.8609,7.6019,7.7453,126600
1996-12-12,7.7175,7.8031,7.6297,7.7175,327600
1996-12-13,7.7453,7.8331,7.5141,7.7453,13600
1996-12-16,7.8331,7.8609,7.7175,7.8331,26000
1996-12-17,7.6875,7.8031,7.6019,7.6875,38400
1996-12-18,7.8400,7.8886,7.7453,7.8400,12000
1996-12-19,7.8886,8.0921,7.8031,7.8886,27800
1996-12-20,8.0921,8.1499,7.9487,8.0921,18600
1996-12-23,8.0343,8.0921,7.9187,8.0343,25000
1996-12-24,8.0042,8.0643,7.9765,8.0042,13000
1996-12-26,7.9765,8.0921,7.9765,7.9765,5200
1996-12-27,8.1499,8.4389,8.0343,8.1499,13000
1996-12-30,8.1499,8.2077,8.0921,8.1499,11200
1996-12-31,8.1499,8.3811,8.1499,8.1499,15200
1997-01-02,8.1499,8.2077,8.0643,8.1499,14400
1997-01-03,8.2955,8.3510,8.1799,8.2955,29800
1997-01-06,8.2655,8.4666,8.2655,8.2655,26800
1997-01-07,8.3233,8.4111,8.2655,8.3233,13200
1997-01-08,8.3811,8.5267,8.3811,8.3811,10600
1997-01-09,8.3510,8.5545,8.3510,8.3510,55400
1997-01-10,8.4111,8.4967,8.2354,8.4111,46600
1997-01-13,8.3510,8.4666,8.3510,8.3510,20600
1997-01-14,8.4967,8.5545,8.3233,8.4967,28000
1997-01-15,8.7279,8.8435,8.4967,8.7279,27400
1997-01-16,8.9290,9.0446,8.8134,8.9290,49400
