"MacroTrends Data Download"
"JRJC - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2004-10-15,155.0000,159.9000,115.8000,117.0000,951730
2004-10-18,117.5000,120.0000,100.0000,100.5000,131170
2004-10-19,103.5000,120.9000,103.5000,118.7000,127300
2004-10-20,118.0000,121.2000,109.0000,110.5000,43760
2004-10-21,110.5000,112.5000,105.5000,108.5000,35610
2004-10-22,107.5000,110.0000,107.5000,107.9900,5980
2004-10-25,108.0000,108.5000,105.0000,107.5000,20750
2004-10-26,106.0000,109.8000,97.5000,99.1000,42010
2004-10-27,106.5000,106.5000,100.6000,102.0000,32620
2004-10-28,101.0000,101.0000,87.1000,90.4900,75820
2004-10-29,91.7000,91.7000,83.1000,86.5000,77590
2004-11-01,87.3000,88.8000,83.0000,83.8000,30600
2004-11-02,83.1000,96.0000,83.1000,93.5000,92320
2004-11-03,95.0100,97.3000,91.6000,95.5000,33760
2004-11-04,96.0000,107.2000,96.0000,100.8000,37370
2004-11-05,104.4000,108.4000,100.4000,102.0000,36900
2004-11-08,102.9900,110.1000,100.5000,105.7000,42880
2004-11-09,107.5000,113.9000,106.0000,111.0000,106230
2004-11-10,127.4000,131.3000,118.6000,124.5000,319220
2004-11-11,126.0000,126.7000,114.0000,118.0000,58580
2004-11-12,120.7000,132.5000,118.1000,127.5000,152890
2004-11-15,130.0000,131.0000,120.3000,122.3000,59060
2004-11-16,121.5000,124.0000,112.5000,115.2000,35930
2004-11-17,119.0000,119.0000,107.9000,109.0000,31850
2004-11-18,108.5000,115.0000,103.1000,113.8000,33410
2004-11-19,111.9000,115.5000,107.5000,111.6000,16330
2004-11-22,111.0000,122.2000,109.0000,118.1000,56620
2004-11-23,120.0000,120.0000,116.0000,117.5000,35020
