"MacroTrends Data Download"
"LCNB - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-10-26,7.4342,7.4342,7.4342,7.4342,8400
1999-10-27,7.5307,7.5307,7.5307,7.5307,800
1999-10-28,7.5307,7.5307,7.3010,7.5307,1200
1999-10-29,7.5307,7.5307,7.5307,7.5307,0
1999-11-01,7.5307,7.5307,7.5307,7.5307,0
1999-11-02,7.5307,7.5307,7.5307,7.5307,0
1999-11-03,7.0721,7.1445,7.0721,7.0721,800
1999-11-04,7.4583,7.4583,7.1445,7.4583,3600
1999-11-05,7.4583,7.4583,7.4583,7.4583,0
1999-11-08,7.4583,7.4583,7.4583,7.4583,0
1999-11-09,7.0721,7.0721,7.0721,7.0721,0
1999-11-10,7.4342,7.4342,7.4342,7.4342,400
1999-11-11,7.4342,7.4342,7.4342,7.4342,0
1999-11-12,7.4342,7.4342,7.4342,7.4342,0
1999-11-15,7.2894,7.2894,7.2894,7.2894,800
1999-11-16,7.0480,7.2894,7.0480,7.0480,4400
1999-11-17,7.0480,7.1445,7.0480,7.0480,800
1999-11-18,7.0480,7.0480,7.0480,7.0480,0
1999-11-19,7.0480,7.0480,7.0480,7.0480,0
1999-11-22,6.8549,7.0480,6.8549,7.0480,2400
1999-11-23,6.8066,7.0480,6.8066,7.0480,2000
1999-11-24,7.0480,7.0480,7.0480,7.0480,0
1999-11-26,7.0480,7.0480,7.0480,7.0480,0
1999-11-29,7.2411,7.2411,7.2411,7.2411,0
1999-11-30,6.7584,6.7584,6.7584,6.7584,800
1999-12-01,7.0480,7.2894,7.0480,7.2894,800
1999-12-02,7.2894,7.2894,7.2894,7.2894,0
1999-12-03,6.9514,7.5307,6.9514,6.9514,9600
1999-12-06,6.9514,6.9514,6.9514,6.9514,0
1999-12-07,6.9514,6.9514,6.9514,6.9514,0
1999-12-08,6.9514,6.9514,6.9514,6.9514,0
1999-12-09,6.9997,7.1928,6.9997,6.9997,2000
1999-12-10,7.0480,7.0480,6.9032,6.9032,800
1999-12-13,6.8549,7.4342,6.8549,6.8549,8400
1999-12-14,6.8549,6.8549,6.8549,6.8549,800
1999-12-15,7.1445,7.1445,7.1445,7.1445,1200
1999-12-16,7.1445,7.1445,7.1445,7.1445,100000
1999-12-17,7.1445,7.1445,7.1445,7.1445,0
1999-12-20,6.7584,7.4825,6.7584,7.4825,800
1999-12-21,7.4825,7.4825,7.4825,7.4825,0
1999-12-22,7.4825,7.4825,7.4825,7.4825,0
1999-12-23,6.7584,6.9997,6.7584,6.9997,4000
1999-12-27,6.9997,6.9997,6.9997,6.9997,0
1999-12-28,6.9997,6.9997,6.9997,6.9997,0
1999-12-29,7.4825,7.4825,7.0963,7.0963,1200
1999-12-30,7.0963,7.0963,7.0963,7.0963,0
