"MacroTrends Data Download"
"LKFN - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1997-08-14,2.2851,2.2851,2.2851,2.2851,900
1997-08-15,2.4609,2.4609,2.4609,2.4609,8100
1997-08-18,2.5781,2.8711,2.5781,2.8711,13500
1997-08-19,2.8125,3.5888,2.8125,2.8125,40500
1997-08-20,2.8125,3.5888,2.8125,2.8125,0
1997-08-21,2.8125,2.8125,2.6953,2.6953,6300
1997-08-22,2.5781,2.6953,2.5781,2.5781,9900
1997-08-25,2.6513,2.6513,2.6513,2.6513,9000
1997-08-26,2.6513,2.6513,2.6513,2.6513,0
1997-08-27,2.6513,2.6513,2.6513,2.6513,0
1997-08-28,2.5781,2.5781,2.5781,2.5781,1800
1997-08-29,2.6953,2.6953,2.6953,2.6953,2700
1997-09-02,2.6953,2.6953,2.6953,2.6953,0
1997-09-03,2.6953,2.6953,2.6953,2.6953,0
1997-09-04,2.7099,2.7099,2.7099,2.7099,9000
1997-09-05,2.7246,2.7246,2.6953,2.7246,9900
1997-09-08,2.7246,2.7246,2.7246,2.7246,0
1997-09-09,2.6953,2.6953,2.6953,2.6953,5400
1997-09-10,2.8711,2.8711,2.8711,2.8711,4500
1997-09-11,2.6953,2.6953,2.5781,2.6953,3600
1997-09-12,2.6953,2.6953,2.6953,2.6953,0
1997-09-15,2.5781,2.6953,2.5781,2.6953,5400
1997-09-16,2.6953,2.6953,2.6953,2.6953,0
1997-09-17,2.6953,2.6953,2.6953,2.6953,0
1997-09-18,2.6953,2.6953,2.6953,2.6953,0
1997-09-19,2.6953,2.6953,2.6953,2.6953,0
1997-09-22,2.6953,2.6953,2.6953,2.6953,0
1997-09-23,2.7246,2.7246,2.7246,2.7246,9000
1997-09-24,2.7246,2.7246,2.7246,2.7246,0
1997-09-25,2.7246,2.7246,2.7246,2.7246,0
1997-09-26,2.8125,2.8125,2.7246,2.8125,10800
1997-09-29,2.8125,2.8125,2.8125,2.8125,0
1997-09-30,2.8125,2.8125,2.8125,2.8125,0
1997-10-01,2.8125,2.8711,2.8125,2.8125,2700
1997-10-02,2.7246,2.7246,2.7246,2.7246,18000
1997-10-03,2.7246,2.7246,2.7246,2.7246,0
1997-10-06,2.7246,2.7246,2.7246,2.7246,0
1997-10-07,2.6953,2.7099,2.6953,2.7099,37800
1997-10-08,2.7627,2.8802,2.7627,2.7627,12600
1997-10-09,2.7627,2.7627,2.7627,2.7627,0
1997-10-10,2.8802,2.8802,2.8802,2.8802,5400
1997-10-13,2.8802,2.8802,2.8802,2.8802,0
1997-10-14,2.8802,2.8802,2.8802,2.8802,0
1997-10-15,2.8802,2.8802,2.8802,2.8802,0
1997-10-16,2.8802,2.8802,2.8802,2.8802,0
1997-10-17,2.7333,2.7333,2.7333,2.7333,6300
1997-10-20,2.7333,2.7333,2.7333,2.7333,0
1997-10-21,2.7333,2.7333,2.7333,2.7333,0
1997-10-22,2.7333,2.7333,2.7333,2.7333,0
1997-10-23,2.7333,2.7333,2.7333,2.7333,0
1997-10-24,2.7333,2.7333,2.7333,2.7333,0
1997-10-27,2.7333,2.7333,2.7333,2.7333,0
1997-10-28,2.7333,2.7333,2.7333,2.7333,0
1997-10-29,2.7333,2.7333,2.7039,2.7333,29700
1997-10-30,2.7627,2.7627,2.7262,2.7556,41400
1997-10-31,2.7333,2.7333,2.7039,2.7039,17100
1997-11-03,2.7039,2.7039,2.7039,2.7039,0
1997-11-04,2.7333,2.7333,2.7115,2.7115,28800
1997-11-05,2.7109,2.7109,2.7109,2.7109,0
