"MacroTrends Data Download"
"LMST - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2006-09-22,85.0635,85.9404,79.8018,80.6787,219980
2006-09-25,80.7138,81.5206,79.3809,81.5206,21100
2006-09-26,82.0818,82.2222,80.5033,80.9594,10240
2006-09-27,81.3101,81.3101,80.1526,81.2049,5300
2006-09-28,81.0646,81.0997,80.3280,80.5023,1340
2006-09-29,80.5033,80.5033,78.2233,79.5563,18740
2006-10-02,78.7845,79.1002,78.7845,78.9249,5620
2006-10-03,80.9944,80.9944,78.3987,79.3809,8100
2006-10-04,78.9477,78.9599,78.7495,78.8898,1140
2006-10-05,78.8196,80.6086,78.5741,78.6793,2860
2006-10-06,78.5741,80.3280,78.3987,78.7495,2080
2006-10-09,78.6004,79.1002,78.5741,79.1002,2040
2006-10-10,79.4510,79.4510,77.8725,78.3285,3040
2006-10-11,78.0830,78.0830,78.0479,78.0483,480
2006-10-12,78.8845,78.8845,77.8725,77.9427,2160
2006-10-13,77.9164,78.3285,77.3464,77.9778,5200
2006-10-16,77.3814,78.7495,77.3814,78.1882,240
2006-10-17,78.7144,78.7144,77.3464,77.6971,980
2006-10-18,77.6971,77.8024,77.6971,77.6971,480
2006-10-19,79.7667,79.7667,77.4516,77.6270,620
2006-10-20,79.6615,79.6615,77.6971,78.8547,520
2006-10-23,77.9076,78.2233,77.8725,78.0479,260
2006-10-24,78.0479,78.0479,77.8725,78.0479,1120
2006-10-25,78.0479,78.0479,78.0479,78.0479,20
2006-10-26,78.0479,78.2233,78.0479,78.0479,180
2006-10-27,77.6971,79.8018,77.6971,79.8018,16840
2006-10-30,79.7983,79.8018,79.1002,79.1002,60
2006-10-31,79.1002,79.1002,79.1002,79.1002,20
2006-11-01,78.9249,79.3107,78.0479,78.6442,8440
2006-11-02,78.9249,79.2756,78.9249,79.2756,80
2006-11-03,79.8018,79.8018,78.7495,78.7495,2660
2006-11-06,79.8018,79.8018,79.4159,79.5913,140
2006-11-07,79.8018,79.8018,79.4510,79.4510,320
2006-11-08,79.4510,79.4510,79.2756,79.4510,220
2006-11-09,79.8018,79.8018,78.7495,78.7495,500
2006-11-10,79.8018,79.8369,79.8018,79.8018,500
2006-11-13,79.8018,79.8018,79.8018,79.8018,0
2006-11-14,80.2929,80.2929,76.7500,77.8725,3040
2006-11-15,78.2233,79.6264,78.2233,78.2935,840
2006-11-16,78.2233,78.9599,78.2233,78.6092,2020
2006-11-17,78.0830,78.2233,77.8725,78.1181,3140
2006-11-20,78.3987,78.5039,78.0830,78.2584,1000
2006-11-21,78.0830,78.1181,75.1014,76.4694,3640
2006-11-22,76.3993,77.1710,76.3993,76.8202,180
2006-11-24,77.1710,77.1710,76.2940,76.2940,1280
2006-11-27,76.2940,76.2940,76.2940,76.2940,0
2006-11-28,76.2940,76.5746,76.1186,76.5746,2960
2006-11-29,76.4694,77.1710,76.2940,76.4694,2080
2006-11-30,76.4694,76.8553,75.8380,76.8202,10660
2006-12-01,77.0236,77.1359,76.3642,76.4694,260
2006-12-04,76.5045,76.5045,76.0836,76.1537,540
2006-12-05,76.7500,76.7851,76.3291,76.3291,480
2006-12-06,76.4694,76.5396,76.1888,76.1888,960
2006-12-07,76.8202,76.8202,75.8029,75.8029,5820
2006-12-08,75.9432,76.2586,74.3998,75.7328,18420
2006-12-11,75.9082,76.8903,75.9082,76.1537,260
