"MacroTrends Data Download"
"LND - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2012-05-15,2.1252,2.1252,2.1252,2.1252,0
2012-05-16,2.1252,2.1252,2.1252,2.1252,0
2012-05-17,2.1252,2.1252,2.1252,2.1252,0
2012-05-18,2.0646,2.0756,2.0646,2.0756,800
2012-05-21,2.0756,2.0756,2.0756,2.0756,0
2012-05-22,2.0756,2.0756,2.0756,2.0756,0
2012-05-23,1.9215,1.9215,1.9215,1.9215,500
2012-05-24,1.8664,1.8995,1.7728,1.8664,35600
2012-05-25,1.8664,1.8664,1.8664,1.8664,0
2012-05-29,1.8664,1.8664,1.8664,1.8664,0
2012-05-30,1.8664,1.8664,1.8664,1.8664,0
2012-05-31,1.9270,1.9270,1.9270,1.9270,500
2012-06-01,1.9325,2.0316,1.9270,2.0206,6700
2012-06-04,1.8444,1.9986,1.8444,1.9986,5900
2012-06-05,1.8774,1.8774,1.8774,1.8774,100
2012-06-06,1.8774,1.8774,1.8774,1.8774,0
2012-06-07,1.8774,1.8774,1.8774,1.8774,0
2012-06-08,1.8774,1.8774,1.8774,1.8774,0
2012-06-11,1.9930,1.9930,1.9930,1.9930,42100
2012-06-12,1.9930,1.9930,1.9930,1.9930,0
2012-06-13,1.9930,1.9930,1.9930,1.9930,0
2012-06-14,2.0866,2.0866,1.9545,1.9545,1900
2012-06-15,1.9875,2.0646,1.9875,2.0646,700
2012-06-18,2.0646,2.0646,2.0646,2.0646,0
2012-06-19,2.0591,2.0591,1.9986,1.9986,200
2012-06-20,2.0206,2.0206,2.0206,2.0206,1500
2012-06-21,2.0261,2.0371,1.8279,1.8279,1400
2012-06-22,1.8279,1.8279,1.8279,1.8279,0
2012-06-25,1.8279,1.8279,1.8279,1.8279,0
2012-06-26,1.9765,1.9765,1.9600,1.9600,1500
2012-06-27,2.0085,2.0085,1.9545,1.9545,10600
2012-06-28,1.9545,1.9545,1.9545,1.9545,0
2012-06-29,1.9545,1.9545,1.9545,1.9545,0
2012-07-02,1.9545,1.9545,1.9545,1.9545,0
2012-07-03,1.9545,1.9545,1.9545,1.9545,0
2012-07-05,2.1252,2.1252,2.1252,2.1252,62700
2012-07-06,2.1252,2.1252,2.1252,2.1252,0
2012-07-09,2.1252,2.1252,2.1252,2.1252,0
2012-07-10,2.1252,2.1252,2.1252,2.1252,0
2012-07-11,2.1252,2.1252,2.1252,2.1252,0
2012-07-12,2.1252,2.1252,2.1252,2.1252,0
2012-07-13,2.1252,2.1252,2.1252,2.1252,0
2012-07-16,2.2023,2.2023,2.1582,2.1582,140400
2012-07-17,2.1582,2.1582,2.1582,2.1582,0
2012-07-18,2.1582,2.1582,2.1582,2.1582,0
2012-07-19,2.1582,2.1582,2.1582,2.1582,0
2012-07-20,2.1582,2.1582,2.1582,2.1582,0
2012-07-23,2.1527,2.1527,2.1527,2.1527,300
2012-07-24,2.1527,2.1527,2.1527,2.1527,0
2012-07-25,2.1527,2.1527,2.1527,2.1527,0
2012-07-26,2.1527,2.1527,2.1527,2.1527,0
2012-07-27,2.1527,2.1527,2.1527,2.1527,0
2012-07-30,2.4941,2.4941,2.2683,2.2683,2000
2012-07-31,2.2683,2.2683,2.2683,2.2683,0
2012-08-01,2.2683,2.2683,2.2683,2.2683,0
2012-08-02,2.2683,2.2683,2.2683,2.2683,0
2012-08-03,2.3784,2.3839,2.3784,2.3839,1300
2012-08-06,2.3839,2.3839,2.3839,2.3839,0
2012-08-07,2.3839,2.3839,2.3839,2.3839,0
2012-08-08,2.4225,2.4225,2.4225,2.4225,8000
2012-08-09,2.4225,2.4225,2.4225,2.4225,0
2012-08-10,2.4225,2.4225,2.4225,2.4225,0
2012-08-13,2.4225,2.4225,2.4225,2.4225,0
