"MacroTrends Data Download"
"LSAK - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-04-19,32.6400,32.6400,31.5000,31.5000,100
1999-04-20,30.7800,30.7800,30.7800,30.7800,100
1999-04-21,31.5000,31.5000,30.7800,30.7800,400
1999-04-22,30.0000,31.5000,30.0000,31.3200,2100
1999-04-23,30.7800,31.1400,30.0000,30.3000,600
1999-04-26,30.0000,31.1400,29.2800,29.2800,700
1999-04-27,30.7800,30.7800,28.5000,30.0000,600
1999-04-28,30.0000,30.0000,30.0000,30.0000,200
1999-04-29,29.6400,30.0000,29.6400,30.0000,1200
1999-04-30,28.8600,30.0000,28.8600,28.8600,2100
1999-05-03,29.2800,30.7800,29.2800,30.7800,1700
1999-05-04,30.0000,30.7800,30.0000,30.7800,800
1999-05-05,30.7800,31.5000,29.2800,29.2800,400
1999-05-06,30.0000,30.0000,29.2800,29.2800,1100
1999-05-07,29.2800,30.7800,29.2800,30.0000,700
1999-05-10,29.2800,30.0000,28.8600,28.8600,400
1999-05-11,28.8600,28.8600,28.8600,28.8600,300
1999-05-12,30.0000,30.0000,28.8600,28.8600,200
1999-05-13,28.8600,30.0000,28.8600,30.0000,200
1999-05-14,28.8600,30.0000,28.1400,30.0000,1600
1999-05-17,29.8200,30.0000,29.2800,29.6400,600
1999-05-18,29.6400,30.0000,28.8600,28.8600,500
1999-05-19,28.6800,28.6800,28.6800,28.6800,100
1999-05-20,30.0000,30.0000,29.8800,30.0000,100
1999-05-21,28.5000,29.6400,28.5000,29.2800,1500
1999-05-24,29.2800,29.2800,29.2800,29.2800,0
1999-05-25,27.3600,27.3600,27.3600,27.3600,0
1999-05-26,29.2800,29.2800,27.0000,27.7800,1000
1999-05-27,27.7800,27.7800,27.7800,27.7800,0
1999-05-28,27.7800,29.2800,27.0000,27.0000,500
1999-06-01,27.0000,29.2800,27.0000,28.5000,400
1999-06-02,27.0000,27.7800,24.0000,27.0000,3100
1999-06-03,26.2800,26.2800,26.2800,26.2800,0
1999-06-04,27.0000,27.0000,26.2800,26.2800,2900
1999-06-07,27.7800,27.7800,26.2800,26.2800,700
1999-06-08,26.2800,28.5000,26.2800,28.5000,300
1999-06-09,27.0000,28.5000,27.0000,28.5000,100
1999-06-10,28.5000,28.5000,27.7800,27.7800,800
1999-06-11,27.0000,27.0000,24.7800,27.0000,1600
1999-06-14,24.7800,24.7800,24.7800,24.7800,0
1999-06-15,21.7800,25.5000,21.7800,25.5000,4700
1999-06-16,25.5000,25.5000,25.5000,25.5000,0
1999-06-17,24.0000,25.3200,23.8200,25.3200,500
1999-06-18,22.1400,24.0000,22.1400,24.0000,200
1999-06-21,24.0000,24.0000,24.0000,24.0000,0
1999-06-22,22.5000,24.7800,22.5000,22.5000,400
1999-06-23,23.8200,23.8200,22.5000,23.2800,400
1999-06-24,22.5000,22.5000,22.5000,22.5000,500
1999-06-25,23.2800,23.2800,22.5000,22.5000,200
1999-06-28,22.8600,23.2800,20.6400,20.6400,400
1999-06-29,20.6400,21.3600,20.6400,21.3600,200
1999-06-30,20.6400,21.0000,19.5000,21.0000,800
1999-07-01,19.8600,21.0000,19.5000,21.0000,600
1999-07-02,21.0000,21.0000,21.0000,21.0000,0
1999-07-06,19.8000,19.8600,19.5000,19.6200,1400
1999-07-07,19.3200,20.2800,18.3600,20.0400,2700
1999-07-08,20.0400,20.0400,20.0400,20.0400,0
1999-07-09,18.3600,18.3600,18.3600,18.3600,0
1999-07-12,18.3600,19.5000,18.3600,19.5000,1900
1999-07-13,18.7800,20.2800,18.0000,18.7800,2400
1999-07-14,20.2800,24.0000,18.0000,24.0000,5300
1999-07-15,24.0000,28.8600,23.4600,25.5000,12000
1999-07-16,26.2800,26.2800,24.0000,24.0000,1000
1999-07-19,25.5000,25.5000,21.0000,21.0000,1300
1999-07-20,21.7800,22.1400,21.0000,22.1400,900
1999-07-21,19.5000,19.5000,19.5000,19.5000,300
1999-07-22,19.5000,19.5000,19.5000,19.5000,0
1999-07-23,19.5000,19.8600,19.5000,19.8600,300
1999-07-26,19.5000,19.5000,18.0000,18.7800,1000
1999-07-27,18.7800,18.7800,18.7800,18.7800,1100
1999-07-28,18.7800,19.5000,18.7800,19.5000,400
1999-07-29,19.5000,21.0000,19.5000,19.5000,600
1999-07-30,18.7800,18.7800,17.6400,18.7800,2900
1999-08-02,18.7800,18.7800,18.7800,18.7800,0
1999-08-03,18.0000,18.7800,18.0000,18.7800,5500
